"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"11-22-23 / 06:38 PM","VIP","11","B","1","1615"
"11-22-23 / 10:13 AM","Balcony","BAL322","8","2","164.9"
"11-22-23 / 04:49 AM","Balcony","BAL306","14","2","154.44"
"11-22-23 / 01:02 AM","Balcony","BAL322","12","3","153.32"
"11-22-23 / 01:02 AM","SportsDeck","Sports Deck","C","3","647.1"
"11-22-23 / 01:02 AM","Balcony","BAL320","8","2","175.95"
"11-21-23 / 12:26 AM","Balcony","BAL310","10","2","181.39"
"11-20-23 / 08:07 PM","Balcony","BAL327","11","3","192.06"
"11-20-23 / 08:07 PM","Club","CLB113","A","2","819"
"11-20-23 / 03:38 PM","Balcony","BAL308","8","1","170.1"
"11-20-23 / 02:34 AM","Balcony","BAL307","13","3","185.59"
"11-20-23 / 02:34 AM","Balcony","BAL306","14","3","173.81"
"11-20-23 / 02:34 AM","Balcony","BAL322","13","3","194.54"
"11-18-23 / 09:03 PM","Balcony","BAL302","11","2","258.99"
"11-18-23 / 05:05 PM","Balcony","BAL319","13","2","180.42"
"11-18-23 / 05:05 PM","Balcony","BAL302","11","1","254.14"
"11-18-23 / 05:05 PM","Balcony","BAL311","8","2","177.51"
"11-18-23 / 09:46 AM","Balcony","BAL318","15","2","238.62"
"11-18-23 / 09:46 AM","Loge","LOGE18","F","2","480.7"
"11-18-23 / 03:16 AM","Balcony","BAL324","12","4","186.55"
"11-17-23 / 09:32 AM","VIP","12","B","2","1505.25"
"11-17-23 / 01:53 AM","Loge","LOGE6","18","2","328.9"
"11-17-23 / 01:53 AM","Balcony","BAL314","10","1","275.48"
"11-16-23 / 04:49 PM","Balcony","BAL312","9","2","192.7"
"11-16-23 / 02:28 AM","Club","CLB141","R","3","490.5"
"11-15-23 / 01:25 AM","Balcony","BAL304","11","2","227.95"
"11-15-23 / 01:25 AM","Balcony","BAL330","11","2","278.1"
"11-14-23 / 08:56 PM","Balcony","BAL309","15","4","201.93"
"11-14-23 / 12:17 PM","Balcony","BAL316","2","2","409.5"
"11-14-23 / 02:35 AM","Balcony","BAL329","15","3","273.54"
"11-14-23 / 02:35 AM","SportsDeck","Sports Deck","C","2","468"
"11-11-23 / 08:34 PM","Loge","LOGE1","17","2","677.15"
"11-11-23 / 12:57 AM","Balcony","BAL317","12","2","208.21"
"11-10-23 / 01:14 AM","Balcony","BAL325","11","2","203.94"
"11-10-23 / 01:14 AM","Balcony","BAL319","11","3","230.49"
"11-09-23 / 07:36 AM","Balcony","BAL308","6","2","226.01"
"11-09-23 / 07:36 AM","Balcony","BAL324","6","2","213.85"
"11-08-23 / 07:14 AM","Loge","LOGE19","22","2","408.9"
"11-07-23 / 06:46 AM","Balcony","BAL321","13","2","194.12"
"11-07-23 / 06:46 AM","Balcony","BAL310","14","1","193.03"
"11-06-23 / 05:58 AM","Balcony","BAL319","10","3","223.1"
"11-06-23 / 05:58 AM","Balcony","BAL317","11","1","316.22"
"11-06-23 / 05:58 AM","Balcony","BAL325","14","3","192.37"
"11-05-23 / 08:40 PM","Balcony","BAL311","11","1","231.83"
"11-05-23 / 05:13 AM","Balcony","BAL310","8","3","207.58"
"11-04-23 / 08:56 PM","Balcony","BAL307","11","3","226.98"
"11-02-23 / 09:41 PM","Balcony","BAL312","13","2","224.07"
"11-02-23 / 01:43 PM","Balcony","BAL328","10","3","243.47"
"11-02-23 / 01:43 PM","Balcony","BAL301","11","2","305.55"
"11-02-23 / 06:14 AM","Balcony","BAL322","12","2","173.63"
"11-01-23 / 01:38 PM","Loge","LOGE6","L","4","637.83"
"11-01-23 / 01:38 PM","Balcony","BAL318","12","2","290.37"
"11-01-23 / 01:38 PM","Balcony","BAL316","8","2","384.6"
"11-01-23 / 01:38 PM","Balcony","BAL325","5","2","289.1"
"11-01-23 / 01:38 PM","Balcony","BAL316","14","3","257.13"
"10-31-23 / 10:25 PM","Loge","LOGE8","13","1","390.91"
"10-31-23 / 10:25 PM","Loge","LOGE19","13","1","504"
"10-31-23 / 08:01 AM","Loge","LOGE14","2","2","763.79"
"10-31-23 / 08:01 AM","Loge","LOGE17","10","3","341.25"
"10-31-23 / 08:01 AM","Balcony","BAL328","13","4","177.45"
"10-31-23 / 08:01 AM","Balcony","BAL307","14","3","208.46"
"10-31-23 / 08:01 AM","Balcony","BAL328","10","5","243.47"
"10-31-23 / 08:01 AM","Club","CLB143","E","2","888.55"
"10-31-23 / 08:01 AM","Balcony","BAL311","9","3","227.95"
"10-31-23 / 08:01 AM","Balcony","BAL315","14","3","352.16"
"10-31-23 / 08:01 AM","Loge","LOGE15","22","2","415.52"
"10-31-23 / 08:01 AM","Loge","LOGE8","26","2","389.06"
"10-31-23 / 08:01 AM","Loge","LOGE20","B","4","753.34"
"10-30-23 / 11:50 PM","Loge","LOGE5","25","2","339.23"
"10-30-23 / 10:25 AM","Balcony","BAL316","14","2","307.08"
"10-30-23 / 10:25 AM","Balcony","BAL316","3","2","481.18"
"10-30-23 / 10:25 AM","Loge","LOGE3","21","1","486.46"
"10-29-23 / 07:19 PM","Balcony","BAL315","6","2","384.6"
"10-29-23 / 07:19 PM","Loge","LOGE7","18","2","367.63"
"10-29-23 / 07:19 PM","Loge","LOGE15","11","2","546.84"
"10-29-23 / 07:19 PM","Loge","LOGE7","11","3","376.36"
"10-29-23 / 07:19 PM","Balcony","BAL304","5","2","309.68"
"10-29-23 / 07:19 PM","Balcony","BAL314","11","4","232.45"
"10-29-23 / 01:02 PM","Loge","LOGE17","D","2","444.92"
"10-29-23 / 01:02 PM","Balcony","BAL302","13","3","291"
"10-29-23 / 01:02 PM","Balcony","BAL322","15","2","247.18"
"10-29-23 / 01:02 PM","Balcony","BAL324","7","2","251.69"
"10-29-23 / 01:02 PM","Balcony","BAL310","13","7","220.19"
"10-29-23 / 07:19 AM","Club","CLB115","J","4","569.27"
"10-28-23 / 11:09 AM","Loge","LOGE18","2","3","341.1"
"10-28-23 / 11:09 AM","Loge","LOGE17","16","5","385.09"
"10-28-23 / 11:09 AM","Loge","LOGE17","C","2","498.82"
"10-28-23 / 11:09 AM","VIP","2","A","3","2301.81"
"10-28-23 / 11:09 AM","Loge","LOGE17","2","2","367.35"
"10-28-23 / 07:53 AM","Loge","LOGE17","5","2","384.12"
"10-27-23 / 04:20 AM","Balcony","BAL318","9","2","280.33"
"10-26-23 / 07:13 PM","Balcony","BAL312","14","2","193.05"
"10-26-23 / 11:05 AM","Balcony","BAL313","15","4","223.1"
"10-26-23 / 11:05 AM","Loge","LOGE7","3","2","374.17"
"10-26-23 / 11:05 AM","Balcony","BAL322","2","2","283.23"
"10-26-23 / 11:05 AM","Balcony","BAL305","8","2","257.31"
"10-26-23 / 11:05 AM","Loge","LOGE17","9","4","390.91"
"10-26-23 / 01:46 AM","Loge","LOGE7","26","2","275.94"
"10-24-23 / 11:03 PM","Balcony","BAL330","8","2","326.89"
"10-24-23 / 02:46 PM","Balcony","BAL317","9","5","325.92"
"10-24-23 / 02:46 PM","Loge","LOGE15","12","3","543.66"
"10-24-23 / 02:46 PM","Balcony","BAL314","12","2","221.08"
"10-24-23 / 02:46 PM","Loge","LOGE6","23","4","299.46"
"10-24-23 / 02:46 PM","Balcony","BAL320","11","2","239.51"
"10-24-23 / 02:46 PM","Loge","LOGE15","20","3","432.62"
"10-24-23 / 02:46 PM","Balcony","BAL321","4","2","200.7"
"10-24-23 / 02:46 PM","Loge","LOGE3","13","4","568.56"
"10-24-23 / 07:22 AM","Balcony","BAL316","14","2","294.49"
"10-24-23 / 07:22 AM","Balcony","BAL330","6","2","350.17"
"10-24-23 / 07:22 AM","Loge","LOGE19","17","2","487.06"
"10-24-23 / 07:22 AM","Balcony","BAL317","11","3","302.64"
"10-24-23 / 07:22 AM","Balcony","BAL307","10","4","194"
"10-24-23 / 07:22 AM","Loge","LOGE17","L","2","307.19"
"10-24-23 / 07:22 AM","Balcony","BAL317","9","5","325.92"
"10-23-23 / 03:37 PM","Balcony","BAL316","11","2","283.23"
"10-23-23 / 03:37 PM","Loge","LOGE6","B","4","700.91"
"10-23-23 / 03:37 PM","Balcony","BAL303","4","3","365.67"
"10-23-23 / 03:37 PM","Balcony","BAL330","10","4","281.63"
"10-23-23 / 03:37 PM","Loge","LOGE7","H","2","544.88"
"10-23-23 / 03:37 PM","Club","CLB115","G","3","726.94"
"10-23-23 / 03:37 PM","Loge","LOGE6","24","2","294.88"
"10-23-23 / 03:37 PM","Loge","LOGE7","4","2","396.73"
"10-22-23 / 04:30 PM","Loge","LOGE7","10","4","447.45"
"10-22-23 / 04:30 PM","Balcony","BAL324","13","2","178.48"
"10-22-23 / 04:30 PM","Loge","LOGE14","C","6","735.48"
"10-22-23 / 04:30 PM","Loge","LOGE4","15","3","383.56"
"10-22-23 / 04:30 PM","Club","CLB137","F","3","638.22"
"10-22-23 / 04:30 PM","Loge","LOGE18","18","3","400.59"
"10-22-23 / 04:30 PM","Balcony","BAL309","14","3","172.9"
"10-22-23 / 04:30 PM","Loge","LOGE18","6","2","554.68"
"10-22-23 / 04:30 PM","Loge","LOGE17","J","2","316.41"
"10-22-23 / 04:30 PM","Loge","LOGE17","H","2","420.98"
"10-22-23 / 04:30 PM","Loge","LOGE18","4","2","410.62"
"10-22-23 / 09:17 AM","Balcony","BAL309","10","2","251.69"
"10-22-23 / 09:17 AM","Balcony","BAL309","12","4","198.38"
"10-22-23 / 09:17 AM","Balcony","BAL322","1","2","272.77"
"10-22-23 / 09:17 AM","Loge","LOGE19","13","3","421.56"
"10-22-23 / 09:17 AM","VIP","21","A","4","2479.75"
"10-22-23 / 01:16 AM","Balcony","BAL326","6","2","257.31"
"10-22-23 / 01:16 AM","Loge","LOGE7","10","4","447.45"
"10-22-23 / 01:16 AM","Balcony","BAL323","12","2","188.18"
"10-22-23 / 01:16 AM","Balcony","BAL310","9","2","227.27"
"10-22-23 / 01:16 AM","Loge","LOGE17","D","2","296.1"
"10-22-23 / 01:16 AM","Balcony","BAL312","15","3","180"
"10-22-23 / 01:16 AM","Loge","LOGE18","17","2","340.06"
"10-22-23 / 01:16 AM","Balcony","BAL325","14","4","194"
"10-22-23 / 01:16 AM","Balcony","BAL323","16","3","183.33"
"10-22-23 / 01:16 AM","Balcony","BAL315","15","2","224.1"
"10-22-23 / 01:16 AM","Loge","LOGE17","K","2","316.41"
"10-22-23 / 01:16 AM","Balcony","BAL301","15","2","304.89"
"10-22-23 / 01:16 AM","Balcony","BAL316","14","4","284.93"
"10-22-23 / 01:16 AM","Loge","LOGE7","3","2","312.55"
"10-22-23 / 01:16 AM","Balcony","BAL326","11","2","162"
"10-21-23 / 04:53 PM","Balcony","BAL307","12","4","271.86"
"10-21-23 / 04:53 PM","Balcony","BAL330","9","1","444.77"
"10-21-23 / 04:53 PM","Balcony","BAL312","2","2","308"
"10-21-23 / 04:53 PM","Balcony","BAL307","13","3","155.38"
"10-21-23 / 04:53 PM","Balcony","BAL312","13","2","165.2"
"10-21-23 / 04:53 PM","Loge","LOGE19","13","3","383.56"
"10-21-23 / 04:53 PM","Balcony","BAL321","15","6","194.67"
"10-21-23 / 04:53 PM","Balcony","BAL321","10","4","181.95"
"10-21-23 / 04:53 PM","Loge","LOGE7","9","4","326.89"
"10-21-23 / 04:52 PM","Balcony","BAL302","4","2","312.87"
"10-21-23 / 09:26 AM","Loge","LOGE18","A","2","799.15"
"10-21-23 / 09:26 AM","Balcony","BAL329","11","2","209.7"
"10-21-23 / 09:26 AM","Balcony","BAL305","13","2","250.55"
"10-21-23 / 09:26 AM","Loge","LOGE17","9","2","245.58"
"10-21-23 / 09:26 AM","Loge","LOGE6","15","4","447.45"
"10-21-23 / 09:26 AM","Balcony","BAL308","7","2","257.31"
"10-21-23 / 09:26 AM","Balcony","BAL308","13","2","197.88"
"10-21-23 / 09:26 AM","Balcony","BAL314","12","4","211.28"
"10-21-23 / 09:26 AM","Balcony","BAL315","13","6","270.08"
"10-21-23 / 09:26 AM","Loge","LOGE5","23","4","361.81"
"10-21-23 / 09:26 AM","Balcony","BAL303","10","2","202.5"
"10-21-23 / 09:26 AM","Club","CLB107","","2","539.1"
"10-21-23 / 09:26 AM","Club","CLB141","G","2","658.77"
"10-21-23 / 09:26 AM","Loge","LOGE10","C","2","734.94"
"10-21-23 / 09:26 AM","Balcony","BAL312","14","4","313.41"
"10-21-23 / 09:26 AM","Balcony","BAL309","4","3","196.2"
"10-21-23 / 09:26 AM","Balcony","BAL316","14","2","308"
"10-21-23 / 09:26 AM","Balcony","BAL330","9","3","312.34"
"10-21-23 / 09:26 AM","Balcony","BAL314","13","3","220.5"
"10-21-23 / 09:26 AM","Loge","LOGE7","14","4","410.31"
"10-21-23 / 09:26 AM","Balcony","BAL312","13","4","191.1"
"10-21-23 / 09:26 AM","Balcony","BAL325","6","3","229.89"
"10-21-23 / 09:26 AM","Balcony","BAL322","14","3","155.38"
"10-21-23 / 09:26 AM","Loge","LOGE6","23","3","345.32"
"10-21-23 / 09:26 AM","Balcony","BAL302","15","3","287.12"
"10-21-23 / 09:26 AM","Balcony","BAL302","13","3","291"
"10-21-23 / 09:26 AM","Loge","LOGE10","7","3","530.1"
"10-21-23 / 09:26 AM","Balcony","BAL330","7","3","329.8"
"10-21-23 / 09:26 AM","Loge","LOGE10","23","2","507.31"
