"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"05-07-24 / 04:48 PM","Loge","LOGE4","8","2","233.1"
"05-07-24 / 04:48 PM","Balcony","BAL327","4","1","147.45"
"05-07-24 / 04:48 PM","Balcony","BAL317","12","1","156.45"
"05-07-24 / 04:48 PM","South Lounge","South Lounge","A","1","374.62"
"05-07-24 / 04:48 PM","Balcony","BAL314","10","2","153.18"
"05-07-24 / 04:48 PM","Balcony","BAL319","10","3","127.84"
"05-07-24 / 04:48 PM","Balcony","BAL316","14","1","157.85"
"05-07-24 / 04:48 PM","Loge","LOGE14","2","2","249.75"
"05-07-24 / 04:48 PM","Balcony","BAL317","13","1","132.79"
"05-07-24 / 04:48 PM","Loge","LOGE18","K","1","289.56"
"05-07-24 / 04:48 PM","Balcony","BAL328","3","2","158.81"
"05-07-24 / 04:48 PM","Loge","LOGE3","15","2","353.67"
"05-07-24 / 04:48 PM","Loge","LOGE10","12","4","361.55"
"05-07-24 / 04:48 PM","Club","CLB143","B","2","332.17"
"05-07-24 / 04:48 PM","Loge","LOGE15","12","3","315"
"05-07-24 / 04:48 PM","Loge","LOGE6","K","2","291.89"
"05-07-24 / 04:48 PM","Loge","LOGE18","2","3","288.27"
"05-07-24 / 04:48 PM","Balcony","BAL302","9","2","220.28"
"05-07-24 / 04:48 PM","Loge","LOGE7","22","2","218.24"
"05-07-24 / 04:48 PM","Balcony","BAL302","5","3","212.12"
"05-07-24 / 04:48 PM","Balcony","BAL317","13","6","191.11"
"05-07-24 / 04:48 PM","Balcony","BAL327","8","4","173.03"
"05-07-24 / 04:48 PM","Balcony","BAL317","8","2","178.44"
"05-07-24 / 04:48 PM","Balcony","BAL314","11","2","163.08"
"05-07-24 / 04:48 PM","Balcony","BAL307","10","2","147.37"
"05-07-24 / 04:48 PM","Balcony","BAL307","12","2","145.95"
"05-07-24 / 04:48 PM","Balcony","BAL312","7","2","145.04"
"05-07-24 / 04:48 PM","Loge","LOGE8","25","2","241.36"
"05-07-24 / 04:48 PM","Loge","LOGE18","B","2","366.3"
"05-07-24 / 04:48 PM","Loge","LOGE6","D","2","405.21"
"05-07-24 / 04:48 PM","Balcony","BAL301","6","2","223.91"
"05-07-24 / 04:48 PM","Loge","LOGE3","21","4","325.52"
"05-07-24 / 04:48 PM","Balcony","BAL303","3","2","248.38"
"05-07-24 / 04:48 PM","Loge","LOGE7","J","2","224.85"
"05-07-24 / 04:48 PM","Loge","LOGE15","18","4","270.14"
"05-07-24 / 04:48 PM","Balcony","BAL316","8","2","204.08"
"05-07-24 / 04:48 PM","Balcony","BAL303","7","2","213.03"
"05-07-24 / 04:48 PM","Loge","LOGE5","25","2","237.36"
"05-07-24 / 04:48 PM","Balcony","BAL320","5","2","144.13"
"05-07-24 / 04:48 PM","Balcony","BAL319","13","4","183.2"
"05-07-24 / 04:48 PM","Balcony","BAL302","12","4","201.7"
"05-07-24 / 04:48 PM","Balcony","BAL329","11","3","140.51"
"05-07-24 / 04:47 PM","Loge","LOGE19","11","2","316.37"
"05-07-24 / 04:47 PM","Loge","LOGE10","3","2","357.72"
"05-07-24 / 04:47 PM","Club","CLB139","C","2","315.6"
"05-07-24 / 04:47 PM","Loge","LOGE7","25","2","305.49"
"05-07-24 / 04:47 PM","Loge","LOGE17","17","4","318.18"
"05-07-24 / 04:47 PM","Loge","LOGE4","13","4","285.55"
"05-07-24 / 04:47 PM","Loge","LOGE7","2","1","299.2"
"05-07-24 / 04:47 PM","Balcony","BAL329","13","2","242.04"
"05-07-24 / 04:47 PM","Loge","LOGE7","3","2","207.29"
"05-07-24 / 04:47 PM","Loge","LOGE15","18","4","273.43"
"05-07-24 / 04:47 PM","Balcony","BAL316","6","2","235.74"
