"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"05-09-24 / 11:18 PM","Balcony","BAL303","10","2","231.52"
"05-09-24 / 06:30 PM","Balcony","BAL315","12","2","163.17"
"05-09-24 / 06:30 PM","Balcony","BAL318","14","2","145.35"
"05-09-24 / 06:30 PM","Club","CLB115","J","1","380.72"
"05-09-24 / 06:30 PM","Loge","LOGE6","18","2","196.58"
"05-09-24 / 06:30 PM","Balcony","BAL319","10","3","142.29"
"05-09-24 / 06:30 PM","Balcony","BAL328","9","3","132.77"
"05-09-24 / 06:30 PM","Balcony","BAL324","9","2","117.72"
"05-09-24 / 10:17 AM","Balcony","BAL301","15","3","184.7"
"05-09-24 / 10:17 AM","Loge","LOGE6","15","4","190.22"
"05-09-24 / 10:17 AM","Loge","LOGE16","12","2","232.97"
"05-09-24 / 10:17 AM","VIP","2","B","1","939.81"
"05-09-24 / 10:17 AM","Loge","LOGE21","14","2","503.4"
"05-09-24 / 10:17 AM","Loge","LOGE2","16","2","470.98"
"05-09-24 / 10:17 AM","Loge","LOGE11","9","2","484.24"
"05-09-24 / 10:17 AM","Loge","LOGE17","E","2","493.14"
"05-09-24 / 10:17 AM","Loge","LOGE21","18","4","454.33"
"05-09-24 / 10:17 AM","Loge","LOGE11","11","4","459.55"
"05-09-24 / 10:17 AM","Loge","LOGE2","17","2","469.79"
"05-09-24 / 10:17 AM","Loge","LOGE5","10","2","326.34"
"05-09-24 / 10:17 AM","Loge","LOGE17","3","2","337.22"
"05-09-24 / 10:17 AM","Loge","LOGE9","8","2","380.73"
"05-09-24 / 10:17 AM","Balcony","BAL301","8","3","278.87"
"05-09-24 / 10:17 AM","Loge","LOGE7","23","4","290.99"
"05-09-24 / 10:17 AM","Loge","LOGE5","15","2","249.74"
"05-09-24 / 10:17 AM","Loge","LOGE15","23","2","256.32"
"05-09-24 / 10:17 AM","Loge","LOGE4","16","2","256.54"
"05-09-24 / 10:17 AM","Balcony","BAL316","14","3","245.92"
"05-09-24 / 10:17 AM","Loge","LOGE7","10","4","240.11"
"05-09-24 / 10:17 AM","Loge","LOGE16","23","2","249.25"
"05-09-24 / 10:17 AM","Balcony","BAL318","12","2","236.6"
"05-09-24 / 10:17 AM","Loge","LOGE6","2","2","229.7"
"05-09-24 / 10:17 AM","Balcony","BAL330","11","2","193.35"
"05-09-24 / 10:17 AM","Balcony","BAL328","9","3","209.84"
"05-09-24 / 10:17 AM","Balcony","BAL301","9","2","218.47"
"05-09-24 / 10:17 AM","Balcony","BAL310","7","2","158.46"
"05-09-24 / 10:17 AM","Balcony","BAL314","6","2","189.87"
"05-09-24 / 10:17 AM","Balcony","BAL324","1","2","153.43"
"05-09-24 / 10:17 AM","Balcony","BAL308","7","2","155.69"
"05-09-24 / 10:17 AM","Balcony","BAL323","11","2","150.48"
"05-09-24 / 10:17 AM","Balcony","BAL306","10","2","152.91"
"05-09-24 / 10:17 AM","Balcony","BAL312","10","6","122.03"
"05-09-24 / 10:17 AM","Balcony","BAL323","13","2","142.75"
"05-09-24 / 10:17 AM","Balcony","BAL327","10","2","107.67"
"05-09-24 / 10:17 AM","Balcony","BAL309","7","3","120.23"
"05-09-24 / 10:17 AM","Balcony","BAL305","9","4","113.95"
"05-09-24 / 10:17 AM","Balcony","BAL311","14","2","103.18"
"05-09-24 / 10:17 AM","Loge","LOGE15","3","1","388.71"
"05-09-24 / 10:17 AM","Loge","LOGE18","K","4","378.92"
"05-09-24 / 10:17 AM","Balcony","BAL316","5","2","248.05"
"05-09-24 / 10:17 AM","Loge","LOGE16","11","3","274.78"
"05-09-24 / 10:17 AM","Balcony","BAL302","6","2","216.89"
"05-09-24 / 10:17 AM","Balcony","BAL316","8","2","227.71"
"05-09-24 / 10:17 AM","Loge","LOGE7","26","2","236.68"
"05-09-24 / 10:17 AM","Balcony","BAL329","13","2","184.66"
"05-09-24 / 10:17 AM","Balcony","BAL326","3","1","197.25"
"05-09-24 / 10:17 AM","Balcony","BAL305","3","3","184.02"
"05-09-24 / 10:17 AM","Balcony","BAL329","12","5","147.15"
"05-09-24 / 10:17 AM","Balcony","BAL322","12","2","151.99"
"05-09-24 / 10:17 AM","Balcony","BAL329","8","2","204.87"
"05-09-24 / 10:17 AM","Balcony","BAL309","4","2","217.56"
"05-09-24 / 10:17 AM","Loge","LOGE17","13","2","206.46"
"05-09-24 / 10:17 AM","Balcony","BAL306","10","2","150.48"
"05-09-24 / 10:17 AM","Balcony","BAL308","8","2","191.27"
"05-09-24 / 10:17 AM","Loge","LOGE19","17","2","359.88"
"05-09-24 / 10:17 AM","Loge","LOGE6","H","2","337.22"
"05-09-24 / 10:17 AM","Balcony","BAL315","13","3","135.98"
"05-09-24 / 10:17 AM","Loge","LOGE18","M","4","462.32"
"05-09-24 / 10:17 AM","Loge","LOGE3","22","2","349"
"05-09-24 / 10:17 AM","Loge","LOGE17","3","2","379.82"
"05-09-24 / 10:17 AM","Loge","LOGE19","12","2","368.04"
"05-09-24 / 10:17 AM","Loge","LOGE5","18","2","374.38"
"05-09-24 / 10:17 AM","Loge","LOGE16","22","2","378.92"
"05-09-24 / 10:17 AM","Loge","LOGE15","23","2","272.86"
"05-09-24 / 10:17 AM","Loge","LOGE9","23","2","337.22"
"05-09-24 / 10:17 AM","Loge","LOGE6","E","2","340.84"
"05-09-24 / 10:17 AM","Balcony","BAL307","6","2","172.24"
"05-09-24 / 10:17 AM","Balcony","BAL308","1","2","272.86"
"05-09-24 / 10:17 AM","Balcony","BAL317","6","2","267.42"
"05-09-24 / 10:17 AM","Balcony","BAL301","3","2","232.27"
"05-09-24 / 10:17 AM","Balcony","BAL322","12","2","148.67"
"05-09-24 / 10:17 AM","Balcony","BAL321","9","5","111"
"05-09-24 / 10:17 AM","Loge","LOGE5","12","3","194.9"
"05-09-24 / 10:17 AM","Loge","LOGE9","24","6","203.96"
"05-09-24 / 10:17 AM","Balcony","BAL311","9","2","193.08"
"05-09-24 / 10:17 AM","Loge","LOGE5","15","2","246.57"
"05-09-24 / 10:17 AM","Balcony","BAL315","9","2","138.85"
"05-09-24 / 10:17 AM","Club","CLB143","H","1","457.88"
"05-09-24 / 10:17 AM","Loge","LOGE15","10","4","452.36"
"05-09-24 / 10:17 AM","Balcony","BAL322","14","1","104.06"
"05-09-24 / 10:17 AM","Loge","LOGE18","10","4","198.97"
"05-09-24 / 10:17 AM","Loge","LOGE7","J","1","268.28"
"05-09-24 / 10:17 AM","Loge","LOGE9","23","4","203.87"
"05-09-24 / 10:17 AM","Loge","LOGE6","22","2","206.23"
"05-09-24 / 10:17 AM","VIP","18","A","2","1660"
"05-09-24 / 10:17 AM","Balcony","BAL305","3","3","138.18"
"05-09-24 / 10:17 AM","Loge","LOGE17","A","1","375.42"
