"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"05-15-24 / 11:34 PM","South Lounge","South Lounge","A","3","412.09"
"05-15-24 / 11:34 PM","Loge","LOGE5","26","2","244.95"
"05-15-24 / 06:34 PM","Balcony","BAL308","15","1","140.42"
"05-15-24 / 06:34 PM","Loge","LOGE8","23","2","218.93"
"05-15-24 / 06:34 PM","Balcony","BAL311","3","1","151.52"
"05-15-24 / 06:34 PM","Balcony","BAL327","11","3","133.2"
"05-15-24 / 06:34 PM","Loge","LOGE15","14","5","320.74"
"05-15-24 / 06:34 PM","Balcony","BAL319","10","3","150.67"
"05-15-24 / 06:34 PM","Loge","LOGE15","18","2","219.13"
"05-15-24 / 01:39 PM","Balcony","BAL306","12","1","121.98"
"05-15-24 / 01:39 PM","Balcony","BAL307","13","1","125.28"
"05-15-24 / 01:39 PM","Balcony","BAL328","12","2","137.4"
"05-15-24 / 01:39 PM","Balcony","BAL312","9","2","122.71"
"05-15-24 / 01:39 PM","Balcony","BAL307","14","3","139.07"
"05-15-24 / 01:39 PM","Balcony","BAL325","10","3","124.88"
"05-15-24 / 01:39 PM","Balcony","BAL309","9","3","119.88"
"05-15-24 / 01:39 PM","Balcony","BAL315","12","1","151.52"
"05-15-24 / 01:39 PM","Balcony","BAL301","11","2","201.3"
"05-15-24 / 01:39 PM","Balcony","BAL328","9","2","149.85"
"05-15-24 / 01:39 PM","Loge","LOGE18","9","2","219.13"
"05-15-24 / 01:39 PM","Balcony","BAL317","10","1","166.29"
"05-15-24 / 09:29 AM","SportsDeck","Sports Deck","A","2","248.08"
"05-15-24 / 05:27 AM","Club","CLB109","D","2","408.42"
"05-15-24 / 05:27 AM","Loge","LOGE18","4","2","236.66"
"05-15-24 / 05:27 AM","Balcony","BAL315","9","2","164.69"
"05-15-24 / 12:38 AM","Balcony","BAL305","15","3","139.03"
"05-15-24 / 12:38 AM","Balcony","BAL326","9","3","143.19"
"05-15-24 / 12:38 AM","Balcony","BAL326","12","1","137.06"
"05-15-24 / 12:38 AM","Loge","LOGE7","25","3","215.49"
"05-15-24 / 12:38 AM","Balcony","BAL314","14","2","147.64"
"05-15-24 / 12:38 AM","Loge","LOGE15","23","2","227.9"
"05-15-24 / 12:38 AM","Balcony","BAL312","8","2","145.78"
"05-15-24 / 12:38 AM","Club","CLB107","D","2","374.31"
"05-15-24 / 12:38 AM","Club","CLB107","J","2","336.7"
"05-14-24 / 07:34 PM","Balcony","BAL328","12","2","130.47"
"05-14-24 / 07:34 PM","Balcony","BAL317","12","2","172.27"
"05-14-24 / 07:34 PM","Balcony","BAL322","13","3","124.16"
"05-14-24 / 07:34 PM","Club","CLB141","E","2","508.85"
"05-14-24 / 07:34 PM","Balcony","BAL318","8","2","165.9"
"05-14-24 / 07:34 PM","Loge","LOGE15","17","2","249.81"
"05-14-24 / 07:34 PM","Balcony","BAL328","13","3","150.49"
"05-14-24 / 07:34 PM","Balcony","BAL327","7","2","142.31"
"05-14-24 / 03:01 PM","Loge","LOGE5","23","3","235.08"
"05-14-24 / 03:01 PM","Balcony","BAL321","9","2","130.32"
"05-14-24 / 03:01 PM","Balcony","BAL312","9","2","131.48"
"05-14-24 / 03:01 PM","Loge","LOGE7","G","1","319.81"
"05-14-24 / 06:38 AM","Balcony","BAL313","13","2","126.34"
"05-14-24 / 06:38 AM","Balcony","BAL308","14","1","150.54"
"05-14-24 / 02:15 AM","Loge","LOGE8","22","1","232.39"
