"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"01-27-24 / 03:24 PM","Balcony","BAL326","11","1","226.59"
"01-27-24 / 03:24 PM","Balcony","BAL326","9","3","191.7"
"01-27-24 / 03:24 PM","Balcony","BAL307","11","3","213.85"
"01-27-24 / 03:24 PM","Balcony","BAL308","8","3","213.85"
"01-27-24 / 03:24 PM","Loge","LOGE8","3","1","270"
"01-27-24 / 03:24 PM","Balcony","BAL314","15","3","202.5"
"01-27-24 / 03:24 PM","VIP","11","B","2","1187.5"
"01-27-24 / 12:24 PM","Balcony","BAL311","10","3","171.49"
"01-27-24 / 12:24 PM","Balcony","BAL316","15","1","266.33"
"01-27-24 / 09:32 AM","Loge","LOGE10","B","4","459.78"
"01-27-24 / 01:28 AM","Balcony","BAL306","14","1","157.5"
"01-27-24 / 01:28 AM","Balcony","BAL321","9","4","176.13"
"01-26-24 / 10:05 PM","Balcony","BAL314","15","2","166.5"
"01-26-24 / 06:30 PM","Loge","LOGE7","26","2","240.56"
"01-26-24 / 02:51 PM","Club","CLB141","H","2","382.5"
"01-26-24 / 02:51 PM","Balcony","BAL322","12","1","145.8"
"01-26-24 / 02:51 PM","Balcony","BAL330","11","2","209.7"
"01-26-24 / 11:48 AM","Balcony","BAL327","9","5","166.86"
"01-26-24 / 11:48 AM","Balcony","BAL312","13","2","181.09"
"01-26-24 / 11:48 AM","Balcony","BAL322","15","3","150.15"
"01-26-24 / 01:11 AM","Loge","LOGE2","10","3","625.65"
"01-25-24 / 10:02 PM","Balcony","BAL325","11","2","149.38"
"01-25-24 / 10:02 PM","Balcony","BAL307","9","2","145.53"
"01-25-24 / 10:02 PM","Balcony","BAL326","11","1","169.75"
"01-25-24 / 06:20 PM","Balcony","BAL308","9","3","157.59"
"01-25-24 / 06:20 PM","Loge","LOGE9","26","4","337.53"
"01-25-24 / 02:38 PM","Club","CLB113","A","2","546"
"01-25-24 / 02:38 PM","Balcony","BAL318","14","2","173.79"
"01-25-24 / 04:03 AM","Loge","LOGE10","8","1","386.76"
"01-25-24 / 12:29 AM","Loge","LOGE7","L","2","312.33"
"01-24-24 / 08:45 PM","Balcony","BAL314","13","4","187.26"
"01-24-24 / 05:07 PM","Loge","LOGE10","9","1","351"
