"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"05-26-23 / 01:05 AM","Club","CLB111","J","1","828"
"05-26-23 / 01:05 AM","Rafters","Rafters","A","2","362.25"
"05-25-23 / 04:29 PM","Balcony","BAL325","12","1","222.92"
"05-25-23 / 04:29 PM","Balcony","BAL325","10","1","220.93"
"05-25-23 / 04:29 PM","Club","CLB115","D","1","405"
"05-25-23 / 12:33 PM","Loge","LOGE18","10","2","323.1"
"05-25-23 / 12:33 PM","Balcony","BAL306","9","1","243.69"
"05-25-23 / 12:33 PM","Loge","LOGE9","23","1","333"
"05-25-23 / 07:23 AM","Loge","LOGE3","2","4","863.38"
"05-25-23 / 07:23 AM","Loge","LOGE20","10","1","584.1"
"05-25-23 / 07:23 AM","Floor","FLR18","DD","2","5045.04"
"05-25-23 / 07:23 AM","Loge","LOGE7","5","4","495.88"
"05-25-23 / 07:23 AM","Loge","LOGE3","8","2","561.78"
"05-25-23 / 07:23 AM","Balcony","BAL315","11","2","263.62"
"05-25-23 / 07:23 AM","Balcony","BAL320","10","2","200.02"
"05-25-23 / 07:23 AM","Boardroom","Boardroom","1","2","1327.5"
"05-25-23 / 07:23 AM","Loge","LOGE18","21","2","641.9"
"05-25-23 / 07:23 AM","Balcony","BAL318","13","7","278.16"
"05-25-23 / 07:23 AM","Loge","LOGE5","14","4","413.25"
"05-25-23 / 02:11 AM","Balcony","BAL323","9","1","204.5"
"05-25-23 / 02:11 AM","Loge","LOGE20","24","1","509.25"
"05-24-23 / 10:30 PM","Balcony","BAL321","8","2","213.66"
"05-24-23 / 06:51 PM","Balcony","BAL310","10","2","200.78"
"05-24-23 / 06:51 PM","Club","CLB139","B","1","607.5"
"05-24-23 / 06:51 PM","Loge","LOGE6","23","2","294.84"
"05-24-23 / 06:51 PM","Balcony","BAL312","12","1","192.69"
"05-24-23 / 06:51 PM","Balcony","BAL301","12","1","291"
"05-24-23 / 06:51 PM","Loge","LOGE7","2","2","386.75"
"05-24-23 / 06:51 PM","VIP","2","B","2","3449.25"
"05-24-23 / 03:20 PM","Balcony","BAL307","6","1","227.51"
"05-24-23 / 03:20 PM","Loge","LOGE19","25","1","374.7"
"05-24-23 / 03:20 PM","Balcony","BAL309","12","1","202.25"
"05-24-23 / 03:20 PM","Club","CLB107","J","2","616.92"
"05-24-23 / 03:20 PM","Loge","LOGE8","13","1","505.37"
"05-24-23 / 03:20 PM","Club","CLB145","F","2","526.5"
"05-24-23 / 11:47 AM","Balcony","BAL313","10","2","257.05"
"05-24-23 / 11:47 AM","Club","CLB137","G","3","832.5"
"05-24-23 / 08:59 AM","Balcony","BAL307","13","2","188.08"
"05-24-23 / 08:59 AM","Loge","LOGE7","3","2","472.4"
"05-24-23 / 06:45 AM","VIP","12","A","2","2531.6"
"05-24-23 / 06:45 AM","Balcony","BAL312","8","4","197.51"
"05-24-23 / 04:03 AM","Loge","LOGE18","15","5","291.33"
"05-24-23 / 04:03 AM","Loge","LOGE18","18","4","288.28"
"05-24-23 / 04:03 AM","Balcony","BAL326","13","2","183.16"
"05-24-23 / 04:03 AM","Loge","LOGE17","17","1","282.79"
"05-24-23 / 04:03 AM","VIP","11","B","2","2375"
"05-24-23 / 04:03 AM","Loge","LOGE17","14","2","293.04"
"05-24-23 / 04:03 AM","Loge","LOGE19","22","1","366.6"
"05-24-23 / 04:03 AM","Balcony","BAL321","6","1","195.35"
"05-24-23 / 04:03 AM","Balcony","BAL326","7","4","190.15"
"05-24-23 / 04:02 AM","Balcony","BAL307","8","2","448.87"
"05-24-23 / 12:26 AM","Balcony","BAL324","4","3","178.92"
"05-24-23 / 12:26 AM","Loge","LOGE18","17","3","286.15"
"05-24-23 / 12:26 AM","Loge","LOGE20","1","2","503.5"
"05-24-23 / 12:26 AM","Balcony","BAL329","14","2","201.37"
"05-24-23 / 12:26 AM","Loge","LOGE6","19","3","430.22"
"05-24-23 / 12:26 AM","Loge","LOGE17","18","2","552.72"
"05-24-23 / 12:26 AM","Loge","LOGE17","1","2","406.7"
"05-24-23 / 12:26 AM","Loge","LOGE18","1","2","317.19"
"05-24-23 / 12:26 AM","Balcony","BAL326","2","2","216.24"
"05-24-23 / 12:26 AM","Balcony","BAL327","1","2","333.2"
"05-24-23 / 12:26 AM","Balcony","BAL307","8","2","163.8"
"05-24-23 / 12:26 AM","Balcony","BAL325","10","2","149.76"
"05-24-23 / 12:26 AM","Balcony","BAL308","9","4","159.12"
"05-24-23 / 12:26 AM","Balcony","BAL309","14","2","273"
"05-24-23 / 12:26 AM","Loge","LOGE19","14","2","518.42"
"05-24-23 / 12:26 AM","Loge","LOGE15","23","2","611.52"
"05-24-23 / 12:26 AM","Balcony","BAL323","13","2","145.08"
"05-24-23 / 12:26 AM","Balcony","BAL303","13","2","205.4"
"05-24-23 / 12:26 AM","Balcony","BAL317","3","4","463.54"
"05-24-23 / 12:26 AM","Balcony","BAL308","9","5","168.48"
"05-24-23 / 12:26 AM","Balcony","BAL314","13","4","221.16"
"05-24-23 / 12:26 AM","Balcony","BAL322","14","1","149.76"
"05-24-23 / 12:26 AM","Balcony","BAL306","9","2","163.8"
