"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"04-12-24 / 06:47 PM","Balcony","BAL306","14","1","65.61"
"04-12-24 / 06:47 PM","Balcony","BAL314","13","3","98.7"
"04-12-24 / 06:47 PM","Loge","LOGE15","16","4","164.28"
"04-12-24 / 06:47 PM","Loge","LOGE7","3","1","123.02"
"04-12-24 / 02:30 PM","VIP","2","B","2","454.27"
"04-12-24 / 02:30 PM","Balcony","BAL323","5","1","105.11"
"04-12-24 / 02:30 PM","Loge","LOGE17","6","1","136.21"
"04-12-24 / 02:30 PM","Loge","LOGE9","26","3","136.43"
"04-12-24 / 02:30 PM","Loge","LOGE10","B","4","211.75"
"04-12-24 / 10:50 AM","Balcony","BAL324","12","4","67.34"
"04-12-24 / 10:50 AM","Balcony","BAL328","9","1","71.78"
"04-12-24 / 10:50 AM","Balcony","BAL309","14","2","70.2"
"04-12-24 / 10:50 AM","Loge","LOGE3","23","2","149.01"
"04-12-24 / 07:47 AM","VIP","2","B","2","537.23"
"04-12-24 / 07:47 AM","Loge","LOGE5","25","2","104.06"
"04-12-24 / 03:41 AM","Balcony","BAL328","11","1","66.16"
"04-12-24 / 03:41 AM","Loge","LOGE18","2","1","132.37"
"04-11-24 / 10:55 PM","Loge","LOGE15","23","2","153.39"
"04-11-24 / 06:45 PM","Loge","LOGE16","10","2","112.39"
"04-11-24 / 02:34 PM","Club","CLB141","E","3","270.56"
"04-11-24 / 02:34 PM","Balcony","BAL323","13","1","100.9"
"04-11-24 / 10:57 AM","Balcony","BAL303","6","3","109.46"
"04-11-24 / 07:46 AM","Balcony","BAL316","12","2","103.05"
"04-11-24 / 03:39 AM","Loge","LOGE19","22","2","137.36"
"04-10-24 / 11:00 PM","Loge","LOGE7","13","2","138.18"
"04-10-24 / 11:00 PM","Loge","LOGE10","C","1","262.96"
"04-10-24 / 06:32 PM","Balcony","BAL326","13","2","84.18"
"04-10-24 / 10:32 AM","Loge","LOGE21","7","4","322.65"
"04-10-24 / 10:32 AM","Loge","LOGE14","6","2","324.53"
"04-10-24 / 10:32 AM","Loge","LOGE7","C","2","278.3"
"04-10-24 / 10:32 AM","Loge","LOGE20","13","2","314.56"
"04-10-24 / 10:32 AM","Loge","LOGE15","10","4","233.88"
"04-10-24 / 10:32 AM","Loge","LOGE19","19","2","145.35"
"04-10-24 / 10:32 AM","Balcony","BAL317","1","2","179.49"
"04-10-24 / 10:32 AM","Balcony","BAL301","2","2","205.58"
"04-10-24 / 10:32 AM","Balcony","BAL317","11","2","137.36"
"04-10-24 / 10:32 AM","Balcony","BAL330","3","2","177.78"
"04-10-24 / 10:32 AM","Balcony","BAL316","12","2","125.98"
"04-10-24 / 10:32 AM","Balcony","BAL304","9","2","96.9"
"04-10-24 / 10:32 AM","Balcony","BAL328","12","4","88.83"
"04-10-24 / 10:32 AM","Balcony","BAL312","12","4","89.72"
"04-10-24 / 07:38 AM","Loge","LOGE7","E","2","180.31"
"04-10-24 / 07:38 AM","Loge","LOGE7","14","2","133.69"
"04-10-24 / 07:38 AM","Balcony","BAL308","11","5","93.31"
"04-10-24 / 07:38 AM","Balcony","BAL302","4","2","199.43"
"04-10-24 / 03:30 AM","VIP","2","B","4","627.18"
"04-10-24 / 03:30 AM","Loge","LOGE21","17","2","325.59"
"04-10-24 / 03:30 AM","Loge","LOGE11","17","2","338.12"
"04-10-24 / 03:30 AM","Loge","LOGE6","F","2","241.12"
"04-10-24 / 03:30 AM","Loge","LOGE15","4","3","242.04"
"04-10-24 / 03:30 AM","Loge","LOGE18","8","3","199.55"
"04-10-24 / 03:30 AM","Loge","LOGE3","C","2","239.57"
"04-10-24 / 03:30 AM","Loge","LOGE19","23","2","178.78"
"04-10-24 / 03:29 AM","Loge","LOGE16","22","3","138.18"
"04-10-24 / 03:29 AM","Loge","LOGE7","15","2","145.95"
"04-10-24 / 03:29 AM","Loge","LOGE7","25","4","134.59"
"04-10-24 / 03:29 AM","Club","CLB111","F","2","268.06"
"04-10-24 / 03:29 AM","Balcony","BAL330","4","4","149.57"
"04-10-24 / 03:29 AM","Balcony","BAL316","15","1","160.28"
"04-10-24 / 03:29 AM","Balcony","BAL324","8","4","146.23"
"04-10-24 / 03:29 AM","Balcony","BAL327","11","3","141.98"
"04-10-24 / 03:29 AM","Balcony","BAL318","6","2","143.67"
"04-10-24 / 03:29 AM","Balcony","BAL301","15","2","125.21"
"04-10-24 / 03:29 AM","Balcony","BAL322","13","2","127.04"
"04-10-24 / 03:29 AM","Balcony","BAL328","14","2","124.26"
"04-10-24 / 03:29 AM","Balcony","BAL311","12","2","106.55"
"04-10-24 / 03:29 AM","Balcony","BAL329","10","2","102.12"
"04-09-24 / 11:02 PM","Balcony","BAL308","5","2","97.8"
"04-09-24 / 02:33 PM","VIP","13","B","2","626.39"
"04-09-24 / 02:33 PM","Loge","LOGE18","J","2","217.56"
"04-09-24 / 02:33 PM","Loge","LOGE5","26","2","233.88"
"04-09-24 / 02:33 PM","Loge","LOGE19","26","2","248.38"
"04-09-24 / 02:33 PM","Loge","LOGE7","5","3","160.41"
"04-09-24 / 02:33 PM","Loge","LOGE18","18","2","142.66"
"04-09-24 / 02:33 PM","Loge","LOGE18","15","2","144.46"
"04-09-24 / 02:33 PM","Club","CLB107","F","3","237.13"
"04-09-24 / 02:33 PM","Loge","LOGE6","24","2","133.69"
"04-09-24 / 02:33 PM","Loge","LOGE6","17","6","140.51"
"04-09-24 / 02:33 PM","Balcony","BAL313","2","2","166.8"
"04-09-24 / 02:33 PM","Club","CLB115","G","3","231.55"
"04-09-24 / 02:33 PM","Balcony","BAL305","3","3","153.2"
