"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"04-05-24 / 09:57 PM","Balcony","BAL309","12","3","125.42"
"04-05-24 / 04:56 PM","Balcony","BAL301","11","1","201.88"
"04-05-24 / 04:56 PM","Balcony","BAL330","11","2","149.02"
"04-05-24 / 04:56 PM","VIP","11","B","2","615.12"
"04-05-24 / 12:48 PM","Loge","LOGE17","K","1","206.51"
"04-05-24 / 09:14 AM","Club","CLB141","E","1","333"
"04-05-24 / 05:15 AM","Balcony","BAL321","15","3","121.84"
"04-05-24 / 12:33 AM","Balcony","BAL312","12","2","110.89"
"04-05-24 / 12:33 AM","Balcony","BAL313","15","2","124.88"
"04-05-24 / 12:33 AM","Loge","LOGE15","16","5","282.07"
"04-05-24 / 12:33 AM","Loge","LOGE6","H","1","219.69"
"04-04-24 / 07:34 PM","Balcony","BAL309","9","2","118.35"
"04-04-24 / 03:03 PM","Club","CLB145","","2","270.56"
"04-04-24 / 01:46 AM","Balcony","BAL301","13","1","169.58"
"04-03-24 / 09:06 PM","Club","CLB111","F","2","258.08"
"04-03-24 / 09:06 PM","Loge","LOGE18","3","2","262.11"
"04-03-24 / 09:06 PM","Loge","LOGE7","13","2","166.5"
"04-03-24 / 04:20 AM","Balcony","BAL305","8","3","151.44"
"04-02-24 / 09:27 PM","Balcony","BAL319","12","2","134.55"
"04-02-24 / 07:35 AM","Loge","LOGE14","12","2","418.46"
"04-02-24 / 07:35 AM","Balcony","BAL316","4","2","285.18"
"04-02-24 / 07:35 AM","Loge","LOGE6","B","2","370.44"
"04-02-24 / 07:35 AM","Loge","LOGE7","H","1","344.46"
"04-02-24 / 07:35 AM","Loge","LOGE8","10","2","363.58"
"04-01-24 / 10:46 PM","Balcony","BAL303","10","2","160"
"04-01-24 / 10:46 PM","Balcony","BAL309","12","1","150.15"
"04-01-24 / 10:46 PM","Balcony","BAL318","10","2","181.39"
"04-01-24 / 10:46 PM","Balcony","BAL326","15","4","136.5"
