"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"11-13-23 / 01:15 PM","Balcony","BAL307","8","1","108"
"11-13-23 / 01:15 PM","Loge","LOGE10","9","1","202.5"
"11-13-23 / 01:15 PM","Balcony","BAL325","10","2","83.43"
"11-13-23 / 01:15 PM","Balcony","BAL322","8","2","83.43"
"11-13-23 / 01:15 PM","Loge","LOGE7","1","1","228"
"11-13-23 / 01:15 PM","Loge","LOGE3","B","2","305.55"
"11-13-23 / 04:39 AM","Balcony","BAL302","4","1","162.96"
"11-13-23 / 04:39 AM","Loge","LOGE7","22","2","146.88"
"11-13-23 / 04:39 AM","Loge","LOGE12","","1","360"
"11-13-23 / 12:44 AM","Loge","LOGE17","2","2","175.77"
"11-12-23 / 08:26 PM","Balcony","BAL329","9","1","90"
"11-12-23 / 08:26 PM","Loge","LOGE7","21","1","162"
"11-12-23 / 08:26 PM","Balcony","BAL327","7","1","85.54"
"11-12-23 / 07:04 AM","Loge","LOGE5","22","2","149.03"
"11-12-23 / 12:37 AM","Balcony","BAL305","4","2","80.1"
"11-12-23 / 12:37 AM","Balcony","BAL309","14","2","72.21"
"11-12-23 / 12:37 AM","Balcony","BAL323","8","3","86.33"
"11-11-23 / 08:34 PM","Balcony","BAL311","4","1","90.09"
"11-11-23 / 04:23 PM","Loge","LOGE18","2","2","197.1"
"11-11-23 / 05:22 AM","Balcony","BAL317","12","2","108.84"
"11-11-23 / 12:57 AM","Balcony","BAL309","14","2","77.73"
"11-10-23 / 07:26 PM","Loge","LOGE7","8","1","159.44"
"11-10-23 / 02:21 PM","Balcony","BAL312","11","1","78.79"
"11-09-23 / 08:18 PM","Balcony","BAL314","10","2","90.9"
"11-09-23 / 04:34 AM","Balcony","BAL330","11","2","121.5"
"11-09-23 / 12:00 AM","Balcony","BAL329","15","2","103.79"
"11-08-23 / 07:08 PM","VIP","6","B","2","1620"
"11-08-23 / 07:08 PM","Balcony","BAL319","7","1","89.1"
"11-08-23 / 06:49 AM","Balcony","BAL303","13","2","107.67"
"11-08-23 / 06:49 AM","Club","CLB111","","2","274.5"
"11-07-23 / 09:16 PM","Balcony","BAL316","10","3","126"
"11-07-23 / 09:16 PM","Balcony","BAL326","15","2","100.66"
"11-07-23 / 04:24 PM","Loge","LOGE17","J","2","204.25"
"11-07-23 / 04:24 PM","Loge","LOGE15","25","3","206.05"
"11-07-23 / 08:34 AM","Balcony","BAL314","13","2","88.35"
"11-07-23 / 05:11 AM","Balcony","BAL318","14","3","94.33"
"11-06-23 / 08:08 AM","Balcony","BAL312","9","2","72.38"
"11-06-23 / 01:01 AM","Balcony","BAL327","10","1","89.68"
"11-05-23 / 08:20 PM","Balcony","BAL320","14","2","78.02"
"11-05-23 / 08:20 PM","Loge","LOGE8","14","2","220.95"
"11-05-23 / 08:20 PM","Balcony","BAL314","2","1","121.25"
"11-05-23 / 03:25 PM","Balcony","BAL312","12","2","79.54"
"11-05-23 / 07:39 AM","Club","CLB141","H","2","386.06"
"11-05-23 / 12:54 AM","Balcony","BAL313","15","2","97.81"
"11-05-23 / 12:54 AM","Balcony","BAL325","13","3","67.5"
"11-05-23 / 12:54 AM","Balcony","BAL307","9","1","75.6"
"11-04-23 / 03:04 PM","Balcony","BAL328","14","2","77.6"
"11-04-23 / 03:04 PM","Loge","LOGE3","20","1","333.23"
"11-04-23 / 03:04 PM","Loge","LOGE18","5","2","191.3"
"11-04-23 / 03:04 PM","Balcony","BAL315","6","2","151.34"
"11-04-23 / 03:04 PM","Balcony","BAL316","8","2","168.32"
"11-04-23 / 03:04 PM","Loge","LOGE6","19","3","217.45"
"11-04-23 / 03:04 PM","Balcony","BAL306","13","4","100.15"
"11-04-23 / 03:04 PM","Loge","LOGE17","K","2","289.1"
"11-04-23 / 03:04 PM","Loge","LOGE4","15","2","168.3"
"11-04-23 / 03:04 PM","Balcony","BAL313","10","2","65.7"
"11-04-23 / 03:04 PM","Loge","LOGE13","12","2","329.8"
"11-04-23 / 03:04 PM","Loge","LOGE10","C","4","348.23"
"11-04-23 / 03:02 AM","Balcony","BAL328","15","1","104.34"
"11-04-23 / 03:02 AM","Loge","LOGE7","F","2","215.28"
"11-04-23 / 03:02 AM","Balcony","BAL329","12","4","78.73"
"11-04-23 / 03:02 AM","Loge","LOGE6","19","3","217.45"
"11-04-23 / 03:02 AM","Loge","LOGE18","15","2","182.31"
"11-04-23 / 03:02 AM","Balcony","BAL325","14","3","71.78"
"11-04-23 / 03:02 AM","Loge","LOGE8","12","4","221.04"
"11-04-23 / 03:02 AM","Loge","LOGE4","13","3","236.64"
