"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"04-11-24 / 06:49 PM","Club","CLB109","D","3","216.45"
"04-11-24 / 06:49 PM","Loge","LOGE17","13","1","166.95"
"04-11-24 / 06:49 PM","Balcony","BAL320","13","2","95.49"
"04-11-24 / 06:49 PM","Balcony","BAL328","9","3","124.45"
"04-11-24 / 06:49 PM","Balcony","BAL306","11","2","75.67"
"04-11-24 / 06:49 PM","Balcony","BAL306","14","3","77.28"
"04-11-24 / 06:49 PM","Balcony","BAL313","6","1","82.42"
"04-11-24 / 02:38 PM","VIP","2","B","2","631.86"
"04-11-24 / 02:38 PM","Loge","LOGE18","2","2","149.02"
"04-11-24 / 10:59 AM","Loge","LOGE20","20","3","230.73"
"04-10-24 / 11:05 PM","Loge","LOGE17","13","1","180.14"
"04-10-24 / 11:05 PM","Loge","LOGE15","14","1","263.27"
"04-10-24 / 11:05 PM","Balcony","BAL312","13","3","90.91"
"04-10-24 / 11:05 PM","Balcony","BAL326","15","2","105.22"
"04-10-24 / 06:37 PM","Balcony","BAL326","15","2","119.13"
"04-10-24 / 02:20 PM","VIP","6","A","2","832.65"
"04-10-24 / 10:35 AM","Suites","STE634","634","2","241.42"
"04-10-24 / 07:41 AM","Loge","LOGE6","16","3","348.63"
"04-10-24 / 07:41 AM","Loge","LOGE9","12","3","295.49"
"04-10-24 / 07:41 AM","Loge","LOGE8","25","2","150.74"
"04-10-24 / 07:41 AM","Balcony","BAL319","14","2","90.62"
"04-10-24 / 03:35 AM","Loge","LOGE8","26","3","161.12"
"04-10-24 / 03:35 AM","Loge","LOGE17","K","1","188.93"
"04-09-24 / 11:07 PM","Balcony","BAL307","14","1","208.12"
"04-09-24 / 11:07 PM","Balcony","BAL310","2","2","91.58"
"04-09-24 / 11:07 PM","Balcony","BAL314","10","2","112.39"
"04-09-24 / 06:51 PM","Loge","LOGE17","J","2","232.87"
"04-09-24 / 06:51 PM","Suites","STE634","SRO","1","208.12"
"04-09-24 / 02:38 PM","Balcony","BAL308","8","2","85.09"
"04-09-24 / 02:38 PM","Balcony","BAL307","14","1","100.24"
"04-08-24 / 11:18 PM","Balcony","BAL315","14","1","138.08"
"04-08-24 / 11:18 PM","Balcony","BAL330","9","2","142.66"
"04-08-24 / 07:12 PM","Balcony","BAL316","12","2","136.51"
"04-08-24 / 08:24 AM","Loge","LOGE3","4","2","349"
"04-08-24 / 05:08 AM","Balcony","BAL324","9","3","99.59"
"04-08-24 / 05:08 AM","Loge","LOGE9","24","1","195.6"
"04-08-24 / 05:08 AM","Loge","LOGE18","6","2","361.06"
"04-08-24 / 05:08 AM","Loge","LOGE8","13","3","192.01"
"04-07-24 / 09:36 PM","VIP","21","B","2","901.74"
"04-07-24 / 09:36 PM","Loge","LOGE6","B","1","361.25"
"04-07-24 / 09:36 PM","Loge","LOGE5","9","2","298.24"
"04-07-24 / 09:36 PM","Loge","LOGE6","15","4","243.27"
"04-07-24 / 09:36 PM","Loge","LOGE6","3","4","228.8"
"04-07-24 / 09:36 PM","Loge","LOGE5","12","3","185.83"
"04-07-24 / 09:36 PM","Loge","LOGE18","6","2","184.93"
"04-07-24 / 09:36 PM","Loge","LOGE7","13","4","177.66"
"04-07-24 / 09:36 PM","Club","CLB115","F","2","285.33"
"04-07-24 / 09:36 PM","Club","CLB111","E","2","308.02"
"04-07-24 / 09:36 PM","Club","CLB141","H","4","466.2"
"04-07-24 / 09:36 PM","Balcony","BAL309","6","1","188.14"
"04-07-24 / 09:36 PM","Balcony","BAL324","1","2","149.57"
"04-07-24 / 09:36 PM","Balcony","BAL327","1","2","155.69"
"04-07-24 / 09:36 PM","Balcony","BAL304","4","2","139.6"
"04-07-24 / 09:36 PM","Balcony","BAL302","15","2","125.21"
"04-07-24 / 09:36 PM","Balcony","BAL326","10","2","100.49"
"04-07-24 / 09:36 PM","Balcony","BAL305","5","3","112.39"
"04-07-24 / 09:36 PM","Balcony","BAL322","15","2","87.91"
"04-07-24 / 09:36 PM","Balcony","BAL308","11","2","86.14"
"04-07-24 / 05:49 PM","Balcony","BAL302","4","1","200.98"
"04-07-24 / 05:49 PM","Loge","LOGE7","9","2","292.8"
"04-07-24 / 05:49 PM","Loge","LOGE17","K","2","281.02"
"04-07-24 / 05:49 PM","Loge","LOGE6","A","1","290.16"
"04-07-24 / 05:49 PM","Loge","LOGE17","H","2","256.74"
"04-07-24 / 05:49 PM","Loge","LOGE17","13","4","240.22"
"04-07-24 / 05:49 PM","Loge","LOGE7","24","2","211.39"
"04-07-24 / 05:49 PM","Loge","LOGE19","20","2","222.09"
"04-07-24 / 05:49 PM","Loge","LOGE20","25","2","237.98"
"04-07-24 / 05:49 PM","Loge","LOGE6","3","2","193.41"
"04-07-24 / 05:49 PM","Loge","LOGE8","22","3","183.94"
"04-07-24 / 05:49 PM","Balcony","BAL302","5","2","206.68"
"04-07-24 / 05:49 PM","Balcony","BAL302","15","2","131.35"
"04-07-24 / 05:49 PM","Balcony","BAL306","13","4","101.39"
"04-07-24 / 10:48 AM","Loge","LOGE20","23","3","342.5"
"04-07-24 / 10:48 AM","Loge","LOGE6","19","7","224.31"
"04-07-24 / 10:48 AM","Balcony","BAL330","11","2","183.41"
"04-07-24 / 10:48 AM","Loge","LOGE17","6","4","193.81"
"04-07-24 / 10:48 AM","Balcony","BAL319","14","2","107.67"
"04-07-24 / 10:48 AM","Balcony","BAL311","12","4","99.59"
"04-07-24 / 08:07 AM","Balcony","BAL319","13","1","104.06"
"04-07-24 / 08:07 AM","Balcony","BAL320","1","2","163.08"
"04-07-24 / 08:07 AM","VIP","11","14","2","755.72"
"04-07-24 / 04:37 AM","Loge","LOGE10","20","2","388.68"
"04-07-24 / 04:37 AM","Loge","LOGE10","23","2","213.55"
"04-07-24 / 04:37 AM","Loge","LOGE17","21","2","207.59"
"04-07-24 / 12:48 AM","Loge","LOGE21","11","2","414.08"
"04-07-24 / 12:48 AM","Loge","LOGE18","D","4","333.78"
"04-07-24 / 12:48 AM","Loge","LOGE10","25","1","340.94"
"04-07-24 / 12:48 AM","Loge","LOGE3","7","2","361.69"
"04-07-24 / 12:48 AM","Loge","LOGE10","10","4","284.07"
"04-07-24 / 12:48 AM","Loge","LOGE9","10","2","206.68"
"04-07-24 / 12:48 AM","Loge","LOGE17","13","4","249.23"
"04-07-24 / 12:48 AM","Loge","LOGE9","15","2","202.15"
"04-07-24 / 12:48 AM","Loge","LOGE5","22","4","177.74"
"04-07-24 / 12:48 AM","Balcony","BAL304","1","2","177.67"
"04-07-24 / 12:48 AM","Balcony","BAL318","2","2","183.11"
"04-07-24 / 12:48 AM","Balcony","BAL302","15","4","131.35"
"04-07-24 / 12:48 AM","Balcony","BAL319","12","4","91.17"
"04-07-24 / 12:48 AM","Balcony","BAL313","12","2","92.31"
"04-06-24 / 08:54 PM","Loge","LOGE18","4","1","201.6"
"04-06-24 / 08:54 PM","Loge","LOGE10","3","2","338.46"
"04-06-24 / 08:54 PM","Suites","STE650","SRO65","2","249.75"
"04-06-24 / 08:54 PM","Loge","LOGE20","4","2","444.18"
"04-06-24 / 08:54 PM","Loge","LOGE19","26","3","205.47"
"04-06-24 / 08:54 PM","Loge","LOGE15","17","4","219.13"
"04-06-24 / 08:54 PM","Loge","LOGE18","6","2","192.01"
