"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"02-01-24 / 05:59 PM","Balcony","BAL308","15","2","165.19"
"02-01-24 / 02:31 PM","Balcony","BAL308","15","3","175.2"
"02-01-24 / 02:31 PM","Balcony","BAL305","11","1","207"
"02-01-24 / 02:31 PM","Balcony","BAL323","13","2","162.23"
"02-01-24 / 02:31 PM","Balcony","BAL322","15","1","182"
"02-01-24 / 11:07 AM","Balcony","BAL309","13","2","184.47"
"02-01-24 / 11:07 AM","Balcony","BAL314","13","1","213.59"
"02-01-24 / 08:40 AM","VIP","21","B","2","1295.62"
"02-01-24 / 08:40 AM","Loge","LOGE18","19","1","514.56"
"02-01-24 / 08:40 AM","Balcony","BAL324","5","2","225.4"
"02-01-24 / 08:40 AM","Loge","LOGE7","16","2","546.84"
"02-01-24 / 08:40 AM","Loge","LOGE18","J","2","575.26"
"02-01-24 / 08:40 AM","Balcony","BAL315","8","2","311.35"
"02-01-24 / 08:40 AM","Balcony","BAL301","6","2","340.64"
"02-01-24 / 08:39 AM","Balcony","BAL326","9","4","180.42"
"02-01-24 / 08:39 AM","Balcony","BAL320","10","2","227.25"
"02-01-24 / 08:39 AM","Loge","LOGE17","15","2","355.02"
"02-01-24 / 08:39 AM","Balcony","BAL322","8","2","171.69"
"02-01-24 / 08:39 AM","Loge","LOGE16","12","2","359.1"
"02-01-24 / 08:39 AM","Loge","LOGE11","4","4","962.36"
"02-01-24 / 08:39 AM","Loge","LOGE7","1","3","460.75"
"02-01-24 / 08:39 AM","Balcony","BAL310","7","2","183.33"
"02-01-24 / 06:27 AM","Balcony","BAL323","15","1","162"
"02-01-24 / 06:27 AM","Loge","LOGE11","7","2","949.62"
"02-01-24 / 06:27 AM","Loge","LOGE19","24","1","360"
"02-01-24 / 06:27 AM","Loge","LOGE18","D","3","710.04"
"02-01-24 / 06:27 AM","Balcony","BAL322","12","1","253.32"
"02-01-24 / 06:27 AM","Balcony","BAL324","8","2","179.45"
"02-01-24 / 03:30 AM","Loge","LOGE20","7","1","499.5"
"02-01-24 / 03:30 AM","Balcony","BAL308","15","2","165.19"
"02-01-24 / 03:30 AM","Club","CLB145","G","2","506.7"
"02-01-24 / 03:30 AM","Loge","LOGE18","A","2","718.34"
"02-01-24 / 03:30 AM","Loge","LOGE19","19","2","476.28"
"02-01-24 / 03:30 AM","Loge","LOGE4","7","2","649.74"
"02-01-24 / 03:30 AM","Loge","LOGE11","15","2","792.82"
"02-01-24 / 03:30 AM","Balcony","BAL310","8","1","162"
"02-01-24 / 03:30 AM","Balcony","BAL306","4","2","242.06"
"02-01-24 / 03:30 AM","Loge","LOGE6","H","2","461.58"
"02-01-24 / 03:30 AM","Loge","LOGE15","22","1","382.2"
"02-01-24 / 03:30 AM","Balcony","BAL329","11","3","295.61"
"02-01-24 / 03:30 AM","Balcony","BAL326","3","2","204.67"
"02-01-24 / 03:30 AM","Loge","LOGE18","F","4","480.7"
"02-01-24 / 03:30 AM","Balcony","BAL304","8","4","216.31"
"02-01-24 / 03:30 AM","Loge","LOGE17","20","6","396.73"
"02-01-24 / 03:30 AM","Balcony","BAL311","6","6","217.28"
"02-01-24 / 03:30 AM","Balcony","BAL313","2","2","281.3"
"02-01-24 / 03:30 AM","VIP","2","B","2","2045.26"
"02-01-24 / 12:11 AM","Balcony","BAL308","15","2","175.2"
"02-01-24 / 12:11 AM","Balcony","BAL328","5","1","235.41"
"02-01-24 / 12:11 AM","Balcony","BAL306","14","3","174.6"
"01-31-24 / 04:51 PM","Balcony","BAL307","13","1","169.28"
"01-31-24 / 04:51 PM","Balcony","BAL314","13","1","235.48"
"01-31-24 / 04:51 PM","Balcony","BAL302","13","1","260.93"
"01-31-24 / 04:51 PM","Balcony","BAL326","10","4","181.89"
"01-31-24 / 04:51 PM","Loge","LOGE18","E","2","587.02"
"01-31-24 / 04:51 PM","Balcony","BAL328","5","2","329.28"
"01-31-24 / 04:51 PM","Balcony","BAL322","9","4","181.39"
"01-31-24 / 04:51 PM","Loge","LOGE5","23","2","463.66"
"01-31-24 / 04:51 PM","Loge","LOGE21","15","2","777.29"
"01-31-24 / 04:51 PM","Loge","LOGE10","5","2","888.86"
"01-31-24 / 04:51 PM","Balcony","BAL328","11","2","197.57"
"01-31-24 / 04:51 PM","Loge","LOGE7","B","2","745.78"
"01-31-24 / 04:51 PM","Loge","LOGE19","21","3","461.58"
"01-31-24 / 04:51 PM","Balcony","BAL310","8","2","175.57"
"01-31-24 / 04:51 PM","Loge","LOGE7","5","4","469.48"
"01-31-24 / 04:51 PM","Loge","LOGE15","4","2","524.3"
"01-31-24 / 04:51 PM","Balcony","BAL305","11","4","195.65"
"01-31-24 / 04:51 PM","Balcony","BAL323","9","2","241.53"
"01-31-24 / 04:51 PM","Balcony","BAL322","12","1","280.97"
"01-31-24 / 04:51 PM","Balcony","BAL304","8","3","321.16"
"01-31-24 / 04:51 PM","Balcony","BAL305","13","2","168.78"
"01-31-24 / 04:51 PM","Loge","LOGE6","3","2","607.6"
"01-31-24 / 04:51 PM","Balcony","BAL303","11","3","238.62"
"01-31-24 / 04:51 PM","Balcony","BAL305","9","3","203.7"
"01-31-24 / 04:51 PM","Balcony","BAL327","10","2","254.14"
"01-31-24 / 04:51 PM","Loge","LOGE17","7","2","475.3"
"01-31-24 / 04:51 PM","Loge","LOGE20","C","3","815.77"
"01-31-24 / 04:51 PM","Balcony","BAL313","9","6","242.5"
"01-31-24 / 04:50 PM","Balcony","BAL323","3","3","227.95"
"01-31-24 / 04:50 PM","Loge","LOGE15","14","7","762.37"
"01-31-24 / 04:50 PM","Balcony","BAL302","7","2","378.3"
"01-31-24 / 04:50 PM","Balcony","BAL322","12","4","165.87"
"01-31-24 / 04:50 PM","Balcony","BAL329","14","2","288.09"
"01-31-24 / 04:50 PM","Loge","LOGE19","26","3","466.57"
"01-31-24 / 04:50 PM","Loge","LOGE9","13","1","486"
"01-31-24 / 10:48 AM","Loge","LOGE21","18","4","705.6"
