"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"03-31-21 / 07:09 PM","Loge Baseline","6","9","4","105.45"
"03-31-21 / 06:18 PM","Balcony Center","317","10","4","75.05"
"03-31-21 / 06:18 PM","Loge Center","13","13","4","176.7"
"03-31-21 / 05:10 PM","Loge Center","12","16","2","379.05"
"03-31-21 / 03:30 PM","Balcony Baseline","310","15","2","151.99"
"03-31-21 / 03:11 PM","Loge Corner","16","4","2","210.9"
"03-31-21 / 02:53 PM","Club Center","139","G","2","427.5"
"03-31-21 / 02:53 PM","Balcony Center","316","5","4","119.7"
"03-31-21 / 01:12 PM","Loge Corner","3","22","2","277.81"
"03-31-21 / 12:07 PM","Balcony Baseline","308","1","4","104.5"
"03-31-21 / 11:49 AM","Balcony Center","301","7","2","185.25"
"03-31-21 / 11:49 AM","Loge Corner","10","10","2","289.75"
"03-31-21 / 10:11 AM","Loge Baseline","6","13","1","210.9"
"03-31-21 / 09:54 AM","Loge Baseline","17","7","2","255.55"
"03-31-21 / 01:17 AM","Club Center","139","G","2","215.46"
"03-30-21 / 10:53 PM","Loge Baseline","17","17","2","210.9"
"03-30-21 / 09:48 PM","Club Center","109","G","2","237.5"
"03-30-21 / 09:32 PM","Balcony Baseline","310","1","2","166.93"
"03-30-21 / 09:32 PM","Loge Baseline","17","17","1","210.9"
"03-30-21 / 07:18 PM","Loge Center","1","16","2","360.05"
"03-30-21 / 05:36 PM","Loge Baseline","6","13","2","226.71"
"03-30-21 / 01:59 PM","Club Center","143","G","2","233.7"
"03-30-21 / 01:10 PM","Balcony Center","317","10","4","95"
"03-30-21 / 11:30 AM","Loge Corner","19","26","3","173.99"
"03-30-21 / 11:30 AM","Balcony Center","317","8","2","134.9"
"03-30-21 / 11:30 AM","Loge Corner","19","26","1","179.26"
"03-30-21 / 11:14 AM","Loge Corner","19","26","4","179.26"
"03-30-21 / 10:39 AM","Loge Center","13","11","2","332.5"
"03-30-21 / 10:22 AM","Loge Corner","16","4","2","166.25"
"03-30-21 / 10:22 AM","Loge Corner","16","9","2","189.05"
"03-29-21 / 10:56 PM","Loge Corner","15","18","2","236.55"
"03-29-21 / 10:24 PM","Loge Corner","19","26","4","196.27"
"03-29-21 / 09:37 PM","Club Center","111","E","2","252.06"
"03-29-21 / 09:19 PM","Balcony Corner","321","13","4","87.77"
"03-29-21 / 08:30 PM","Club Center","143","C","2","234.41"
"03-29-21 / 08:14 PM","Balcony Corner","326","9","4","92.16"
"03-29-21 / 03:25 PM","Balcony Center","301","15","2","151.14"
"03-29-21 / 02:22 PM","Club Center","143","E","2","259.35"
"03-29-21 / 12:30 PM","Balcony Center","330","5","2","169.1"
"03-29-21 / 11:58 AM","Loge Corner","9","8","4","181.15"
"03-28-21 / 06:20 PM","Balcony Corner","326","13","2","80.75"
"03-28-21 / 06:05 PM","Loge Center","1","15","2","455.05"
"03-28-21 / 06:05 PM","Loge Corner","10","26","2","224.54"
"03-28-21 / 02:59 PM","Loge Center","2","8","4","478.8"
"03-27-21 / 09:45 PM","Loge Corner","19","24","2","211.58"
"03-27-21 / 08:43 PM","Balcony Center","301","1","4","171"
"03-27-21 / 11:25 AM","Balcony Baseline","308","13","2","104.5"
"03-27-21 / 08:51 AM","Balcony Corner","321","9","4","76.53"
"03-26-21 / 07:25 PM","Balcony Baseline","324","13","2","95"
"03-26-21 / 11:39 AM","Balcony Center","317","10","4","113.05"
"03-25-21 / 11:17 PM","Loge Corner","5","8","2","189.05"
"03-25-21 / 09:49 PM","Loge Baseline","18","11","2","211.94"
"03-25-21 / 08:09 PM","Loge Center","1","16","2","451.25"
"03-25-21 / 03:00 PM","Loge Center","11","8","2","459.8"
"03-25-21 / 10:14 AM","Club Corner","137","J","2","237.5"
"03-25-21 / 03:41 AM","Balcony Corner","326","13","2","123.5"
"03-24-21 / 06:56 PM","Club Center","111","G","2","290.79"
"03-23-21 / 04:05 PM","Balcony Corner","306","3","2","156.89"
"03-22-21 / 11:52 AM","Balcony Center","317","12","2","133"
"03-22-21 / 11:52 AM","Balcony Baseline","324","1","2","142.5"
"03-22-21 / 09:43 AM","Loge Corner","3","22","4","261.25"
"03-22-21 / 08:48 AM","Balcony Center","330","11","2","145.35"
"03-22-21 / 12:37 AM","Balcony Center","301","11","4","133.28"
"03-19-21 / 05:35 PM","Loge Center","12","15","2","556.11"
"03-19-21 / 11:57 AM","Balcony Center","301","13","2","140.6"
"03-18-21 / 06:05 PM","Balcony Center","302","13","2","140.59"
"03-18-21 / 04:33 PM","Loge Corner","10","24","2","359.1"
"03-18-21 / 01:35 PM","Balcony Baseline","308","1","2","147.25"
"03-17-21 / 02:25 AM","Loge Corner","19","25","2","231.8"
"03-16-21 / 08:08 PM","Loge Corner","9","13","2","261.25"
"03-16-21 / 06:38 PM","Balcony Baseline","310","15","2","125.25"
"03-16-21 / 04:41 PM","Balcony Center","302","9","4","127.3"
"03-16-21 / 11:24 AM","Loge Baseline","6","15","2","236.86"
"03-15-21 / 11:11 AM","Balcony Center","316","11","2","185.25"
"03-14-21 / 11:32 PM","Balcony Baseline","324","13","2","122.81"
"03-14-21 / 02:28 PM","Loge Baseline","18","9","2","235.77"
