"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"03-01-24 / 09:05 PM","Loge","LOGE7","3","2","307.56"
"03-01-24 / 03:44 PM","Loge","LOGE7","1","1","333.92"
"03-01-24 / 03:44 PM","Loge","LOGE4","10","2","358"
"03-01-24 / 03:44 PM","Loge","LOGE17","18","5","305.06"
"03-01-24 / 03:44 PM","Loge","LOGE9","23","2","298.78"
"03-01-24 / 03:44 PM","Balcony","BAL305","13","2","188.92"
"03-01-24 / 03:44 PM","Balcony","BAL326","11","1","189.39"
"03-01-24 / 10:44 AM","Balcony","BAL324","9","2","147.14"
"03-01-24 / 10:44 AM","Balcony","BAL302","7","2","212.65"
"03-01-24 / 06:27 AM","Loge","LOGE8","14","2","307.61"
"03-01-24 / 06:27 AM","Loge","LOGE12","14","2","698.56"
"03-01-24 / 06:27 AM","Loge","LOGE20","5","1","588.49"
"03-01-24 / 06:27 AM","Loge","LOGE2","13","2","530.27"
"03-01-24 / 06:27 AM","Loge","LOGE1","17","2","478.69"
"03-01-24 / 06:27 AM","Loge","LOGE1","18","2","497.97"
"03-01-24 / 06:27 AM","Loge","LOGE3","26","5","437.86"
"03-01-24 / 06:27 AM","Loge","LOGE7","25","3","379"
"03-01-24 / 06:27 AM","Loge","LOGE6","4","1","356.51"
"03-01-24 / 06:27 AM","Loge","LOGE4","26","2","283.53"
"03-01-24 / 06:27 AM","Loge","LOGE15","22","2","266.48"
"03-01-24 / 06:27 AM","Club","CLB143","B","2","437.06"
"03-01-24 / 06:27 AM","Balcony","BAL328","9","1","307.26"
"03-01-24 / 06:27 AM","Balcony","BAL302","15","2","192.01"
"03-01-24 / 06:27 AM","Balcony","BAL311","7","5","182.14"
"03-01-24 / 06:27 AM","Balcony","BAL325","6","3","177.66"
"03-01-24 / 06:27 AM","Balcony","BAL323","4","6","168.16"
"03-01-24 / 06:27 AM","Balcony","BAL320","11","6","175.7"
"03-01-24 / 06:27 AM","Balcony","BAL309","7","2","148.94"
"03-01-24 / 06:27 AM","Balcony","BAL305","11","2","150.74"
"03-01-24 / 06:27 AM","Balcony","BAL324","12","5","165.82"
"03-01-24 / 01:18 AM","Lofts","LOFT06","","2","1047.55"
"03-01-24 / 01:18 AM","Lofts","LOFT05","","1","1248.87"
"02-29-24 / 07:53 PM","Balcony","BAL326","9","3","166.5"
"02-29-24 / 07:53 PM","Balcony","BAL304","9","2","165.67"
"02-29-24 / 07:53 PM","Loge","LOGE10","B","3","624.49"
"02-29-24 / 07:53 PM","Loge","LOGE3","B","4","666"
"02-29-24 / 07:53 PM","Loge","LOGE14","A","2","582.75"
"02-29-24 / 07:53 PM","Loge","LOGE2","16","2","562.02"
"02-29-24 / 07:53 PM","Loge","LOGE21","14","2","564.13"
"02-29-24 / 07:53 PM","Loge","LOGE10","A","2","520.4"
"02-29-24 / 07:53 PM","Loge","LOGE20","C","2","468.36"
"02-29-24 / 07:53 PM","Loge","LOGE3","26","6","442.34"
"02-29-24 / 07:53 PM","Loge","LOGE20","5","2","459.39"
"02-29-24 / 07:53 PM","Loge","LOGE10","C","2","427.09"
"02-29-24 / 07:53 PM","Loge","LOGE6","F","1","409.29"
"02-29-24 / 07:53 PM","Loge","LOGE18","G","4","412.81"
"02-29-24 / 07:53 PM","Loge","LOGE8","24","3","399.68"
"02-29-24 / 07:53 PM","Loge","LOGE6","4","1","372.62"
"02-29-24 / 07:53 PM","Loge","LOGE18","L","2","355.73"
"02-29-24 / 07:53 PM","Loge","LOGE3","26","2","332.18"
"02-29-24 / 07:53 PM","Loge","LOGE15","26","4","331.55"
"02-29-24 / 07:53 PM","Loge","LOGE15","22","2","326.55"
"02-29-24 / 07:53 PM","Loge","LOGE7","18","4","325.29"
"02-29-24 / 07:53 PM","Loge","LOGE6","19","7","317.63"
"02-29-24 / 07:52 PM","Loge","LOGE8","5","3","294.3"
"02-29-24 / 07:52 PM","Loge","LOGE7","7","2","281.74"
"02-29-24 / 07:52 PM","Loge","LOGE17","5","2","272.76"
"02-29-24 / 07:52 PM","Loge","LOGE17","18","4","279.04"
"02-29-24 / 07:52 PM","Loge","LOGE6","11","2","265.59"
"02-29-24 / 07:52 PM","Loge","LOGE9","23","1","263.79"
"02-29-24 / 07:52 PM","Loge","LOGE20","21","3","261.96"
"02-29-24 / 07:52 PM","Loge","LOGE17","20","2","247.64"
"02-29-24 / 07:52 PM","Loge","LOGE18","19","2","248.54"
"02-29-24 / 07:52 PM","Loge","LOGE6","22","2","240.46"
"02-29-24 / 07:52 PM","Balcony","BAL302","12","4","271.69"
"02-29-24 / 07:52 PM","Balcony","BAL302","8","4","230.48"
