"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"06-06-24 / 06:59 PM","VIP","12","C","1","5968.61"
"06-06-24 / 06:59 PM","Balcony","BAL315","15","2","790.88"
"06-06-24 / 06:59 PM","Balcony","BAL310","6","2","824.57"
"06-06-24 / 02:06 PM","Balcony","BAL305","15","2","646.02"
"06-06-24 / 02:06 PM","Loge","LOGE6","8","1","1319.05"
"06-06-24 / 02:06 PM","Balcony","BAL323","12","1","650.51"
"06-06-24 / 02:06 PM","Balcony","BAL321","6","2","715.89"
"06-06-24 / 02:06 PM","Balcony","BAL323","7","1","630.62"
"06-06-24 / 09:53 AM","Balcony","BAL317","7","1","1326.47"
"06-06-24 / 09:53 AM","Balcony","BAL305","15","2","615.12"
"06-06-24 / 09:53 AM","Loge","LOGE6","11","1","1301.01"
"06-06-24 / 09:53 AM","Loge","LOGE20","25","2","1787.88"
"06-06-24 / 09:53 AM","VIP","13","B","2","4836.02"
"06-06-24 / 09:53 AM","Loge","LOGE14","9","1","1789.04"
"06-06-24 / 09:53 AM","Loge","LOGE1","18","2","2615.73"
"06-06-24 / 09:53 AM","VIP","6","B","2","8192.04"
"06-06-24 / 09:53 AM","VIP","13","B","2","5429.94"
"06-06-24 / 09:53 AM","VIP","13","C","2","6554"
"06-06-24 / 09:53 AM","Loge","LOGE2","3","2","3018.35"
"06-06-24 / 09:53 AM","Loge","LOGE18","1","2","3151.9"
"06-06-24 / 09:53 AM","Loge","LOGE18","G","2","2714.97"
"06-06-24 / 09:53 AM","Loge","LOGE3","4","2","2899.89"
"06-06-24 / 09:53 AM","Loge","LOGE4","5","3","2711.34"
"06-06-24 / 09:53 AM","Loge","LOGE4","25","2","2480.18"
"06-06-24 / 09:53 AM","Loge","LOGE3","B","2","2646.98"
"06-06-24 / 09:53 AM","Loge","LOGE10","A","6","2698.93"
"06-06-24 / 09:53 AM","Loge","LOGE17","B","5","2445.9"
"06-06-24 / 09:53 AM","Loge","LOGE3","23","2","2452.99"
"06-06-24 / 09:53 AM","Loge","LOGE14","2","2","2234.52"
"06-06-24 / 09:53 AM","Loge","LOGE17","C","2","2326.99"
"06-06-24 / 09:53 AM","Loge","LOGE15","24","2","2329.7"
"06-06-24 / 09:53 AM","Loge","LOGE7","5","1","2050.5"
"06-06-24 / 09:53 AM","Loge","LOGE20","22","2","2207.33"
"06-06-24 / 09:53 AM","Loge","LOGE8","18","2","1950.79"
"06-06-24 / 09:53 AM","Loge","LOGE9","20","2","1992.49"
"06-06-24 / 09:53 AM","Loge","LOGE3","9","2","2005.18"
"06-06-24 / 09:53 AM","Loge","LOGE6","4","2","1939"
"06-06-24 / 09:53 AM","Loge","LOGE6","B","2","1863.59"
"06-06-24 / 09:53 AM","Loge","LOGE15","21","2","1869.2"
"06-06-24 / 09:53 AM","Loge","LOGE20","21","2","1890.96"
"06-06-24 / 09:53 AM","Loge","LOGE5","6","2","1812.09"
"06-06-24 / 09:53 AM","Loge","LOGE9","23","2","1818.44"
"06-06-24 / 09:53 AM","Loge","LOGE15","15","2","1702.41"
"06-06-24 / 09:53 AM","Loge","LOGE3","11","2","1778.55"
"06-06-24 / 09:53 AM","Loge","LOGE17","M","2","1798.5"
"06-06-24 / 09:53 AM","Loge","LOGE15","22","2","1682.46"
"06-06-24 / 09:53 AM","Loge","LOGE19","22","1","1686.09"
"06-06-24 / 09:53 AM","Loge","LOGE6","6","1","1612.66"
"06-06-24 / 09:53 AM","Loge","LOGE6","8","4","1672.49"
"06-06-24 / 09:53 AM","Balcony","BAL301","5","1","1577.31"
"06-06-24 / 09:53 AM","Loge","LOGE3","9","2","1565.1"
"06-06-24 / 09:53 AM","Loge","LOGE9","23","1","1607.22"
"06-06-24 / 09:52 AM","Balcony","BAL314","2","4","1547.4"
"06-06-24 / 09:52 AM","Loge","LOGE3","23","2","1559.76"
