"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"06-09-24 / 08:14 PM","Balcony","BAL319","13","1","862.34"
"06-09-24 / 08:14 PM","Balcony","BAL313","12","2","1096.26"
"06-09-24 / 08:14 PM","VIP","2","B","2","4889.07"
"06-09-24 / 08:14 PM","Loge","LOGE20","10","2","4286.84"
"06-09-24 / 08:14 PM","Loge","LOGE10","3","2","3547.13"
"06-09-24 / 08:14 PM","Loge","LOGE4","22","1","1902.17"
"06-09-24 / 08:14 PM","Balcony","BAL323","2","2","1066.83"
"06-09-24 / 08:14 PM","Loge","LOGE2","17","2","3382.63"
"06-09-24 / 08:14 PM","Club","CLB115","G","2","3238.42"
"06-09-24 / 08:14 PM","Loge","LOGE7","16","2","2020.61"
"06-09-24 / 08:14 PM","Balcony","BAL301","12","4","1430.22"
"06-09-24 / 08:14 PM","Loge","LOGE6","21","2","1971.26"
"06-09-24 / 08:14 PM","Balcony","BAL305","12","4","882"
"06-09-24 / 08:14 PM","Balcony","BAL327","10","2","1667.05"
"06-09-24 / 08:14 PM","Balcony","BAL328","4","1","1886.43"
"06-09-24 / 08:14 PM","Balcony","BAL322","10","2","932.24"
"06-09-24 / 08:14 PM","Balcony","BAL318","9","2","1189.33"
"06-09-24 / 08:14 PM","Balcony","BAL322","13","2","881.1"
"06-09-24 / 08:14 PM","Balcony","BAL321","12","2","923.27"
"06-09-24 / 08:14 PM","Loge","LOGE12","1","2","5412.21"
"06-09-24 / 08:14 PM","VIP","12","A","2","8036.67"
"06-09-24 / 08:14 PM","Loge","LOGE3","B","6","4111.2"
"06-09-24 / 08:14 PM","Loge","LOGE7","C","2","4741"
"06-09-24 / 08:14 PM","Loge","LOGE3","25","2","2392.5"
"06-09-24 / 08:14 PM","Loge","LOGE14","12","2","4139.99"
"06-09-24 / 08:14 PM","Loge","LOGE7","22","2","2042.4"
"06-09-24 / 08:14 PM","Loge","LOGE6","12","5","2358.87"
"06-09-24 / 08:14 PM","Balcony","BAL315","11","1","1601.79"
"06-09-24 / 08:14 PM","Loge","LOGE16","26","2","1891.86"
"06-09-24 / 08:14 PM","Balcony","BAL324","2","3","1241.79"
"06-09-24 / 08:14 PM","Balcony","BAL316","9","2","1715.1"
"06-09-24 / 08:14 PM","Balcony","BAL330","10","2","1132.33"
"06-09-24 / 08:14 PM","Balcony","BAL321","14","2","879.63"
"06-09-24 / 08:14 PM","Club","CLB113","A","2","3787.88"
"06-09-24 / 08:14 PM","Loge","LOGE5","23","1","1893.2"
"06-09-24 / 08:14 PM","Loge","LOGE7","E","2","2518.81"
"06-09-24 / 08:14 PM","Balcony","BAL319","12","2","1145.82"
"06-09-24 / 08:14 PM","Balcony","BAL321","10","2","1435.6"
