"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"11-10-23 / 07:22 PM","Balcony","BAL317","12","3","195.95"
"11-10-23 / 02:17 PM","Balcony","BAL307","13","1","117.57"
"11-10-23 / 02:17 PM","Balcony","BAL313","13","1","191.1"
"11-10-23 / 09:48 AM","Loge","LOGE10","11","1","273.6"
"11-10-23 / 09:48 AM","Loge","LOGE3","24","1","285"
"11-10-23 / 01:09 AM","Club","CLB111","D","2","337.5"
"11-09-23 / 08:13 PM","Balcony","BAL324","9","3","129.98"
"11-09-23 / 03:06 PM","Loge","LOGE10","18","3","335.8"
"11-08-23 / 11:54 PM","Loge","LOGE1","18","2","436"
"11-08-23 / 07:05 PM","Club","CLB107","J","1","281.17"
"11-08-23 / 09:57 AM","Loge","LOGE20","26","1","261"
"11-08-23 / 02:24 AM","Balcony","BAL326","11","3","159.25"
"11-07-23 / 09:12 PM","Balcony","BAL323","7","3","148.32"
"11-07-23 / 04:21 PM","Loge","LOGE17","6","2","264.81"
"11-07-23 / 12:26 AM","Balcony","BAL312","13","3","131.95"
"11-06-23 / 02:50 PM","Balcony","BAL322","14","2","126"
"11-06-23 / 12:58 AM","Balcony","BAL330","11","2","143.1"
"11-05-23 / 03:21 PM","Loge","LOGE18","2","2","224.1"
"11-04-23 / 07:48 PM","Balcony","BAL316","10","2","157.5"
"11-04-23 / 07:48 PM","Balcony","BAL325","10","3","121.66"
"11-03-23 / 09:19 PM","Balcony","BAL329","11","2","115.2"
"11-03-23 / 03:38 PM","Balcony","BAL322","15","2","83.72"
"11-03-23 / 11:12 AM","Balcony","BAL307","13","3","106.58"
"11-03-23 / 11:12 AM","Club","CLB141","E","2","319.5"
"11-03-23 / 11:12 AM","Loge","LOGE6","L","4","269.47"
"11-03-23 / 11:12 AM","Balcony","BAL309","5","2","142.35"
"11-03-23 / 11:12 AM","Balcony","BAL313","1","2","168.56"
"11-03-23 / 11:12 AM","Loge","LOGE3","22","2","253.68"
"11-03-23 / 11:12 AM","Balcony","BAL322","13","2","131.36"
"11-03-23 / 11:12 AM","Balcony","BAL324","5","2","139.35"
"11-03-23 / 11:12 AM","Loge","LOGE6","15","2","205.92"
"11-03-23 / 11:12 AM","Loge","LOGE6","21","4","258.2"
"11-03-23 / 11:12 AM","Balcony","BAL327","7","2","137.35"
"11-03-23 / 11:12 AM","Loge","LOGE6","F","4","480.12"
"11-03-23 / 11:12 AM","Balcony","BAL303","4","2","187.31"
"11-03-23 / 11:12 AM","Loge","LOGE18","E","2","257.31"
"11-03-23 / 11:12 AM","Loge","LOGE11","11","2","448.81"
"11-03-23 / 11:12 AM","Balcony","BAL310","9","2","130.36"
"11-03-23 / 11:12 AM","Loge","LOGE20","4","2","371.42"
