"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"02-14-24 / 05:14 PM","Loge","LOGE7","25","2","158.47"
"02-14-24 / 01:29 PM","Loge","LOGE3","24","1","168.78"
"02-14-24 / 10:20 AM","Balcony","BAL314","13","4","96.75"
"02-14-24 / 07:22 AM","Club","CLB143","B","2","206.1"
"02-14-24 / 07:22 AM","Balcony","BAL329","15","3","81.22"
"02-14-24 / 07:22 AM","Balcony","BAL321","11","5","81.48"
"02-14-24 / 04:22 AM","Loge","LOGE7","3","2","180.5"
"02-14-24 / 04:22 AM","Loge","LOGE21","18","1","247.5"
"02-14-24 / 04:22 AM","Balcony","BAL304","12","2","81.9"
"02-14-24 / 04:22 AM","Balcony","BAL303","14","5","100.1"
"02-13-24 / 08:51 PM","Loge","LOGE17","2","2","184.14"
"02-13-24 / 08:51 PM","Loge","LOGE15","15","5","213.47"
"02-13-24 / 08:51 PM","Balcony","BAL330","11","2","112.5"
"02-13-24 / 08:51 PM","Balcony","BAL329","12","2","99"
"02-13-24 / 08:51 PM","Balcony","BAL308","9","1","89.99"
"02-13-24 / 08:51 PM","SportsDeck","Sports Deck","C","3","268.2"
"02-13-24 / 08:51 PM","Balcony","BAL328","9","2","98.54"
"02-13-24 / 01:17 PM","Loge","LOGE18","J","2","148.5"
"02-13-24 / 01:17 PM","Loge","LOGE4","10","2","218.25"
"02-13-24 / 07:19 AM","Loge","LOGE21","8","3","270"
"02-13-24 / 07:19 AM","Balcony","BAL321","13","4","77.3"
"02-13-24 / 04:21 AM","Balcony","BAL317","12","2","107.67"
"02-13-24 / 04:21 AM","Loge","LOGE8","12","3","180.32"
"02-13-24 / 04:21 AM","Loge","LOGE8","25","2","140.65"
"02-13-24 / 04:21 AM","VIP","7","B","2","425.83"
"02-13-24 / 04:21 AM","Loge","LOGE5","4","1","207.24"
"02-13-24 / 04:21 AM","Loge","LOGE2","7","4","303.61"
"02-13-24 / 04:21 AM","Loge","LOGE7","6","2","193.28"
"02-13-24 / 04:21 AM","Balcony","BAL321","12","3","76.63"
"02-13-24 / 04:21 AM","Loge","LOGE3","20","4","226.02"
"02-13-24 / 04:21 AM","Loge","LOGE9","25","2","181.3"
"02-13-24 / 04:21 AM","Loge","LOGE16","11","3","221.43"
"02-13-24 / 04:21 AM","Loge","LOGE6","E","1","327.32"
"02-13-24 / 04:21 AM","Loge","LOGE18","K","3","233.24"
"02-13-24 / 12:32 AM","Balcony","BAL316","1","2","188.16"
"02-13-24 / 12:32 AM","Loge","LOGE21","15","2","308.7"
"02-13-24 / 12:32 AM","Loge","LOGE19","15","2","192.08"
"02-13-24 / 12:32 AM","Loge","LOGE13","17","1","259.96"
"02-13-24 / 12:32 AM","Loge","LOGE7","16","1","129.98"
"02-13-24 / 12:32 AM","Balcony","BAL322","8","2","109.37"
"02-13-24 / 12:32 AM","Balcony","BAL321","9","5","81.48"
"02-13-24 / 12:32 AM","Balcony","BAL326","9","2","87.3"
"02-13-24 / 12:32 AM","Balcony","BAL321","11","2","74.69"
"02-13-24 / 12:32 AM","Balcony","BAL323","6","3","79.54"
"02-13-24 / 12:32 AM","Balcony","BAL312","10","3","65.96"
"02-13-24 / 12:32 AM","Balcony","BAL325","9","3","68.87"
"02-13-24 / 12:32 AM","Balcony","BAL329","2","1","127.4"
"02-13-24 / 12:32 AM","Balcony","BAL322","14","3","70.81"
"02-13-24 / 12:32 AM","Balcony","BAL309","10","3","121.53"
