"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"01-30-24 / 08:50 PM","Loge","LOGE6","H","1","152"
"01-30-24 / 05:37 PM","Balcony","BAL301","11","2","110.58"
"01-30-24 / 02:34 PM","Balcony","BAL322","12","3","66.93"
"01-30-24 / 02:34 PM","Balcony","BAL311","10","4","64.89"
"01-30-24 / 02:34 PM","Loge","LOGE12","16","2","222.48"
"01-30-24 / 02:34 PM","Balcony","BAL326","15","3","65.57"
"01-30-24 / 02:34 PM","Loge","LOGE8","14","1","128.84"
"01-30-24 / 02:34 PM","Balcony","BAL314","13","2","77.6"
"01-30-24 / 11:22 AM","Balcony","BAL304","12","5","75.98"
"01-30-24 / 11:22 AM","Balcony","BAL322","12","1","65.96"
"01-30-24 / 11:22 AM","Balcony","BAL326","11","3","62.79"
"01-30-24 / 08:59 AM","Loge","LOGE7","G","2","188.16"
"01-30-24 / 08:59 AM","Balcony","BAL301","2","2","149.33"
"01-30-24 / 08:59 AM","Loge","LOGE5","26","2","141.34"
"01-30-24 / 08:59 AM","Balcony","BAL327","12","3","103.55"
"01-30-24 / 08:59 AM","Balcony","BAL323","5","3","108.54"
"01-30-24 / 08:59 AM","Loge","LOGE6","21","4","122.5"
"01-30-24 / 08:59 AM","Balcony","BAL315","5","2","135.24"
"01-30-24 / 08:59 AM","Loge","LOGE7","18","4","139.16"
"01-30-24 / 08:59 AM","Loge","LOGE14","12","2","208.74"
"01-30-24 / 08:59 AM","Loge","LOGE7","16","3","95.06"
"01-30-24 / 08:59 AM","VIP","13","A","4","854.56"
"01-30-24 / 08:58 AM","Balcony","BAL313","5","2","126.42"
"01-30-24 / 08:58 AM","Loge","LOGE7","C","2","226.38"
"01-30-24 / 08:58 AM","Loge","LOGE19","13","2","99"
"01-30-24 / 08:58 AM","Loge","LOGE8","2","1","142.1"
"01-30-24 / 08:58 AM","Balcony","BAL302","2","2","149.94"
"01-30-24 / 08:58 AM","Loge","LOGE18","6","2","129.01"
"01-30-24 / 08:58 AM","Balcony","BAL321","15","4","71.39"
"01-30-24 / 08:58 AM","Loge","LOGE6","F","2","161.02"
"01-30-24 / 08:58 AM","Balcony","BAL304","8","4","72.75"
"01-30-24 / 08:58 AM","Loge","LOGE18","18","3","139.16"
"01-30-24 / 08:58 AM","Balcony","BAL315","13","6","74.09"
"01-30-24 / 08:58 AM","Loge","LOGE6","14","2","116.4"
"01-30-24 / 06:56 AM","Loge","LOGE7","L","1","128.33"
"01-30-24 / 06:56 AM","Balcony","BAL303","1","2","135.24"
"01-30-24 / 04:24 AM","Loge","LOGE15","24","2","135.24"
"01-30-24 / 04:24 AM","Loge","LOGE19","13","3","161.7"
"01-30-24 / 04:24 AM","Loge","LOGE17","D","2","241.08"
"01-30-24 / 04:24 AM","Balcony","BAL301","15","5","104.64"
"01-30-24 / 12:58 AM","Club","CLB107","H","1","179.1"
"01-29-24 / 09:40 PM","Balcony","BAL324","12","1","62.79"
"01-29-24 / 09:40 PM","Balcony","BAL323","5","1","74.16"
"01-29-24 / 09:40 PM","Loge","LOGE18","2","1","179.1"
"01-29-24 / 09:40 PM","Loge","LOGE7","27","2","90.25"
"01-29-24 / 09:40 PM","Balcony","BAL309","15","3","51.97"
"01-29-24 / 09:40 PM","Loge","LOGE9","26","4","141.07"
"01-29-24 / 09:40 PM","Loge","LOGE7","25","2","95.08"
"01-29-24 / 06:33 PM","Balcony","BAL303","10","2","65.72"
"01-29-24 / 06:33 PM","Balcony","BAL309","15","1","51.97"
"01-29-24 / 06:33 PM","Loge","LOGE6","14","2","99.91"
"01-29-24 / 03:20 PM","Loge","LOGE9","26","3","108.64"
"01-29-24 / 03:20 PM","Loge","LOGE7","26","2","96.03"
"01-29-24 / 12:36 PM","Balcony","BAL316","13","1","77.81"
"01-29-24 / 12:36 PM","Loge","LOGE17","5","2","115.43"
"01-29-24 / 12:35 PM","Loge","LOGE18","J","4","220.5"
"01-29-24 / 12:35 PM","Balcony","BAL325","12","2","89.38"
"01-29-24 / 12:35 PM","Balcony","BAL322","2","2","99.37"
"01-29-24 / 12:35 PM","Loge","LOGE3","24","2","164.31"
"01-29-24 / 12:35 PM","Balcony","BAL321","11","5","64.99"
"01-29-24 / 12:35 PM","Balcony","BAL330","6","2","135.34"
"01-29-24 / 12:35 PM","Balcony","BAL304","4","2","122.5"
"01-29-24 / 12:35 PM","Loge","LOGE6","21","2","105.73"
"01-29-24 / 12:35 PM","Loge","LOGE6","22","3","104.76"
"01-29-24 / 12:35 PM","Balcony","BAL305","13","3","57.23"
"01-29-24 / 12:35 PM","Loge","LOGE15","22","2","208.74"
"01-29-24 / 12:35 PM","Loge","LOGE7","19","3","101.85"
"01-29-24 / 12:35 PM","Loge","LOGE18","13","3","140.65"
"01-29-24 / 12:35 PM","Loge","LOGE4","17","2","167.58"
"01-29-24 / 12:35 PM","Loge","LOGE17","15","2","125.13"
