"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"05-28-24 / 01:18 AM","Loge","LOGE17","9","2","341.4"
"05-28-24 / 01:18 AM","Balcony","BAL322","15","5","198.91"
"05-28-24 / 01:18 AM","Balcony","BAL316","3","1","277.5"
"05-28-24 / 01:18 AM","Loge","LOGE9","24","2","474.24"
"05-28-24 / 01:18 AM","Loge","LOGE10","C","2","709.79"
"05-28-24 / 01:18 AM","Balcony","BAL302","13","2","338.19"
"05-28-24 / 01:18 AM","Balcony","BAL330","10","2","349.91"
"05-28-24 / 01:18 AM","Balcony","BAL322","8","5","219.83"
"05-28-24 / 01:18 AM","Balcony","BAL303","8","2","283.73"
"05-28-24 / 01:18 AM","Balcony","BAL325","15","2","192.01"
"05-28-24 / 01:18 AM","Balcony","BAL310","8","2","259.9"
"05-28-24 / 01:18 AM","Balcony","BAL320","10","4","209.14"
"05-28-24 / 01:18 AM","Balcony","BAL306","13","5","202.78"
"05-28-24 / 01:18 AM","Balcony","BAL316","6","2","456.25"
"05-28-24 / 01:18 AM","Loge","LOGE5","26","2","332.88"
"05-28-24 / 01:18 AM","Balcony","BAL320","15","4","199.19"
"05-28-24 / 01:18 AM","Loge","LOGE16","11","2","540.27"
"05-28-24 / 01:18 AM","Balcony","BAL311","9","2","304.95"
"05-28-24 / 01:18 AM","Balcony","BAL327","14","2","209.96"
"05-28-24 / 01:18 AM","Loge","LOGE8","18","3","500.79"
"05-28-24 / 01:18 AM","Balcony","BAL303","12","2","261.07"
"05-28-24 / 01:18 AM","Balcony","BAL325","14","6","203.68"
"05-28-24 / 01:18 AM","Balcony","BAL314","11","2","258.41"
"05-28-24 / 01:18 AM","Club","CLB141","D","4","1263.13"
"05-28-24 / 01:18 AM","Balcony","BAL316","8","2","427.13"
"05-28-24 / 01:18 AM","Balcony","BAL316","14","3","469.48"
"05-28-24 / 01:18 AM","Balcony","BAL301","10","2","478.33"
"05-28-24 / 01:18 AM","Balcony","BAL319","15","2","200.98"
"05-28-24 / 01:18 AM","Balcony","BAL303","13","2","238.67"
"05-28-24 / 01:18 AM","Balcony","BAL315","15","2","285.98"
"05-28-24 / 01:18 AM","Balcony","BAL305","12","2","203.2"
"05-28-24 / 01:18 AM","Balcony","BAL312","13","3","202.02"
