"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"01-29-24 / 06:32 PM","Balcony","BAL322","15","2","77.35"
"01-29-24 / 03:19 PM","Balcony","BAL326","11","1","78.37"
"01-29-24 / 10:11 AM","Balcony","BAL301","11","1","129.98"
"01-29-24 / 10:11 AM","Club","CLB111","G","1","148.5"
"01-29-24 / 07:44 AM","Loge","LOGE11","4","2","230.33"
"01-29-24 / 07:44 AM","Balcony","BAL328","6","1","138.31"
"01-29-24 / 07:44 AM","Loge","LOGE6","17","2","142.33"
"01-29-24 / 07:44 AM","Loge","LOGE9","23","1","128.38"
"01-29-24 / 07:44 AM","Balcony","BAL321","8","2","64.99"
"01-29-24 / 07:44 AM","Balcony","BAL328","5","2","123.48"
"01-29-24 / 07:44 AM","Loge","LOGE11","9","2","235.2"
"01-29-24 / 07:44 AM","Loge","LOGE2","9","2","221.48"
"01-29-24 / 07:44 AM","Balcony","BAL321","9","2","60.14"
"01-29-24 / 07:44 AM","VIP","13","A","4","813.4"
"01-29-24 / 05:54 AM","Balcony","BAL326","11","1","55.62"
"01-29-24 / 05:53 AM","Club","CLB143","B","2","161.1"
"01-29-24 / 05:53 AM","Loge","LOGE18","E","2","238.14"
"01-29-24 / 05:53 AM","Balcony","BAL321","13","2","55.29"
"01-29-24 / 05:53 AM","Loge","LOGE18","10","2","181.3"
"01-29-24 / 05:53 AM","Loge","LOGE5","25","2","135.24"
"01-29-24 / 05:53 AM","Balcony","BAL304","8","4","76.63"
"01-29-24 / 12:42 AM","Balcony","BAL326","11","1","55.62"
"01-29-24 / 12:42 AM","Balcony","BAL330","13","5","85.5"
"01-28-24 / 09:37 PM","Balcony","BAL311","10","3","55.62"
"01-28-24 / 09:37 PM","Balcony","BAL324","12","1","72.8"
"01-28-24 / 06:30 PM","Balcony","BAL312","13","1","58.24"
"01-28-24 / 03:23 PM","Balcony","BAL315","4","2","116.18"
"01-28-24 / 03:23 PM","Balcony","BAL309","12","2","59.15"
"01-28-24 / 08:20 AM","Loge","LOGE16","21","5","132.89"
"01-28-24 / 08:20 AM","Club","CLB141","J","1","302.4"
"01-28-24 / 08:20 AM","Loge","LOGE8","6","3","121.25"
"01-28-24 / 06:11 AM","Loge","LOGE10","20","3","196.45"
"01-27-24 / 10:04 PM","Loge","LOGE3","3","1","171"
"01-27-24 / 06:42 PM","Loge","LOGE9","26","3","146.47"
"01-27-24 / 03:24 PM","Balcony","BAL309","15","3","64.85"
"01-27-24 / 03:24 PM","Club","CLB111","G","2","314.1"
"01-27-24 / 03:24 PM","SportsDeck","Sports Deck","C","2","179.1"
"01-27-24 / 12:24 PM","Club","CLB141","H","2","180"
"01-27-24 / 12:24 PM","Balcony","BAL319","7","1","75.6"
"01-27-24 / 09:32 AM","Balcony","BAL323","13","2","55.62"
"01-26-24 / 10:02 PM","Balcony","BAL309","15","1","64.85"
"01-26-24 / 10:02 PM","Balcony","BAL309","13","2","55.62"
"01-26-24 / 06:30 PM","Loge","LOGE8","25","3","118.75"
"01-26-24 / 06:30 PM","Balcony","BAL308","7","1","66.93"
"01-26-24 / 06:30 PM","Loge","LOGE18","6","1","139.68"
"01-25-24 / 10:04 PM","Loge","LOGE18","7","4","143.56"
"01-25-24 / 06:20 PM","Balcony","BAL305","11","1","72.9"
"01-25-24 / 06:20 PM","Loge","LOGE3","23","2","151.62"
"01-25-24 / 06:20 PM","Loge","LOGE1","18","2","231.37"
"01-25-24 / 02:40 PM","Loge","LOGE20","26","2","172.89"
"01-25-24 / 12:30 AM","Balcony","BAL302","7","2","126.1"
"01-24-24 / 08:46 PM","Balcony","BAL305","11","1","72.9"
"01-24-24 / 04:57 AM","Loge","LOGE10","12","1","332.22"
"01-23-24 / 11:08 PM","Balcony","BAL330","7","1","117.37"
"01-23-24 / 11:08 PM","Balcony","BAL322","8","2","74.69"
"01-23-24 / 10:42 AM","Loge","LOGE20","14","2","237.55"
"01-23-24 / 10:42 AM","Loge","LOGE20","26","2","203.4"
"01-23-24 / 10:42 AM","Loge","LOGE12","16","2","347.63"
"01-21-24 / 10:11 AM","Balcony","BAL328","1","1","133"
"01-20-24 / 02:07 PM","Balcony","BAL319","10","2","84.58"
"01-20-24 / 02:07 PM","Loge","LOGE17","20","1","152.29"
"01-19-24 / 09:04 PM","Balcony","BAL320","15","2","79.9"
"01-19-24 / 05:22 PM","Balcony","BAL303","13","5","112.52"
"01-19-24 / 05:22 PM","Loge","LOGE20","24","2","189.52"
"01-19-24 / 06:08 AM","Balcony","BAL307","9","2","124.35"
"01-19-24 / 06:08 AM","Loge","LOGE18","5","3","217.28"
"01-18-24 / 12:26 PM","Balcony","BAL319","10","2","87.26"
"01-18-24 / 07:04 AM","Balcony","BAL325","14","3","77.97"
"01-18-24 / 07:04 AM","Balcony","BAL320","6","4","140.1"
"01-18-24 / 07:04 AM","Loge","LOGE17","F","4","249.69"
"01-18-24 / 04:24 AM","Balcony","BAL322","14","1","90.21"
"01-18-24 / 04:24 AM","Balcony","BAL312","13","2","89.18"
"01-17-24 / 11:11 AM","Loge","LOGE13","11","2","313.4"
"01-17-24 / 11:11 AM","Loge","LOGE8","12","3","208.44"
"01-17-24 / 11:11 AM","Loge","LOGE18","L","2","226.38"
"01-17-24 / 08:48 AM","Balcony","BAL301","10","2","197.28"
"01-17-24 / 06:32 AM","Balcony","BAL302","15","2","93.69"
"01-17-24 / 06:32 AM","Loge","LOGE3","1","2","314.1"
"01-16-24 / 08:43 PM","Balcony","BAL323","11","2","77.32"
"01-16-24 / 08:43 PM","Balcony","BAL315","8","2","137.74"
"01-16-24 / 01:02 PM","Loge","LOGE8","26","2","194.75"
"01-16-24 / 01:02 PM","Balcony","BAL314","6","2","131.92"
"01-14-24 / 03:03 PM","Balcony","BAL319","11","1","109.61"
"01-14-24 / 07:03 AM","Balcony","BAL329","14","2","109.18"
"01-14-24 / 07:03 AM","Balcony","BAL309","15","2","81.33"
"01-14-24 / 07:03 AM","Loge","LOGE18","10","2","161.1"
"01-12-24 / 08:17 PM","Loge","LOGE19","22","2","173.9"
"01-12-24 / 01:27 AM","Loge","LOGE20","10","1","322.18"
"01-11-24 / 04:27 PM","Balcony","BAL329","15","2","107.87"
"01-10-24 / 10:09 PM","Balcony","BAL307","14","2","94.7"
"01-09-24 / 04:14 PM","Balcony","BAL328","9","5","123.19"
"01-08-24 / 11:41 PM","Balcony","BAL312","9","2","98.7"
"01-07-24 / 02:22 PM","Loge","LOGE4","26","2","192.29"
"01-07-24 / 02:22 PM","Loge","LOGE6","21","4","191.05"
"01-07-24 / 02:22 PM","Loge","LOGE13","17","2","367.09"
"01-07-24 / 02:22 PM","Loge","LOGE2","14","2","407.68"
"01-07-24 / 02:22 PM","Loge","LOGE9","23","3","199.5"
"01-07-24 / 02:22 PM","Loge","LOGE10","5","2","279.36"
"01-06-24 / 03:19 PM","Loge","LOGE3","15","2","420.85"
"01-06-24 / 03:19 PM","Balcony","BAL318","10","2","147.33"
"01-06-24 / 03:19 PM","Balcony","BAL301","6","2","203.27"
"01-06-24 / 03:19 PM","Balcony","BAL330","12","4","177.07"
"01-06-24 / 03:19 PM","Loge","LOGE6","19","3","195.02"
"01-06-24 / 03:19 PM","Balcony","BAL320","11","2","90.25"
"01-06-24 / 07:24 AM","Loge","LOGE18","M","2","230.86"
"01-05-24 / 09:58 PM","VIP","2","A","2","1148.96"
"01-05-24 / 12:57 AM","Loge","LOGE5","21","3","206.61"
"01-04-24 / 01:47 AM","Balcony","BAL319","14","2","104.31"
"01-03-24 / 01:21 AM","Loge","LOGE15","18","2","203.73"
"12-31-23 / 08:57 PM","Loge","LOGE11","11","4","427.07"
"12-31-23 / 08:57 PM","Loge","LOGE8","22","4","233.31"
"12-31-23 / 08:57 PM","Loge","LOGE15","12","3","265.46"
"12-31-23 / 08:57 PM","Loge","LOGE6","D","2","306.23"
"12-31-23 / 08:57 PM","Loge","LOGE17","18","4","198.05"
"12-31-23 / 08:57 PM","Loge","LOGE19","24","2","226.35"
"12-31-23 / 08:57 PM","Balcony","BAL316","9","2","175.3"
"12-31-23 / 08:57 PM","Balcony","BAL302","4","2","188.16"
"12-31-23 / 08:57 PM","Balcony","BAL304","12","1","169.03"
"12-31-23 / 08:57 PM","Club","CLB109","A","4","371.29"
"12-31-23 / 01:33 PM","Balcony","BAL312","15","2","98.94"
"12-31-23 / 01:33 PM","Loge","LOGE17","19","2","203.27"
"12-31-23 / 01:33 PM","Loge","LOGE7","14","4","255.78"
"12-31-23 / 06:24 AM","Loge","LOGE11","10","2","390.74"
"12-31-23 / 06:24 AM","Balcony","BAL317","9","4","166.08"
"12-31-23 / 06:24 AM","Loge","LOGE6","G","3","290.04"
"12-31-23 / 06:24 AM","Loge","LOGE19","24","2","226.35"
"12-31-23 / 06:24 AM","Loge","LOGE8","22","4","233.31"
"12-31-23 / 06:24 AM","Balcony","BAL312","8","2","102.82"
"12-31-23 / 06:24 AM","Loge","LOGE15","12","3","265.46"
"12-31-23 / 06:24 AM","Balcony","BAL325","14","2","99.91"
"12-31-23 / 06:24 AM","Loge","LOGE7","22","4","156.17"
"12-31-23 / 06:24 AM","Balcony","BAL327","10","4","108.16"
"12-31-23 / 06:24 AM","Balcony","BAL326","3","2","138.18"
"12-31-23 / 06:24 AM","Loge","LOGE4","25","2","268.52"
"12-31-23 / 06:24 AM","Balcony","BAL311","8","4","143.7"
"12-31-23 / 06:24 AM","Balcony","BAL311","9","2","149.94"
"12-31-23 / 06:24 AM","Balcony","BAL306","9","2","124.95"
"12-30-23 / 10:02 PM","Balcony","BAL306","7","1","101.8"
"12-30-23 / 10:02 PM","Loge","LOGE3","15","2","380.75"
"12-30-23 / 10:02 PM","Loge","LOGE17","18","4","198.05"
"12-30-23 / 10:02 PM","Loge","LOGE6","21","2","198.28"
"12-30-23 / 10:02 PM","Loge","LOGE18","C","2","281.26"
"12-30-23 / 10:02 PM","Balcony","BAL326","3","2","145.33"
"12-30-23 / 10:02 PM","Loge","LOGE11","10","2","390.74"
"12-30-23 / 10:02 PM","Balcony","BAL317","9","4","166.08"
"12-30-23 / 10:02 PM","Loge","LOGE18","8","3","269.56"
"12-30-23 / 10:02 PM","Loge","LOGE15","10","4","277.34"
"12-30-23 / 10:02 PM","Loge","LOGE6","D","2","306.23"
"12-30-23 / 10:02 PM","Balcony","BAL302","6","4","186.06"
