"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"12-28-23 / 02:40 PM","Balcony","BAL322","14","1","194.67"
"12-28-23 / 02:40 PM","Balcony","BAL312","8","1","192.6"
"12-28-23 / 02:40 PM","Balcony","BAL328","9","3","189.15"
"12-28-23 / 02:40 PM","Balcony","BAL326","14","1","160.05"
"12-28-23 / 02:40 PM","Loge","LOGE11","18","2","431.65"
"12-28-23 / 02:40 PM","Balcony","BAL309","7","3","201.76"
"12-28-23 / 02:40 PM","Loge","LOGE6","F","2","382.2"
"12-28-23 / 02:40 PM","Balcony","BAL307","13","1","161.99"
"12-28-23 / 02:40 PM","Loge","LOGE1","17","2","636.02"
"12-28-23 / 02:40 PM","Loge","LOGE10","12","1","461.29"
"12-28-23 / 02:40 PM","Balcony","BAL311","1","2","297.92"
"12-28-23 / 02:40 PM","Balcony","BAL302","2","2","274.4"
"12-28-23 / 02:40 PM","Balcony","BAL304","12","1","273.81"
"12-28-23 / 02:40 PM","Loge","LOGE15","23","2","275.08"
"12-28-23 / 02:40 PM","Balcony","BAL323","5","2","177.51"
"12-28-23 / 02:40 PM","Balcony","BAL306","8","2","227.25"
"12-28-23 / 02:40 PM","Loge","LOGE7","22","6","459.08"
"12-28-23 / 02:40 PM","Loge","LOGE20","10","2","521.36"
"12-28-23 / 02:40 PM","Balcony","BAL330","1","2","295.96"
"12-28-23 / 02:40 PM","Balcony","BAL316","5","2","298.9"
"12-28-23 / 02:40 PM","Loge","LOGE7","20","2","278.32"
"12-28-23 / 02:40 PM","Balcony","BAL308","2","2","215.34"
"12-28-23 / 02:40 PM","Balcony","BAL324","1","2","253.82"
"12-28-23 / 02:40 PM","Balcony","BAL328","5","2","231.28"
"12-28-23 / 02:40 PM","Balcony","BAL325","10","4","184.47"
"12-28-23 / 02:40 PM","Loge","LOGE18","E","2","408.66"
"12-28-23 / 02:40 PM","Loge","LOGE7","26","2","273.42"
"12-28-23 / 02:40 PM","Balcony","BAL309","12","2","161.99"
"12-28-23 / 02:40 PM","Loge","LOGE6","J","2","427.28"
"12-28-23 / 02:40 PM","Loge","LOGE15","7","5","630.5"
"12-28-23 / 02:40 PM","Balcony","BAL304","11","2","178.48"
"12-28-23 / 02:40 PM","Loge","LOGE19","23","2","426.3"
"12-28-23 / 02:40 PM","Balcony","BAL307","13","2","165.6"
"12-28-23 / 02:40 PM","Loge","LOGE15","16","5","427.5"
"12-28-23 / 02:40 PM","Balcony","BAL310","8","2","185.4"
"12-28-23 / 02:40 PM","Club","CLB145","H","2","445.23"
"12-28-23 / 02:40 PM","Loge","LOGE3","B","2","450"
"12-28-23 / 02:40 PM","Balcony","BAL315","15","2","209.87"
"12-28-23 / 02:40 PM","Balcony","BAL304","12","2","218.4"
"12-28-23 / 02:40 PM","Loge","LOGE6","12","5","432.62"
"12-28-23 / 02:40 PM","Loge","LOGE18","21","2","281.4"
"12-28-23 / 02:40 PM","Loge","LOGE8","14","4","523.22"
"12-28-23 / 02:40 PM","Loge","LOGE17","C","2","492.94"
"12-28-23 / 02:40 PM","Balcony","BAL304","7","2","190.69"
"12-28-23 / 02:40 PM","Balcony","BAL314","13","7","247.35"
"12-28-23 / 02:40 PM","Balcony","BAL325","8","2","173.63"
"12-28-23 / 02:40 PM","Loge","LOGE6","2","6","523.8"
"12-28-23 / 02:40 PM","Loge","LOGE3","A","2","473.36"
"12-28-23 / 02:40 PM","Balcony","BAL329","5","2","207.58"
"12-28-23 / 11:36 AM","Balcony","BAL304","12","3","218.4"
"12-28-23 / 11:36 AM","Balcony","BAL324","12","3","195.65"
"12-28-23 / 07:12 AM","Balcony","BAL301","14","2","287.62"
"12-28-23 / 07:12 AM","Balcony","BAL302","2","2","308.11"
"12-28-23 / 07:12 AM","Balcony","BAL314","1","2","273.42"
"12-28-23 / 07:12 AM","Balcony","BAL330","10","2","239.49"
"12-28-23 / 07:12 AM","Balcony","BAL313","13","5","205.49"
"12-28-23 / 07:12 AM","Loge","LOGE10","25","2","287.1"
"12-28-23 / 07:12 AM","Loge","LOGE2","18","2","534.75"
"12-28-23 / 05:03 AM","Balcony","BAL312","12","3","208.39"
"12-28-23 / 05:03 AM","Loge","LOGE6","24","2","275.38"
"12-28-23 / 02:20 AM","Balcony","BAL304","11","2","182.36"
"12-28-23 / 02:20 AM","Loge","LOGE15","21","2","397.88"
"12-28-23 / 02:20 AM","Loge","LOGE3","15","2","360.64"
"12-28-23 / 02:20 AM","Balcony","BAL318","1","2","341.04"
"12-28-23 / 02:20 AM","Balcony","BAL330","3","2","293.02"
"12-28-23 / 02:20 AM","Loge","LOGE19","23","2","371.42"
"12-28-23 / 02:20 AM","Balcony","BAL319","12","4","207"
"12-28-23 / 02:20 AM","Loge","LOGE15","26","2","287.14"
"12-28-23 / 02:20 AM","Balcony","BAL323","3","2","203.84"
"12-28-23 / 02:20 AM","Loge","LOGE16","10","2","243"
"12-28-23 / 02:20 AM","Loge","LOGE11","7","2","589.96"
"12-28-23 / 02:20 AM","Balcony","BAL306","3","2","199.92"
"12-28-23 / 02:20 AM","Balcony","BAL322","14","3","184.01"
"12-28-23 / 02:20 AM","Loge","LOGE17","M","2","329.28"
"12-28-23 / 02:20 AM","Loge","LOGE13","11","2","439.2"
"12-28-23 / 02:20 AM","Loge","LOGE6","10","6","460.75"
"12-28-23 / 02:20 AM","Loge","LOGE16","11","2","436.1"
"12-28-23 / 02:20 AM","Loge","LOGE6","H","3","475"
"12-28-23 / 02:20 AM","Loge","LOGE18","A","2","520.75"
"12-28-23 / 02:20 AM","VIP","11","A","1","632.7"
"12-28-23 / 02:20 AM","Loge","LOGE18","21","3","518.42"
"12-28-23 / 02:20 AM","Loge","LOGE19","26","4","534.1"
"12-28-23 / 02:20 AM","Loge","LOGE3","26","3","637"
"12-28-23 / 02:20 AM","Loge","LOGE5","26","3","597.8"
"12-28-23 / 02:20 AM","Balcony","BAL318","14","4","293.02"
"12-28-23 / 02:20 AM","Loge","LOGE7","26","3","588"
"12-28-23 / 02:20 AM","Balcony","BAL303","15","3","289.1"
"12-28-23 / 02:20 AM","Balcony","BAL327","15","3","249.9"
"12-28-23 / 02:20 AM","Balcony","BAL320","15","3","269.5"
"12-28-23 / 02:20 AM","Balcony","BAL313","15","3","279.3"
"12-28-23 / 02:20 AM","Balcony","BAL306","15","4","264.6"
"12-28-23 / 02:20 AM","Balcony","BAL309","15","3","225.4"
"12-28-23 / 02:20 AM","Balcony","BAL322","15","3","240.1"
"12-28-23 / 02:20 AM","Balcony","BAL311","15","3","254.8"
"12-27-23 / 10:55 PM","Loge","LOGE9","26","1","240.56"
"12-27-23 / 10:55 PM","Loge","LOGE10","20","3","455.9"
"12-27-23 / 10:55 PM","Loge","LOGE8","21","5","370.54"
"12-27-23 / 10:55 PM","Loge","LOGE17","A","1","449.54"
"12-27-23 / 10:55 PM","Loge","LOGE15","25","4","401.58"
"12-27-23 / 10:55 PM","Loge","LOGE6","26","2","292.56"
"12-27-23 / 10:55 PM","Loge","LOGE19","23","2","331.61"
"12-27-23 / 10:55 PM","Loge","LOGE10","11","1","349.63"
"12-27-23 / 10:55 PM","Balcony","BAL321","9","2","217.26"
"12-27-23 / 10:55 PM","Balcony","BAL302","8","2","248.88"
"12-27-23 / 10:55 PM","Balcony","BAL308","7","2","215.26"
"12-27-23 / 10:55 PM","Balcony","BAL304","12","1","261.57"
"12-27-23 / 10:55 PM","Loge","LOGE7","26","2","282.13"
"12-27-23 / 10:55 PM","Loge","LOGE5","26","2","276.45"
"12-27-23 / 10:55 PM","Balcony","BAL307","9","1","173.63"
"12-27-23 / 10:55 PM","Balcony","BAL307","14","2","209.27"
"12-27-23 / 10:55 PM","Loge","LOGE20","B","2","522"
"12-27-23 / 10:55 PM","Loge","LOGE10","10","1","507.32"
"12-27-23 / 10:55 PM","Loge","LOGE3","4","2","441.9"
"12-27-23 / 10:55 PM","Balcony","BAL316","8","2","343.44"
"12-27-23 / 10:55 PM","Balcony","BAL326","3","2","229.32"
"12-27-23 / 10:55 PM","Loge","LOGE18","A","2","683.06"
"12-27-23 / 10:55 PM","Balcony","BAL316","9","2","324.08"
"12-27-23 / 10:55 PM","Balcony","BAL329","11","4","240.1"
"12-27-23 / 10:55 PM","Loge","LOGE12","10","2","638.1"
"12-27-23 / 10:55 PM","Balcony","BAL326","11","4","204.75"
"12-27-23 / 10:55 PM","Loge","LOGE6","15","4","504.7"
"12-27-23 / 10:55 PM","Loge","LOGE7","26","1","386.79"
"12-27-23 / 10:55 PM","Balcony","BAL317","11","2","287.1"
"12-27-23 / 10:55 PM","Loge","LOGE14","B","2","540"
"12-27-23 / 10:55 PM","Loge","LOGE10","21","2","363.75"
"12-27-23 / 10:55 PM","Balcony","BAL323","5","3","214.37"
"12-27-23 / 10:55 PM","Balcony","BAL301","9","2","246.46"
"12-27-23 / 10:55 PM","Loge","LOGE10","2","2","387.03"
"12-27-23 / 10:55 PM","Loge","LOGE12","14","2","653.78"
"12-27-23 / 10:55 PM","Loge","LOGE17","A","1","488.88"
"12-27-23 / 10:55 PM","Loge","LOGE4","22","1","331.74"
"12-27-23 / 07:11 PM","Loge","LOGE3","14","2","409.64"
"12-27-23 / 07:11 PM","Loge","LOGE2","13","2","506.34"
"12-27-23 / 07:11 PM","Balcony","BAL322","2","2","237.62"
"12-27-23 / 07:11 PM","Balcony","BAL322","1","2","243.04"
"12-27-23 / 07:11 PM","Balcony","BAL323","2","1","208.55"
"12-27-23 / 07:11 PM","Balcony","BAL306","8","2","220.26"
"12-27-23 / 07:11 PM","Loge","LOGE21","6","2","633.08"
"12-27-23 / 07:11 PM","Loge","LOGE12","4","2","750.9"
"12-27-23 / 07:11 PM","Loge","LOGE6","9","3","377.33"
