"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"04-02-21 / 07:16 PM","Loge Center","11","6","4","165.3"
"04-02-21 / 06:28 PM","Loge Center","1","14","4","198.83"
"04-02-21 / 06:28 PM","Loge Corner","19","13","4","113.05"
"04-02-21 / 05:22 PM","Loge Corner","10","18","2","235.91"
"04-02-21 / 05:06 PM","Balcony Center","301","5","4","105.45"
"04-02-21 / 04:34 PM","Loge Corner","3","16","4","142.5"
"04-02-21 / 04:03 PM","Loge Baseline","17","12","4","166.25"
"04-02-21 / 02:57 PM","Club Corner","137","A","2","270.75"
"04-02-21 / 02:24 PM","Loge Corner","4","10","2","223.25"
"04-02-21 / 01:35 PM","Loge Corner","10","10","2","222.3"
"04-02-21 / 01:35 PM","Loge Corner","9","22","2","184.3"
"04-02-21 / 12:47 PM","Loge Corner","10","18","2","200.45"
"04-02-21 / 12:47 PM","Balcony Center","315","1","4","122.55"
"04-02-21 / 12:29 PM","Balcony Center","302","1","2","205.2"
"04-02-21 / 11:25 AM","Loge Corner","4","22","2","185.25"
"04-02-21 / 11:25 AM","Loge Corner","8","22","2","184.3"
"04-02-21 / 11:25 AM","Balcony Corner","321","15","2","150.41"
"04-02-21 / 11:08 AM","Loge Corner","10","8","2","301.14"
"04-02-21 / 10:02 AM","Loge Corner","5","18","2","185.25"
"04-02-21 / 09:47 AM","Balcony Center","316","7","4","113.46"
"04-02-21 / 09:00 AM","Loge Center","12","15","2","312.55"
"04-02-21 / 09:00 AM","Loge Center","11","18","2","306.29"
"04-02-21 / 12:47 AM","Balcony Corner","321","5","2","192.85"
"04-02-21 / 12:17 AM","Balcony Baseline","324","6","4","80.75"
"04-01-21 / 10:05 PM","Balcony Center","315","14","2","166.25"
"04-01-21 / 07:46 PM","Loge Center","2","12","2","282.74"
"04-01-21 / 03:38 PM","Club Center","143","E","4","213.75"
"04-01-21 / 10:28 AM","Club Corner","115","A","2","218.5"
"04-01-21 / 09:09 AM","Loge Corner","3","26","2","219.09"
"03-31-21 / 10:09 PM","Balcony Corner","306","3","4","107.35"
"03-31-21 / 08:47 PM","Balcony Corner","306","10","2","145.35"
"03-31-21 / 08:47 PM","Club Center","111","G","2","272.31"
"03-31-21 / 07:57 PM","Club Center","109","E","2","237.5"
"03-31-21 / 06:51 PM","Balcony Center","317","10","4","122.96"
"03-31-21 / 04:02 PM","Balcony Center","315","12","3","137.75"
"03-31-21 / 03:46 PM","Loge Center","13","14","2","341.67"
"03-31-21 / 03:30 PM","Balcony Center","317","1","2","213.75"
"03-31-21 / 03:30 PM","Balcony Center","316","3","4","142.49"
"03-31-21 / 02:53 PM","Loge Corner","15","24","2","204.39"
"03-31-21 / 01:29 PM","Balcony Corner","321","15","2","109.25"
"03-30-21 / 11:43 PM","Balcony Center","301","1","4","159.6"
"03-30-21 / 08:58 PM","Balcony Center","301","15","2","183.49"
"03-30-21 / 03:42 PM","Loge Corner","15","9","2","189.04"
"03-30-21 / 02:17 PM","Balcony Corner","312","15","4","118.75"
"03-30-21 / 10:39 AM","Loge Center","12","18","2","426.55"
"03-30-21 / 12:02 AM","Balcony Baseline","310","12","1","158.06"
"03-30-21 / 12:02 AM","Loge Center","12","16","1","627.36"
"03-29-21 / 09:52 PM","Balcony Corner","326","1","2","181.68"
"03-29-21 / 09:37 PM","Loge Baseline","7","10","2","221.35"
"03-29-21 / 09:37 PM","Loge Corner","19","20","4","138.69"
"03-29-21 / 09:37 PM","Balcony Center","316","11","2","141.55"
"03-29-21 / 08:45 PM","Balcony Center","317","17","3","180.5"
"03-29-21 / 03:54 PM","Balcony Center","317","1","2","142.5"
"03-29-21 / 03:25 PM","Balcony Corner","312","7","4","89.3"
"03-29-21 / 02:38 PM","Loge Center","13","8","4","308.75"
"03-29-21 / 12:45 PM","Balcony Baseline","324","15","2","113.05"
"03-28-21 / 04:32 PM","Loge Corner","19","22","2","156.75"
"03-27-21 / 07:30 PM","Balcony Corner","326","9","4","89.4"
"03-27-21 / 06:31 PM","Balcony Corner","312","11","4","96.9"
"03-27-21 / 06:31 PM","Balcony Corner","312","13","2","103.55"
"03-27-21 / 05:47 PM","Balcony Baseline","310","11","2","104.5"
"03-27-21 / 01:11 PM","Balcony Center","302","10","2","103.2"
"03-26-21 / 01:26 PM","Club Center","109","H","2","280.25"
"03-26-21 / 10:34 AM","Balcony Center","315","16","4","96.44"
"03-25-21 / 10:04 PM","Club Center","109","A","4","380"
"03-25-21 / 08:53 PM","Balcony Baseline","308","1","2","123.5"
"03-25-21 / 08:37 PM","Loge Baseline","17","17","2","216.06"
"03-25-21 / 07:10 PM","Balcony Center","301","11","4","118.75"
"03-24-21 / 10:08 PM","Loge Center","11","16","2","334.5"
"03-24-21 / 10:47 AM","Balcony Baseline","310","9","2","87.4"
"03-23-21 / 11:37 PM","Club Center","141","C","2","285"
"03-23-21 / 07:34 AM","Balcony Center","317","8","2","142.5"
"03-22-21 / 05:59 PM","Balcony Center","316","13","2","127.3"
"03-22-21 / 11:52 AM","Balcony Corner","306","9","4","88.35"
"03-21-21 / 06:42 PM","Loge Baseline","17","10","2","180.5"
"03-21-21 / 11:53 AM","Loge Baseline","17","7","2","164.58"
"03-20-21 / 04:59 PM","Loge Corner","10","22","2","244.15"
"03-20-21 / 09:20 AM","Loge Corner","15","21","2","165.3"
"03-19-21 / 04:07 PM","Balcony Center","302","9","4","129.09"
"03-19-21 / 03:23 PM","Balcony Corner","312","15","4","110.23"
"03-19-21 / 11:08 AM","Balcony Baseline","324","6","4","102.14"
"03-19-21 / 10:49 AM","Balcony Corner","321","13","4","110.01"
"03-18-21 / 09:25 PM","Loge Corner","3","22","2","176.69"
"03-18-21 / 07:29 PM","Balcony Center","301","14","2","135.8"
"03-18-21 / 07:29 PM","Balcony Center","301","13","4","154.37"
"03-17-21 / 11:01 PM","Loge Baseline","6","17","2","177.65"
"03-17-21 / 11:02 AM","Balcony Center","301","11","4","175.21"
"03-17-21 / 10:48 AM","Balcony Center","301","11","4","175.2"
