"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"02-27-24 / 05:01 PM","Balcony","BAL326","11","1","105.22"
"02-27-24 / 05:01 PM","Balcony","BAL301","11","3","165.99"
"02-27-24 / 12:38 PM","Balcony","BAL324","12","1","96.8"
"02-27-24 / 12:38 PM","Club","CLB141","F","2","399.6"
"02-27-24 / 08:54 AM","Loge","LOGE21","11","2","278.89"
"02-27-24 / 08:54 AM","Loge","LOGE7","19","4","177.65"
"02-27-24 / 08:54 AM","Loge","LOGE7","5","4","183.2"
"02-27-24 / 08:54 AM","VIP","13","B","2","740.61"
"02-27-24 / 08:54 AM","Loge","LOGE18","M","2","203.96"
"02-27-24 / 08:54 AM","Loge","LOGE8","5","3","157.02"
"02-27-24 / 08:54 AM","Loge","LOGE19","21","3","215.07"
"02-27-24 / 08:54 AM","Loge","LOGE6","3","2","166.8"
"02-27-24 / 08:54 AM","Balcony","BAL309","6","1","186.48"
"02-27-24 / 08:54 AM","Loge","LOGE8","23","2","201.24"
"02-27-24 / 08:54 AM","Balcony","BAL309","15","6","76.16"
"02-27-24 / 08:54 AM","Balcony","BAL302","12","2","107.67"
"02-27-24 / 05:22 AM","VIP","6","A","3","909.81"
"02-27-24 / 05:22 AM","Loge","LOGE10","24","3","240.45"
"02-27-24 / 05:22 AM","Balcony","BAL328","13","1","153.81"
"02-27-24 / 05:22 AM","Balcony","BAL314","8","1","187.08"
"02-27-24 / 05:22 AM","Balcony","BAL327","14","1","152.89"
"02-27-24 / 05:22 AM","Balcony","BAL316","4","2","187.65"
"02-27-24 / 05:22 AM","Loge","LOGE6","22","2","135.07"
"02-27-24 / 05:22 AM","Loge","LOGE17","14","2","127.41"
"02-27-24 / 05:22 AM","Balcony","BAL321","9","2","75.37"
"02-27-24 / 05:22 AM","Balcony","BAL315","1","2","188.55"
"02-27-24 / 05:22 AM","Balcony","BAL305","15","3","87.93"
"02-27-24 / 12:57 AM","Balcony","BAL318","14","1","92.8"
"02-27-24 / 12:57 AM","Balcony","BAL309","6","1","76.76"
"02-27-24 / 12:57 AM","Balcony","BAL315","15","3","141.19"
"02-27-24 / 12:57 AM","Lofts","LOFT09","","1","719.74"
"02-27-24 / 12:57 AM","Balcony","BAL329","15","1","83.48"
"02-27-24 / 12:57 AM","VIP","2","A","2","785.55"
"02-26-24 / 08:27 PM","Balcony","BAL312","13","1","96.8"
"02-26-24 / 08:27 PM","Club","CLB115","A","1","266.4"
"02-26-24 / 04:03 PM","Balcony","BAL312","8","1","80.75"
"02-26-24 / 11:59 AM","Balcony","BAL317","8","2","142.75"
"02-26-24 / 11:59 AM","Loge","LOGE11","6","2","355.73"
"02-26-24 / 11:59 AM","Loge","LOGE13","3","2","323.01"
"02-26-24 / 11:59 AM","Loge","LOGE7","22","4","231.78"
"02-26-24 / 11:59 AM","Loge","LOGE19","20","2","248.38"
"02-26-24 / 11:59 AM","Balcony","BAL324","14","1","211.1"
"02-26-24 / 11:59 AM","Loge","LOGE17","17","2","201.24"
"02-26-24 / 11:59 AM","Loge","LOGE5","11","2","168.62"
"02-26-24 / 11:59 AM","Loge","LOGE6","26","2","184.33"
"02-26-24 / 11:59 AM","Loge","LOGE8","12","3","203.46"
"02-26-24 / 11:59 AM","Balcony","BAL318","15","2","130.74"
"02-26-24 / 11:59 AM","Loge","LOGE10","11","1","350.82"
"02-26-24 / 11:59 AM","Loge","LOGE7","H","2","247.47"
"02-26-24 / 11:59 AM","Loge","LOGE7","26","2","135.48"
"02-26-24 / 11:59 AM","Loge","LOGE15","23","2","229.34"
"02-26-24 / 11:59 AM","Loge","LOGE7","13","3","148.05"
"02-26-24 / 11:59 AM","Balcony","BAL324","9","2","78.96"
"02-26-24 / 11:59 AM","Balcony","BAL309","5","2","114.22"
"02-26-24 / 11:59 AM","Loge","LOGE5","23","2","207.59"
"02-26-24 / 11:59 AM","Loge","LOGE7","16","3","141.77"
"02-26-24 / 11:59 AM","Balcony","BAL303","15","2","95.11"
"02-26-24 / 11:59 AM","Balcony","BAL325","6","3","118.88"
"02-26-24 / 11:59 AM","Balcony","BAL306","12","7","86.14"
"02-26-24 / 11:59 AM","Loge","LOGE5","26","2","206.68"
"02-26-24 / 11:59 AM","Loge","LOGE5","11","2","156.82"
"02-26-24 / 11:59 AM","Loge","LOGE4","24","4","178.55"
"02-26-24 / 11:59 AM","Loge","LOGE9","26","3","149.39"
"02-26-24 / 11:59 AM","Loge","LOGE7","4","4","146.56"
"02-26-24 / 11:59 AM","Loge","LOGE11","14","4","336.47"
"02-26-24 / 11:59 AM","Balcony","BAL323","5","3","92.42"
"02-26-24 / 11:59 AM","Balcony","BAL302","14","2","104.08"
"02-26-24 / 07:58 AM","Balcony","BAL315","12","2","139.06"
"02-26-24 / 07:58 AM","Loge","LOGE18","12","3","349.67"
"02-26-24 / 07:58 AM","Loge","LOGE3","21","3","307.99"
"02-26-24 / 07:58 AM","Balcony","BAL317","8","2","142.75"
"02-26-24 / 07:58 AM","Loge","LOGE6","9","2","136.53"
"02-26-24 / 07:58 AM","Balcony","BAL301","14","2","168.62"
"02-26-24 / 07:58 AM","Balcony","BAL323","12","2","77.16"
"02-26-24 / 07:58 AM","Loge","LOGE6","24","2","190.36"
"02-26-24 / 07:58 AM","Loge","LOGE7","20","2","182.48"
