"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"01-17-24 / 09:00 PM","Balcony","BAL309","9","3","82.8"
"01-17-24 / 09:00 PM","Loge","LOGE7","3","2","152"
"01-17-24 / 05:26 PM","Balcony","BAL306","3","1","105.73"
"01-17-24 / 05:26 PM","Loge","LOGE3","B","2","270"
"01-17-24 / 05:26 PM","Balcony","BAL325","10","1","129.6"
"01-17-24 / 05:26 PM","Loge","LOGE5","22","2","140.6"
"01-17-24 / 05:26 PM","Loge","LOGE17","K","1","180.5"
"01-17-24 / 05:26 PM","Balcony","BAL318","14","3","119.03"
"01-17-24 / 02:24 PM","Loge","LOGE17","7","1","168.78"
"01-17-24 / 02:24 PM","VIP","18","C","1","629.1"
"01-17-24 / 02:24 PM","Club","CLB107","F","1","247.5"
"01-17-24 / 02:24 PM","Balcony","BAL329","1","1","135"
"01-17-24 / 02:24 PM","Balcony","BAL319","6","1","103.5"
"01-17-24 / 02:24 PM","Loge","LOGE7","1","1","199.5"
"01-17-24 / 02:24 PM","Loge","LOGE16","26","3","174.6"
"01-17-24 / 02:24 PM","Balcony","BAL322","15","3","95.55"
"01-17-24 / 08:48 AM","Balcony","BAL330","3","1","163.66"
"01-17-24 / 08:48 AM","Loge","LOGE7","18","2","186.2"
"01-17-24 / 08:48 AM","Balcony","BAL316","9","2","148.33"
"01-17-24 / 08:48 AM","Loge","LOGE4","26","2","167.58"
"01-17-24 / 08:48 AM","Balcony","BAL318","14","2","140.34"
"01-17-24 / 08:48 AM","Loge","LOGE6","21","2","135.8"
"01-17-24 / 08:48 AM","Balcony","BAL306","3","2","126.35"
"01-17-24 / 08:48 AM","Balcony","BAL323","11","2","114.36"
"01-17-24 / 08:48 AM","Loge","LOGE19","24","2","235.2"
"01-17-24 / 08:48 AM","Balcony","BAL326","2","2","135.24"
"01-17-24 / 08:48 AM","Loge","LOGE16","15","2","168.56"
"01-17-24 / 08:48 AM","Loge","LOGE18","H","2","302.82"
"01-17-24 / 08:48 AM","Balcony","BAL328","3","2","129.36"
"01-17-24 / 08:48 AM","Loge","LOGE15","5","2","282.24"
"01-17-24 / 08:48 AM","Loge","LOGE16","26","2","221.48"
"01-17-24 / 08:48 AM","Loge","LOGE18","2","2","228.34"
"01-17-24 / 08:48 AM","Loge","LOGE19","18","2","254.8"
"01-17-24 / 08:48 AM","VIP","12","B","2","1136.8"
"01-17-24 / 08:48 AM","Balcony","BAL305","15","4","84.02"
"01-17-24 / 08:48 AM","Loge","LOGE18","16","1","274.34"
"01-17-24 / 06:31 AM","Balcony","BAL324","8","4","141.1"
"01-17-24 / 06:31 AM","Loge","LOGE20","6","2","355.74"
"01-17-24 / 06:31 AM","Loge","LOGE5","25","2","241.08"
"01-17-24 / 12:15 AM","Balcony","BAL327","11","4","84.39"
"01-17-24 / 12:15 AM","Balcony","BAL322","11","1","82.45"
"01-17-24 / 12:15 AM","Balcony","BAL322","15","4","79.97"
"01-17-24 / 12:15 AM","Balcony","BAL304","9","2","89.1"
"01-17-24 / 12:15 AM","Loge","LOGE18","8","1","162"
"01-16-24 / 08:43 PM","Balcony","BAL318","14","2","128.04"
"01-16-24 / 08:43 PM","Loge","LOGE18","F","2","253"
"01-16-24 / 08:43 PM","Balcony","BAL302","13","3","109.25"
"01-16-24 / 08:43 PM","Balcony","BAL308","4","5","77.12"
"01-16-24 / 08:43 PM","Balcony","BAL321","8","2","85.36"
"01-16-24 / 08:43 PM","Loge","LOGE1","12","2","315"
"01-16-24 / 08:43 PM","Loge","LOGE1","17","2","354.9"
"01-16-24 / 01:02 PM","Balcony","BAL320","11","2","74.62"
"01-16-24 / 01:02 PM","Loge","LOGE20","C","1","317.45"
"01-16-24 / 01:26 AM","Loge","LOGE19","22","2","183.3"
"01-16-24 / 01:26 AM","Loge","LOGE7","2","3","225.22"
"01-15-24 / 09:33 PM","Balcony","BAL311","8","2","84.38"
"01-15-24 / 09:33 PM","Balcony","BAL302","14","2","116.4"
"01-15-24 / 05:47 PM","Balcony","BAL310","10","2","86.33"
"01-15-24 / 10:58 AM","Balcony","BAL316","1","2","220.26"
"01-15-24 / 10:57 AM","Loge","LOGE4","22","2","255.78"
"01-15-24 / 10:57 AM","Balcony","BAL301","14","2","210.35"
"01-15-24 / 10:57 AM","Loge","LOGE8","24","2","209.27"
"01-15-24 / 10:57 AM","Balcony","BAL302","6","4","200.04"
"01-15-24 / 10:57 AM","Loge","LOGE17","12","2","202.63"
"01-15-24 / 10:57 AM","Balcony","BAL329","6","3","160.49"
"01-15-24 / 10:57 AM","Balcony","BAL322","2","2","180.3"
"01-15-24 / 10:57 AM","Loge","LOGE7","9","3","164.9"
"01-15-24 / 10:57 AM","Loge","LOGE19","21","3","249.48"
"01-15-24 / 10:57 AM","Balcony","BAL323","5","2","146.02"
"01-15-24 / 10:57 AM","Loge","LOGE7","26","1","328.12"
"01-15-24 / 10:57 AM","Balcony","BAL318","14","1","194"
"01-15-24 / 10:57 AM","Balcony","BAL320","9","5","101.85"
"01-15-24 / 10:57 AM","Club","CLB141","H","2","305.55"
"01-15-24 / 10:57 AM","Loge","LOGE10","10","2","366.52"
"01-15-24 / 10:57 AM","Balcony","BAL306","1","2","206.78"
"01-15-24 / 10:57 AM","VIP","11","C","2","955.5"
"01-15-24 / 10:57 AM","Loge","LOGE15","20","3","223.1"
"01-15-24 / 10:57 AM","Loge","LOGE6","7","2","215.34"
"01-15-24 / 08:28 AM","Loge","LOGE2","9","2","391.81"
"01-15-24 / 08:28 AM","Balcony","BAL327","9","5","97.33"
"01-15-24 / 08:28 AM","Loge","LOGE20","3","2","366.01"
"01-15-24 / 08:28 AM","Balcony","BAL329","14","2","103.56"
"01-15-24 / 08:28 AM","Loge","LOGE3","14","2","311.64"
"01-15-24 / 05:36 AM","Loge","LOGE15","22","2","243.77"
"01-15-24 / 05:36 AM","Loge","LOGE18","19","2","164.9"
"01-15-24 / 05:36 AM","Balcony","BAL304","8","3","190.46"
"01-15-24 / 05:36 AM","Loge","LOGE3","21","1","312.77"
"01-15-24 / 05:36 AM","Loge","LOGE13","2","2","420.42"
"01-15-24 / 05:36 AM","Balcony","BAL327","14","1","84.44"
"01-15-24 / 02:30 AM","Balcony","BAL307","14","1","88.27"
"01-15-24 / 02:30 AM","Balcony","BAL311","3","2","150.33"
"01-15-24 / 02:30 AM","Loge","LOGE2","15","2","415.47"
"01-15-24 / 02:30 AM","Loge","LOGE17","F","1","349.63"
"01-15-24 / 02:30 AM","Balcony","BAL302","6","4","200.04"
"01-15-24 / 02:30 AM","Balcony","BAL312","12","2","87.91"
"01-15-24 / 02:30 AM","Balcony","BAL316","14","3","216.49"
"01-15-24 / 02:30 AM","Balcony","BAL323","4","1","92.7"
"01-15-24 / 02:30 AM","Balcony","BAL327","9","5","97.33"
"01-15-24 / 02:30 AM","Loge","LOGE21","17","2","421.92"
"01-15-24 / 02:30 AM","Loge","LOGE14","10","2","343.98"
"01-15-24 / 02:30 AM","Loge","LOGE6","21","2","209.27"
"01-15-24 / 02:30 AM","Loge","LOGE15","10","4","334.6"
"01-15-24 / 02:30 AM","Loge","LOGE12","11","1","440.33"
"01-15-24 / 02:30 AM","Loge","LOGE17","18","2","239.12"
"01-15-24 / 02:30 AM","Loge","LOGE7","23","4","190.05"
"01-15-24 / 02:30 AM","Loge","LOGE6","10","2","251.86"
"01-15-24 / 02:30 AM","Loge","LOGE6","24","2","197.96"
"01-15-24 / 02:30 AM","Balcony","BAL320","10","1","86.42"
"01-15-24 / 02:30 AM","Loge","LOGE2","15","2","419.44"
"01-15-24 / 02:30 AM","Loge","LOGE7","E","2","299.88"
"01-15-24 / 02:29 AM","Loge","LOGE4","25","2","282.24"
"01-15-24 / 02:29 AM","Loge","LOGE17","13","3","171"
"01-15-24 / 02:29 AM","Loge","LOGE7","14","4","189.15"
"01-15-24 / 02:29 AM","Loge","LOGE4","26","2","279.3"
"01-15-24 / 02:29 AM","Balcony","BAL307","10","4","85.55"
"01-15-24 / 02:29 AM","Balcony","BAL330","12","5","146.47"
"01-15-24 / 02:29 AM","Loge","LOGE14","A","4","355.35"
"01-15-24 / 02:29 AM","Loge","LOGE21","10","2","420.98"
"01-14-24 / 10:49 PM","Balcony","BAL316","4","2","212.27"
"01-14-24 / 10:49 PM","Balcony","BAL327","14","3","89.24"
"01-14-24 / 10:49 PM","Balcony","BAL304","8","2","106.7"
"01-14-24 / 10:49 PM","Balcony","BAL329","10","2","164.31"
"01-14-24 / 10:49 PM","Loge","LOGE2","18","2","411.43"
"01-14-24 / 10:49 PM","Loge","LOGE10","25","2","353.13"
"01-14-24 / 10:49 PM","Loge","LOGE18","M","4","241.08"
"01-14-24 / 10:49 PM","Balcony","BAL310","11","4","88.27"
"01-14-24 / 10:49 PM","Balcony","BAL327","15","1","135.06"
"01-14-24 / 10:49 PM","Balcony","BAL322","2","2","180.3"
"01-14-24 / 10:49 PM","Balcony","BAL304","7","2","105.73"
"01-14-24 / 10:49 PM","Loge","LOGE6","19","3","271.75"
"01-14-24 / 10:49 PM","Balcony","BAL308","5","2","138.18"
"01-14-24 / 10:49 PM","Balcony","BAL324","10","2","172.83"
"01-14-24 / 10:49 PM","Balcony","BAL306","13","4","125.12"
"01-14-24 / 10:49 PM","Balcony","BAL304","6","2","108"
"01-14-24 / 10:49 PM","Balcony","BAL309","9","2","123.35"
"01-14-24 / 10:49 PM","Balcony","BAL308","3","2","132.3"
"01-14-24 / 10:49 PM","Loge","LOGE7","E","2","290.87"
"01-14-24 / 10:49 PM","Loge","LOGE6","26","2","283.5"
"01-14-24 / 10:49 PM","Balcony","BAL303","11","3","113.44"
"01-14-24 / 10:49 PM","Balcony","BAL303","10","4","123.5"
"01-14-24 / 10:49 PM","Balcony","BAL305","10","3","101.85"
"01-14-24 / 10:49 PM","Loge","LOGE20","8","1","409.92"
"01-14-24 / 10:49 PM","Balcony","BAL325","9","2","91.18"
"01-14-24 / 10:49 PM","Loge","LOGE20","21","2","431.2"
"01-14-24 / 10:49 PM","Balcony","BAL311","12","6","111.55"
"01-14-24 / 10:49 PM","Loge","LOGE14","1","2","381.22"
"01-14-24 / 10:49 PM","Loge","LOGE4","23","7","286.15"
"01-14-24 / 10:49 PM","Loge","LOGE7","5","4","202.22"
"01-14-24 / 10:49 PM","Club","CLB115","F","2","284.21"
"01-14-24 / 10:49 PM","Loge","LOGE19","22","2","184.78"
"01-14-24 / 07:07 PM","Loge","LOGE17","13","4","171"
"01-14-24 / 07:07 PM","Loge","LOGE18","M","2","171"
"01-14-24 / 07:07 PM","Balcony","BAL302","14","2","175.3"
"01-14-24 / 07:07 PM","Balcony","BAL316","6","2","198.28"
"01-14-24 / 07:07 PM","Balcony","BAL318","5","2","192.29"
"01-14-24 / 07:07 PM","Balcony","BAL313","8","2","129.35"
"01-14-24 / 07:07 PM","Balcony","BAL305","14","2","131.35"
"01-14-24 / 07:07 PM","Loge","LOGE18","4","2","206.47"
"01-14-24 / 07:07 PM","Balcony","BAL318","1","2","223.44"
"01-14-24 / 07:07 PM","Balcony","BAL322","10","4","90.21"
"01-14-24 / 07:07 PM","Balcony","BAL313","1","2","195.02"
"01-14-24 / 07:07 PM","Balcony","BAL312","15","5","91.18"
"01-14-24 / 07:07 PM","Balcony","BAL322","12","2","130.35"
"01-14-24 / 07:07 PM","Loge","LOGE4","8","1","355.77"
"01-14-24 / 07:07 PM","Loge","LOGE21","11","2","444.92"
"01-14-24 / 07:07 PM","Loge","LOGE8","26","2","169.75"
"01-14-24 / 07:07 PM","Loge","LOGE11","17","2","306.9"
"01-14-24 / 07:07 PM","Loge","LOGE17","M","2","294.98"
"01-14-24 / 07:07 PM","Balcony","BAL303","7","5","142.69"
"01-14-24 / 07:07 PM","Balcony","BAL315","9","4","147.8"
"01-14-24 / 07:07 PM","Loge","LOGE17","A","1","378.3"
"01-14-24 / 07:07 PM","Balcony","BAL312","11","5","123.19"
"01-14-24 / 07:07 PM","Loge","LOGE8","13","3","232.8"
"01-14-24 / 07:07 PM","Loge","LOGE18","19","5","186.24"
"01-14-24 / 03:37 PM","Balcony","BAL304","8","2","106.7"
"01-14-24 / 03:37 PM","Balcony","BAL316","11","2","192.29"
"01-14-24 / 03:37 PM","Balcony","BAL316","14","3","201.5"
"01-14-24 / 03:37 PM","Loge","LOGE2","15","2","415.47"
"01-14-24 / 03:37 PM","Loge","LOGE18","M","4","242.52"
"01-14-24 / 03:37 PM","Loge","LOGE19","21","3","249.48"
"01-14-24 / 03:37 PM","Balcony","BAL313","10","3","179.47"
"01-14-24 / 03:37 PM","Loge","LOGE17","F","1","349.63"
"01-14-24 / 03:37 PM","Balcony","BAL311","3","2","150.33"
"01-14-24 / 03:37 PM","Balcony","BAL323","5","2","155.82"
"01-14-24 / 03:37 PM","Loge","LOGE8","12","3","305.4"
"01-14-24 / 03:37 PM","Loge","LOGE10","18","4","335.68"
"01-14-24 / 03:37 PM","Balcony","BAL328","4","4","195.02"
"01-14-24 / 03:37 PM","Balcony","BAL304","8","3","190.46"
"01-14-24 / 03:37 PM","Balcony","BAL327","11","1","161.04"
"01-14-24 / 03:37 PM","Balcony","BAL307","8","2","133.34"
"01-14-24 / 03:37 PM","Loge","LOGE15","23","2","255.78"
"01-14-24 / 03:37 PM","Loge","LOGE3","8","2","387.1"
"01-14-24 / 03:37 PM","Balcony","BAL312","12","2","97"
"01-14-24 / 03:37 PM","Balcony","BAL321","11","2","89.24"
"01-14-24 / 03:37 PM","Balcony","BAL306","10","2","100.88"
"01-14-24 / 03:37 PM","Loge","LOGE6","10","6","213.4"
"01-14-24 / 03:37 PM","Balcony","BAL323","8","4","96.03"
"01-14-24 / 03:37 PM","Balcony","BAL320","5","2","99.9"
"01-14-24 / 03:37 PM","Balcony","BAL326","2","2","166.5"
"01-14-24 / 03:37 PM","Loge","LOGE7","K","1","384.16"
"01-14-24 / 03:37 PM","Balcony","BAL319","2","5","162.33"
"01-14-24 / 03:37 PM","Balcony","BAL311","1","3","153.79"
"01-14-24 / 12:44 PM","Balcony","BAL302","6","4","200.04"
"01-14-24 / 12:44 PM","Loge","LOGE16","13","2","232.5"
"01-14-24 / 12:43 PM","Balcony","BAL329","6","3","170.48"
"01-14-24 / 12:43 PM","Balcony","BAL316","9","2","186.29"
"01-14-24 / 12:43 PM","Balcony","BAL322","12","2","158.77"
"01-14-24 / 12:43 PM","Balcony","BAL315","15","2","138.34"
"01-14-24 / 12:43 PM","Balcony","BAL320","9","2","135.34"
"01-14-24 / 12:43 PM","Loge","LOGE5","11","2","342.02"
"01-14-24 / 12:43 PM","Loge","LOGE18","19","1","224.42"
"01-14-24 / 12:43 PM","Balcony","BAL316","14","2","145.5"
"01-14-24 / 12:43 PM","Loge","LOGE6","21","2","165.87"
