"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"03-14-24 / 03:17 PM","Loge","LOGE8","22","2","228.94"
"03-14-24 / 03:17 PM","Loge","LOGE2","16","1","312.19"
"03-14-24 / 03:17 PM","Lofts","LOFT06","","3","1019.04"
"03-14-24 / 03:17 PM","Lofts","LOFT05","","1","2023.84"
"03-14-24 / 03:17 PM","Lofts","LOFT09","","1","2529.8"
"03-14-24 / 11:07 AM","Balcony","BAL306","12","1","143.24"
"03-14-24 / 11:07 AM","Club","CLB141","H","2","333"
"03-14-24 / 07:03 AM","Loge","LOGE7","1","1","289.99"
"03-14-24 / 02:25 AM","Loge","LOGE15","14","1","298.47"
"03-14-24 / 02:25 AM","VIP","12","A","1","1415.25"
"03-13-24 / 09:24 PM","Balcony","BAL322","15","1","129.87"
"03-13-24 / 12:31 PM","Balcony","BAL307","13","2","152.08"
"03-13-24 / 12:31 PM","Club","CLB143","","2","308.86"
"03-13-24 / 04:45 AM","Loge","LOGE7","K","3","254.87"
"03-12-24 / 11:51 PM","Loge","LOGE7","23","2","224.31"
"03-12-24 / 07:03 PM","Lofts","LOFT05","","1","1006.58"
"03-12-24 / 07:03 PM","Loge","LOGE6","18","2","219.98"
"03-12-24 / 02:36 PM","Loge","LOGE7","24","2","218.71"
"03-12-24 / 10:29 AM","Balcony","BAL308","15","1","131.54"
"03-12-24 / 10:29 AM","Loge","LOGE7","18","2","233.28"
"03-12-24 / 06:20 AM","Loge","LOGE19","22","1","243.46"
"03-12-24 / 01:19 AM","Balcony","BAL314","15","2","156.94"
"03-12-24 / 01:19 AM","Loge","LOGE6","14","2","238.67"
"03-12-24 / 01:19 AM","Loge","LOGE5","23","1","248.54"
"03-12-24 / 01:19 AM","Loge","LOGE8","26","4","268.01"
"03-11-24 / 08:36 PM","Balcony","BAL313","13","1","161.5"
"03-11-24 / 08:36 PM","Balcony","BAL315","9","1","166.5"
"03-11-24 / 08:36 PM","Club","CLB109","C","2","496.61"
"03-11-24 / 08:36 PM","Loge","LOGE9","23","3","298.78"
"03-11-24 / 03:46 PM","Balcony","BAL315","9","2","166.5"
"03-11-24 / 03:46 PM","Loge","LOGE17","8","4","252.13"
"03-11-24 / 03:46 PM","Loge","LOGE20","B","2","468.95"
"03-11-24 / 12:06 PM","Balcony","BAL308","15","1","131.54"
"03-11-24 / 12:06 PM","Balcony","BAL309","15","3","133.17"
"03-11-24 / 08:42 AM","Balcony","BAL328","14","2","140.87"
"03-11-24 / 08:42 AM","Loge","LOGE3","26","2","380.74"
"03-11-24 / 08:42 AM","Loge","LOGE21","7","2","592.85"
"03-11-24 / 08:42 AM","Loge","LOGE8","5","3","280.11"
"03-11-24 / 08:42 AM","Balcony","BAL307","15","1","107.67"
"03-11-24 / 08:42 AM","Loge","LOGE4","22","2","344.27"
"03-11-24 / 08:42 AM","Balcony","BAL309","6","1","223.94"
"03-11-24 / 08:42 AM","Loge","LOGE6","20","4","314.11"
"03-11-24 / 08:42 AM","VIP","13","C","2","977.16"
"03-11-24 / 04:36 AM","Lofts","LOFT09","","1","1097.44"
"03-10-24 / 11:45 PM","Lofts","LOFT08","","2","888.99"
"03-10-24 / 02:35 PM","Loge","LOGE7","26","2","227"
"03-10-24 / 10:45 AM","Balcony","BAL307","8","5","132.79"
"03-10-24 / 10:45 AM","Loge","LOGE13","11","2","369.67"
"03-10-24 / 10:45 AM","VIP","18","C","4","661.84"
"03-10-24 / 10:45 AM","Balcony","BAL308","15","3","179.02"
"03-10-24 / 01:15 AM","Balcony","BAL321","13","3","131.92"
"03-10-24 / 01:15 AM","Balcony","BAL327","11","4","139.97"
"03-10-24 / 01:15 AM","Loge","LOGE20","24","2","311.17"
"03-10-24 / 01:15 AM","Loge","LOGE17","20","1","227.9"
"03-10-24 / 01:15 AM","Loge","LOGE7","22","3","227.9"
"03-09-24 / 10:38 AM","Balcony","BAL303","13","2","177.66"
"03-08-24 / 06:36 PM","Balcony","BAL310","14","5","131.7"
"03-08-24 / 06:36 PM","Balcony","BAL322","15","3","126.26"
"03-08-24 / 06:36 PM","Balcony","BAL327","7","2","162.54"
"03-08-24 / 01:49 PM","Balcony","BAL317","12","2","161.95"
"03-08-24 / 01:49 PM","Balcony","BAL302","14","4","196.5"
"03-08-24 / 01:49 PM","Balcony","BAL317","12","2","161.95"
"03-08-24 / 09:18 AM","Lofts","LOFT08","","1","944.22"
"03-07-24 / 10:49 PM","Balcony","BAL327","11","1","146.25"
"03-07-24 / 12:59 PM","Balcony","BAL307","8","1","148.05"
"03-07-24 / 04:16 AM","Loge","LOGE1","13","2","499.5"
"03-06-24 / 11:02 PM","Loge","LOGE8","22","1","280.84"
"03-06-24 / 12:50 PM","Balcony","BAL327","12","4","127.42"
"03-06-24 / 08:53 AM","Balcony","BAL305","15","3","123.02"
"03-06-24 / 08:53 AM","Balcony","BAL303","10","2","141.52"
"03-06-24 / 08:53 AM","Balcony","BAL328","6","1","212.03"
"03-05-24 / 10:39 PM","Loge","LOGE17","13","3","249.61"
"03-05-24 / 10:39 PM","Loge","LOGE7","5","2","223.94"
"03-05-24 / 05:12 PM","Loge","LOGE15","23","2","271.73"
"03-05-24 / 12:33 PM","Club","CLB107","F","1","333"
"03-05-24 / 08:32 AM","Balcony","BAL311","10","1","183.38"
"03-05-24 / 08:32 AM","Balcony","BAL326","10","4","134.59"
"03-05-24 / 08:32 AM","Balcony","BAL319","7","2","153.43"
"03-05-24 / 03:43 AM","Balcony","BAL312","12","2","136.38"
"03-04-24 / 10:39 PM","Balcony","BAL305","3","1","194.7"
"03-04-24 / 10:39 PM","Balcony","BAL303","14","4","167.51"
"03-04-24 / 10:39 PM","Loge","LOGE12","15","2","589.22"
"03-04-24 / 10:39 PM","Balcony","BAL315","12","1","202.78"
"03-04-24 / 09:06 AM","Balcony","BAL315","15","6","167.83"
"03-04-24 / 09:06 AM","Balcony","BAL327","14","3","129.2"
"03-04-24 / 09:06 AM","Loge","LOGE13","16","1","398.38"
"03-04-24 / 04:55 AM","Balcony","BAL312","9","1","131.48"
"03-03-24 / 07:32 PM","Loge","LOGE18","2","2","273.89"
"03-03-24 / 10:34 AM","Balcony","BAL330","11","2","173.22"
"03-03-24 / 10:34 AM","Loge","LOGE18","4","2","258.57"
"03-03-24 / 06:44 AM","Balcony","BAL327","12","6","145.35"
"03-03-24 / 06:44 AM","Balcony","BAL319","13","2","135.48"
"03-03-24 / 06:44 AM","Loge","LOGE20","B","2","593.98"
"03-03-24 / 06:44 AM","Loge","LOGE14","8","1","306.36"
"03-03-24 / 02:06 AM","Balcony","BAL312","9","3","131.48"
"03-02-24 / 03:11 PM","Balcony","BAL315","13","2","194.7"
"03-02-24 / 11:00 AM","Loge","LOGE6","12","5","277.25"
"03-02-24 / 11:00 AM","Balcony","BAL303","8","2","168.16"
"03-02-24 / 11:00 AM","Balcony","BAL314","2","3","224.31"
"03-01-24 / 09:05 PM","Loge","LOGE15","11","1","299.7"
