"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"02-09-24 / 07:33 PM","Balcony","BAL308","8","2","81.99"
"02-09-24 / 07:33 PM","Balcony","BAL326","9","3","99"
"02-09-24 / 07:33 PM","Balcony","BAL325","11","2","81.81"
"02-09-24 / 07:33 PM","Balcony","BAL326","11","2","81.81"
"02-09-24 / 07:33 PM","Club","CLB111","K","3","351.79"
"02-09-24 / 03:27 PM","Balcony","BAL322","15","4","81.9"
"02-09-24 / 03:27 PM","Balcony","BAL304","12","2","90.09"
"02-09-24 / 03:27 PM","Loge","LOGE17","K","1","171"
"02-09-24 / 11:58 AM","Balcony","BAL320","11","1","98.01"
"02-09-24 / 08:54 AM","Balcony","BAL314","7","3","110.58"
"02-09-24 / 08:54 AM","Loge","LOGE10","20","1","189.11"
"02-09-24 / 08:54 AM","Loge","LOGE21","18","2","292.27"
"02-09-24 / 08:54 AM","Balcony","BAL301","10","2","142.33"
"02-09-24 / 08:54 AM","Loge","LOGE15","18","2","144.02"
"02-09-24 / 08:54 AM","Balcony","BAL315","13","3","121.25"
"02-09-24 / 08:53 AM","Loge","LOGE11","14","2","337.12"
"02-09-24 / 08:53 AM","Loge","LOGE6","F","4","320.13"
"02-09-24 / 08:53 AM","Loge","LOGE7","21","2","171.31"
"02-09-24 / 08:53 AM","Loge","LOGE7","12","2","176.3"
"02-09-24 / 08:53 AM","Loge","LOGE17","8","2","152.29"
"02-09-24 / 08:53 AM","Loge","LOGE13","17","2","294.98"
"02-09-24 / 08:53 AM","Loge","LOGE8","25","2","136.77"
"02-09-24 / 08:53 AM","Loge","LOGE8","23","4","206.78"
"02-09-24 / 08:53 AM","Loge","LOGE7","18","4","187.06"
"02-09-24 / 08:53 AM","Loge","LOGE7","14","2","174.44"
"02-09-24 / 08:53 AM","Balcony","BAL312","7","2","121.36"
"02-09-24 / 08:53 AM","Balcony","BAL324","4","2","123.48"
"02-09-24 / 08:53 AM","Balcony","BAL315","15","3","158.49"
"02-09-24 / 08:53 AM","Loge","LOGE15","15","2","187.18"
"02-09-24 / 08:53 AM","Balcony","BAL319","1","2","155.82"
"02-09-24 / 08:53 AM","Loge","LOGE3","10","1","252.3"
"02-09-24 / 08:53 AM","Balcony","BAL326","1","4","150.92"
"02-09-24 / 08:53 AM","Loge","LOGE7","16","3","136.77"
"02-09-24 / 08:53 AM","Loge","LOGE8","12","3","289.1"
"02-09-24 / 08:53 AM","Loge","LOGE8","5","3","135.8"
"02-09-24 / 08:53 AM","Loge","LOGE18","10","2","245.98"
"02-09-24 / 08:53 AM","Balcony","BAL324","2","3","113.63"
"02-09-24 / 08:53 AM","Loge","LOGE7","9","3","130.95"
"02-09-24 / 08:53 AM","Balcony","BAL326","15","2","77.35"
"02-09-24 / 08:53 AM","Loge","LOGE10","11","3","251.75"
"02-09-24 / 08:53 AM","Loge","LOGE4","23","6","161.7"
"02-09-24 / 08:53 AM","Balcony","BAL302","9","2","115.43"
"02-09-24 / 08:53 AM","Loge","LOGE6","17","6","142.1"
"02-09-24 / 08:53 AM","Balcony","BAL306","8","2","84.39"
"02-09-24 / 06:17 AM","Loge","LOGE1","15","2","286.15"
"02-09-24 / 06:17 AM","Balcony","BAL326","9","2","116.87"
"02-09-24 / 06:17 AM","Loge","LOGE13","4","2","355.5"
"02-09-24 / 06:17 AM","Balcony","BAL323","5","3","95.06"
"02-09-24 / 02:38 AM","Balcony","BAL309","14","4","85.09"
"02-09-24 / 02:38 AM","Loge","LOGE9","23","2","144.53"
"02-09-24 / 02:37 AM","Balcony","BAL303","11","5","107.67"
"02-09-24 / 02:37 AM","Loge","LOGE8","9","2","330.2"
"02-09-24 / 02:37 AM","Loge","LOGE14","9","2","273.42"
"02-09-24 / 02:37 AM","Loge","LOGE10","15","2","319.48"
"02-09-24 / 02:37 AM","Balcony","BAL330","11","3","166.48"
"02-09-24 / 02:37 AM","Loge","LOGE13","17","2","305.72"
"02-09-24 / 02:37 AM","Loge","LOGE13","18","2","302.34"
"02-09-24 / 02:37 AM","Balcony","BAL324","5","2","128.38"
"02-09-24 / 02:37 AM","Balcony","BAL318","15","2","92.15"
"02-09-24 / 02:37 AM","Balcony","BAL315","13","4","98"
"02-09-24 / 02:37 AM","Balcony","BAL320","6","4","137.11"
"02-09-24 / 02:37 AM","Balcony","BAL309","5","1","182.27"
"02-09-24 / 02:37 AM","Balcony","BAL314","14","3","83.3"
"02-09-24 / 02:37 AM","Balcony","BAL324","8","2","81.48"
"02-09-24 / 02:37 AM","Balcony","BAL309","2","1","126.42"
"02-09-24 / 02:37 AM","Loge","LOGE13","9","2","329.28"
"02-09-24 / 02:37 AM","Loge","LOGE19","11","2","244.02"
"02-09-24 / 02:37 AM","Balcony","BAL316","2","2","196"
"02-09-24 / 02:37 AM","Loge","LOGE3","9","1","184.2"
"02-09-24 / 02:37 AM","Balcony","BAL317","9","5","135.8"
"02-09-24 / 02:37 AM","Loge","LOGE16","26","2","245"
"02-09-24 / 02:37 AM","Balcony","BAL304","8","2","86.33"
"02-09-24 / 02:37 AM","Balcony","BAL327","10","4","80.62"
"02-09-24 / 02:37 AM","Loge","LOGE18","10","2","134.1"
"02-09-24 / 02:37 AM","Balcony","BAL306","9","4","80.51"
"02-09-24 / 02:37 AM","Loge","LOGE19","24","3","145.5"
"02-09-24 / 02:37 AM","Loge","LOGE3","A","2","322.04"
"02-09-24 / 02:37 AM","Balcony","BAL307","6","2","82.45"
"02-09-24 / 02:37 AM","Balcony","BAL321","6","2","83.42"
"02-09-24 / 02:37 AM","Loge","LOGE7","H","4","233.61"
"02-09-24 / 02:37 AM","Loge","LOGE3","24","3","193.03"
"02-09-24 / 02:37 AM","Loge","LOGE17","17","3","137.74"
"02-09-24 / 02:37 AM","Loge","LOGE4","19","3","163.93"
"02-08-24 / 10:35 PM","Loge","LOGE3","13","2","217.95"
"02-08-24 / 10:35 PM","Loge","LOGE7","2","3","190.19"
"02-08-24 / 06:28 PM","Balcony","BAL306","7","1","91.52"
"02-08-24 / 06:27 PM","Loge","LOGE17","7","2","152.29"
"02-08-24 / 06:27 PM","Loge","LOGE18","6","3","155.2"
"02-08-24 / 06:27 PM","Balcony","BAL308","7","2","122.35"
"02-08-24 / 06:27 PM","Balcony","BAL311","12","3","76.63"
"02-08-24 / 06:27 PM","Loge","LOGE6","19","2","168.56"
"02-08-24 / 06:27 PM","Balcony","BAL310","9","3","79.54"
"02-08-24 / 06:27 PM","Loge","LOGE3","3","4","231.3"
