"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"04-14-24 / 01:17 PM","Balcony","BAL312","14","5","114.55"
"04-14-24 / 01:17 PM","Loge","LOGE4","26","1","203.96"
"04-14-24 / 07:45 AM","Loge","LOGE18","15","2","193.08"
"04-14-24 / 07:45 AM","Loge","LOGE9","16","2","159.99"
"04-14-24 / 07:45 AM","Balcony","BAL311","3","2","123.34"
"04-14-24 / 07:45 AM","Loge","LOGE10","C","2","200.97"
"04-14-24 / 07:45 AM","Balcony","BAL326","9","1","86.58"
"04-14-24 / 07:45 AM","Loge","LOGE2","11","1","251.23"
"04-14-24 / 07:45 AM","Balcony","BAL312","2","2","87.41"
"04-14-24 / 07:45 AM","Balcony","BAL311","10","2","87.93"
"04-14-24 / 07:45 AM","Loge","LOGE16","7","2","151.39"
"04-14-24 / 07:45 AM","Balcony","BAL323","5","2","83.24"
"04-14-24 / 07:45 AM","Loge","LOGE6","11","3","153.43"
"04-14-24 / 04:42 AM","Club","CLB137","A","3","186.48"
"04-14-24 / 04:42 AM","Balcony","BAL314","7","2","127.04"
"04-14-24 / 04:42 AM","Balcony","BAL304","10","2","129.81"
"04-14-24 / 04:42 AM","Loge","LOGE13","17","2","260.17"
"04-14-24 / 04:42 AM","Balcony","BAL321","5","2","94.21"
"04-14-24 / 04:42 AM","Balcony","BAL324","8","4","167.48"
"04-14-24 / 04:42 AM","Balcony","BAL302","12","2","96.9"
"04-14-24 / 04:42 AM","Balcony","BAL318","11","2","84.36"
"04-14-24 / 04:42 AM","Balcony","BAL311","13","2","88.83"
"04-14-24 / 01:21 AM","Loge","LOGE7","3","1","166.96"
"04-13-24 / 09:32 PM","Balcony","BAL303","15","1","105.73"
"04-13-24 / 05:41 PM","Loge","LOGE14","A","2","254.19"
"04-13-24 / 05:41 PM","Loge","LOGE7","4","2","144.94"
"04-13-24 / 05:41 PM","Loge","LOGE3","13","2","197.22"
"04-13-24 / 01:58 PM","Balcony","BAL307","14","4","83.25"
"04-13-24 / 10:30 AM","Balcony","BAL330","13","1","169.88"
"04-13-24 / 10:30 AM","Club","CLB109","A","1","283.11"
"04-13-24 / 10:30 AM","Balcony","BAL326","11","1","109.31"
"04-13-24 / 10:30 AM","Balcony","BAL306","8","4","153.62"
"04-13-24 / 10:30 AM","Loge","LOGE7","H","1","281.68"
"04-13-24 / 10:30 AM","Loge","LOGE21","13","4","313.65"
"04-13-24 / 10:30 AM","Balcony","BAL316","14","3","209.98"
"04-13-24 / 10:30 AM","Loge","LOGE15","12","2","174.95"
"04-13-24 / 10:30 AM","Balcony","BAL301","13","4","188.74"
"04-13-24 / 10:30 AM","Balcony","BAL315","15","3","189.11"
"04-13-24 / 10:30 AM","Balcony","BAL301","14","2","132.15"
"04-13-24 / 10:30 AM","Balcony","BAL311","3","2","127.04"
"04-13-24 / 10:30 AM","Balcony","BAL324","2","2","130.74"
"04-13-24 / 10:30 AM","Balcony","BAL302","9","2","110.04"
"04-13-24 / 10:30 AM","Balcony","BAL308","11","2","79.86"
"04-13-24 / 10:30 AM","Balcony","BAL315","11","4","101.63"
"04-13-24 / 10:30 AM","Balcony","BAL320","13","2","76.56"
"04-13-24 / 10:30 AM","Loge","LOGE19","26","2","139.07"
"04-13-24 / 10:30 AM","Loge","LOGE19","12","3","160.56"
"04-13-24 / 10:30 AM","Balcony","BAL326","10","2","116.87"
"04-13-24 / 10:30 AM","Loge","LOGE17","5","3","157.02"
"04-13-24 / 10:29 AM","Loge","LOGE18","17","2","131"
"04-13-24 / 10:29 AM","Loge","LOGE20","20","1","191.94"
"04-13-24 / 10:29 AM","VIP","12","B","2","795.91"
"04-13-24 / 10:29 AM","Balcony","BAL323","5","3","174.33"
"04-13-24 / 10:29 AM","Balcony","BAL313","5","2","82.42"
"04-13-24 / 10:29 AM","Balcony","BAL302","15","2","87.91"
"04-13-24 / 10:29 AM","Loge","LOGE3","24","2","168.89"
"04-13-24 / 10:29 AM","Loge","LOGE14","A","2","258.41"
"04-13-24 / 10:29 AM","Loge","LOGE10","C","2","243.34"
"04-13-24 / 10:29 AM","Balcony","BAL310","13","2","84.34"
"04-13-24 / 10:29 AM","Loge","LOGE11","7","2","274.39"
"04-13-24 / 10:29 AM","Loge","LOGE15","17","4","144.62"
"04-13-24 / 07:29 AM","Balcony","BAL309","10","2","74.58"
"04-13-24 / 07:29 AM","Balcony","BAL301","10","2","114.07"
"04-13-24 / 07:29 AM","Loge","LOGE10","4","2","166.5"
"04-13-24 / 03:39 AM","Balcony","BAL322","15","4","92.59"
"04-13-24 / 03:38 AM","Loge","LOGE6","E","2","196.71"
"04-13-24 / 03:38 AM","Balcony","BAL309","5","2","119.66"
"04-13-24 / 03:38 AM","Balcony","BAL303","14","2","109.43"
"04-13-24 / 03:38 AM","Loge","LOGE13","9","2","344.47"
"04-13-24 / 03:38 AM","Loge","LOGE10","3","2","278.3"
"04-13-24 / 03:38 AM","Balcony","BAL322","12","5","97.8"
"04-13-24 / 03:38 AM","Loge","LOGE6","D","2","208.16"
"04-13-24 / 03:38 AM","Loge","LOGE4","23","3","140.51"
"04-13-24 / 03:38 AM","Loge","LOGE2","11","1","284.43"
"04-13-24 / 03:38 AM","Loge","LOGE16","11","3","245.48"
"04-13-24 / 03:38 AM","Balcony","BAL314","14","2","85.24"
"04-13-24 / 03:38 AM","Loge","LOGE3","12","4","223.42"
"04-13-24 / 03:38 AM","Club","CLB145","H","2","224.31"
"04-13-24 / 03:38 AM","Balcony","BAL319","7","2","90.74"
"04-13-24 / 03:38 AM","Balcony","BAL307","6","2","104.08"
"04-13-24 / 03:38 AM","Loge","LOGE17","B","5","333.78"
"04-13-24 / 03:38 AM","Club","CLB143","E","2","204.21"
"04-13-24 / 03:38 AM","Loge","LOGE10","A","2","241.05"
"04-13-24 / 03:38 AM","Balcony","BAL328","11","4","90.69"
"04-12-24 / 11:12 PM","Loge","LOGE10","18","2","239.74"
"04-12-24 / 11:12 PM","Loge","LOGE15","24","1","154.06"
"04-12-24 / 11:12 PM","Balcony","BAL314","15","4","117.44"
"04-12-24 / 11:12 PM","Balcony","BAL318","8","2","106.13"
"04-12-24 / 11:12 PM","Balcony","BAL308","9","3","117.72"
"04-12-24 / 11:12 PM","Loge","LOGE7","22","1","144.62"
"04-12-24 / 11:12 PM","VIP","2","A","2","693.12"
"04-12-24 / 11:12 PM","Loge","LOGE18","11","1","149.39"
"04-12-24 / 02:33 PM","Balcony","BAL315","15","1","123.48"
"04-12-24 / 02:33 PM","Balcony","BAL309","5","2","119.66"
"04-12-24 / 02:33 PM","Loge","LOGE17","16","2","148.05"
"04-12-24 / 02:33 PM","Balcony","BAL310","14","2","130.74"
"04-12-24 / 02:33 PM","Balcony","BAL327","3","2","98.87"
"04-12-24 / 02:33 PM","Balcony","BAL316","12","3","118.64"
"04-12-24 / 02:33 PM","VIP","11","C","2","702.54"
"04-12-24 / 02:33 PM","Loge","LOGE13","9","2","344.47"
"04-12-24 / 02:32 PM","Loge","LOGE17","21","2","266.51"
"04-12-24 / 02:32 PM","Loge","LOGE7","H","1","261.07"
"04-12-24 / 02:32 PM","Loge","LOGE18","19","2","203.06"
"04-12-24 / 02:32 PM","Balcony","BAL305","2","2","116.94"
"04-12-24 / 02:32 PM","Balcony","BAL301","14","2","158.95"
"04-12-24 / 02:32 PM","Balcony","BAL310","2","2","117.84"
"04-12-24 / 02:32 PM","Balcony","BAL315","15","3","189.11"
