"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"03-20-24 / 06:52 PM","Balcony","BAL314","13","1","130.1"
"03-20-24 / 06:52 PM","Balcony","BAL307","14","1","121.13"
"03-20-24 / 06:52 PM","Loge","LOGE17","2","2","203.02"
"03-20-24 / 02:31 PM","Balcony","BAL329","10","1","166.5"
"03-20-24 / 02:31 PM","Loge","LOGE4","10","2","291.15"
"03-20-24 / 02:31 PM","Balcony","BAL302","14","4","139.07"
"03-20-24 / 02:31 PM","Loge","LOGE15","17","2","219.13"
"03-20-24 / 02:16 AM","Balcony","BAL307","14","1","127.5"
"03-20-24 / 02:16 AM","Balcony","BAL327","10","1","117.03"
"03-20-24 / 02:16 AM","Balcony","BAL307","12","1","101.05"
"03-20-24 / 02:16 AM","Balcony","BAL303","14","3","130.47"
"03-20-24 / 02:16 AM","Balcony","BAL321","13","2","104.98"
"03-20-24 / 02:16 AM","Loge","LOGE17","13","1","231.44"
"03-19-24 / 09:48 PM","Club","CLB141","H","2","353.81"
"03-19-24 / 09:48 PM","Balcony","BAL321","13","1","104.98"
"03-19-24 / 05:15 PM","Balcony","BAL307","13","2","99.96"
"03-19-24 / 05:15 PM","Balcony","BAL305","15","2","98.42"
"03-19-24 / 05:15 PM","VIP","11","B","2","1054.5"
"03-19-24 / 01:07 PM","Balcony","BAL323","7","2","113.51"
"03-19-24 / 01:07 PM","Balcony","BAL330","13","2","179.79"
"03-19-24 / 01:07 PM","Balcony","BAL327","11","5","120.23"
"03-19-24 / 01:07 PM","Balcony","BAL303","6","4","168.68"
"03-19-24 / 01:44 AM","Balcony","BAL326","11","3","115.32"
"03-19-24 / 01:44 AM","Balcony","BAL314","7","3","173.17"
"03-19-24 / 01:44 AM","Balcony","BAL317","13","4","166.89"
"03-19-24 / 01:44 AM","Balcony","BAL329","12","2","142.19"
"03-18-24 / 05:09 PM","Balcony","BAL304","12","2","155.72"
"03-18-24 / 05:09 PM","Balcony","BAL323","7","3","126.12"
"03-18-24 / 01:07 PM","Loge","LOGE6","G","2","240.59"
"03-17-24 / 09:32 PM","Balcony","BAL309","14","4","122.96"
"03-17-24 / 09:32 PM","Loge","LOGE3","11","3","401.97"
"03-17-24 / 04:46 PM","Balcony","BAL311","5","2","159.09"
"03-17-24 / 04:46 PM","Loge","LOGE7","5","3","272.94"
"03-17-24 / 09:50 AM","Balcony","BAL321","13","1","124.88"
"03-17-24 / 03:09 AM","Balcony","BAL321","13","1","124.88"
"03-16-24 / 07:34 PM","Balcony","BAL315","6","1","227.9"
"03-16-24 / 03:35 PM","Club","CLB109","G","1","398.89"
"03-16-24 / 09:01 AM","Balcony","BAL314","8","5","219.21"
"03-16-24 / 09:01 AM","Balcony","BAL314","1","2","268.2"
"03-16-24 / 09:01 AM","Balcony","BAL322","13","3","221.71"
"03-16-24 / 01:34 AM","Balcony","BAL324","13","2","133.69"
"03-16-24 / 01:34 AM","Loge","LOGE7","K","1","254.87"
"03-15-24 / 09:16 PM","Balcony","BAL330","9","4","207.26"
"03-15-24 / 05:10 PM","Loge","LOGE7","K","2","254.87"
"03-15-24 / 05:38 AM","Balcony","BAL306","15","1","134.02"
"03-15-24 / 05:38 AM","Balcony","BAL319","15","2","154.29"
"03-15-24 / 01:11 AM","VIP","13","C","2","957.38"
"03-14-24 / 07:09 AM","Loge","LOGE2","18","2","562.02"
"03-14-24 / 07:09 AM","Loge","LOGE18","8","3","321.06"
"03-14-24 / 07:09 AM","Balcony","BAL308","6","2","189.87"
"03-14-24 / 07:09 AM","Loge","LOGE7","B","2","444.28"
"03-14-24 / 07:09 AM","Balcony","BAL301","9","2","309.99"
"03-14-24 / 07:09 AM","Loge","LOGE7","22","4","316.93"
"03-14-24 / 07:09 AM","Loge","LOGE20","12","3","407.92"
"03-14-24 / 07:09 AM","Balcony","BAL322","2","2","215.62"
"03-14-24 / 07:09 AM","Balcony","BAL322","1","2","252.31"
"03-14-24 / 02:31 AM","Balcony","BAL327","12","3","144.99"
"03-14-24 / 02:31 AM","Loge","LOGE8","22","1","287.12"
"03-13-24 / 04:48 PM","Balcony","BAL319","12","2","153.43"
"03-13-24 / 12:35 PM","Loge","LOGE8","13","1","309.55"
"03-13-24 / 08:50 AM","Balcony","BAL323","4","4","192.43"
"03-13-24 / 08:50 AM","Balcony","BAL314","6","3","316.33"
"03-13-24 / 08:50 AM","Balcony","BAL329","15","3","296.54"
"03-13-24 / 08:50 AM","Loge","LOGE2","18","2","591.2"
"03-13-24 / 08:50 AM","Loge","LOGE7","F","2","373.43"
"03-13-24 / 08:50 AM","Balcony","BAL303","4","3","297.58"
"03-13-24 / 04:51 AM","Loge","LOGE3","21","1","489.62"
"03-13-24 / 04:51 AM","Balcony","BAL318","8","2","172.14"
"03-13-24 / 04:51 AM","Balcony","BAL327","7","2","192.65"
"03-13-24 / 04:51 AM","Loge","LOGE19","19","2","296.43"
"03-13-24 / 04:51 AM","Balcony","Balcony","","2","296"
"03-13-24 / 04:51 AM","Loge","LOGE7","23","4","295.52"
"03-13-24 / 04:51 AM","Loge","LOGE14","15","2","323.01"
"03-13-24 / 04:51 AM","Balcony","BAL320","6","4","197.98"
"03-13-24 / 04:51 AM","Balcony","BAL308","5","2","193.08"
"03-13-24 / 04:51 AM","Loge","Loge","","2","606.8"
"03-13-24 / 04:51 AM","Loge","LOGE6","2","2","436.93"
"03-13-24 / 04:51 AM","Balcony","BAL316","3","2","343.56"
"03-13-24 / 04:51 AM","Loge","LOGE8","12","3","302.77"
"03-13-24 / 04:51 AM","Balcony","BAL325","1","2","266.4"
"03-13-24 / 04:51 AM","Loge","LOGE6","10","2","406.11"
"03-13-24 / 04:51 AM","Balcony","BAL329","13","4","176.76"
"03-13-24 / 04:51 AM","Loge","LOGE6","4","2","310.45"
"03-13-24 / 04:50 AM","Loge","LOGE18","M","4","349.65"
"03-13-24 / 12:03 AM","Lofts","LOFT05","","1","1471.56"
"03-13-24 / 12:03 AM","Loge","LOGE19","19","2","313"
"03-13-24 / 12:03 AM","Balcony","BAL304","2","3","235.06"
"03-13-24 / 12:02 AM","Balcony","BAL317","12","2","220.72"
"03-13-24 / 12:02 AM","Loge","LOGE7","C","4","479.49"
"03-13-24 / 12:02 AM","Loge","LOGE17","C","2","420.62"
"03-13-24 / 12:02 AM","Balcony","BAL301","9","2","309.99"
"03-13-24 / 12:02 AM","Balcony","BAL315","10","2","250.31"
"03-13-24 / 12:02 AM","Loge","LOGE2","18","2","639.13"
"03-13-24 / 12:02 AM","Loge","LOGE19","21","3","354.89"
"03-13-24 / 12:02 AM","Loge","LOGE9","23","1","362.7"
