"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"11-28-23 / 09:48 PM","Balcony","BAL320","11","2","75.51"
"11-28-23 / 05:26 PM","Balcony","BAL312","13","1","59.15"
"11-28-23 / 05:26 PM","Loge","LOGE6","25","1","96.03"
"11-28-23 / 05:26 PM","Balcony","BAL328","10","1","98.08"
"11-28-23 / 05:26 PM","SportsDeck","Sports Deck","C","2","299.7"
"11-28-23 / 01:12 PM","Balcony","BAL308","8","1","57"
"11-28-23 / 01:12 PM","Balcony","BAL328","9","2","64.02"
"11-28-23 / 09:48 AM","Balcony","BAL308","8","2","57"
"11-28-23 / 03:10 AM","Balcony","BAL309","12","3","62.79"
"11-28-23 / 03:10 AM","Loge","LOGE10","26","2","146.47"
"11-28-23 / 03:10 AM","Balcony","BAL327","10","2","58.2"
"11-28-23 / 03:10 AM","Club","CLB141","H","2","277.2"
"11-28-23 / 03:10 AM","Loge","LOGE7","1","1","137.75"
"11-28-23 / 03:10 AM","Balcony","BAL326","1","3","72"
"11-28-23 / 03:10 AM","Balcony","BAL311","5","1","65.52"
"11-28-23 / 03:10 AM","Balcony","BAL318","10","2","71.78"
"11-27-23 / 11:00 PM","Loge","LOGE10","9","1","220.5"
"11-27-23 / 11:00 PM","Balcony","BAL327","7","1","62.79"
"11-27-23 / 11:00 PM","VIP","11","B","1","679.25"
"11-27-23 / 11:00 PM","Balcony","BAL319","7","1","66.6"
"11-27-23 / 06:50 PM","Balcony","BAL316","12","1","110.4"
"11-27-23 / 06:50 PM","Balcony","BAL307","13","1","53.64"
"11-27-23 / 06:50 PM","Loge","LOGE8","22","1","111.55"
"11-27-23 / 02:57 PM","Balcony","BAL315","12","1","84.39"
"11-27-23 / 02:57 PM","Loge","LOGE7","26","2","123.5"
"11-27-23 / 11:14 AM","Loge","LOGE17","9","2","114.46"
"11-27-23 / 11:14 AM","Balcony","BAL314","13","1","73.72"
"11-27-23 / 11:14 AM","Balcony","BAL307","14","1","72.25"
"11-27-23 / 05:17 AM","Balcony","BAL323","4","1","60.25"
"11-27-23 / 05:16 AM","Loge","LOGE1","17","2","245.41"
"11-26-23 / 10:21 PM","Balcony","BAL312","13","2","61.88"
"11-26-23 / 10:21 PM","Balcony","BAL307","14","3","54.18"
"11-26-23 / 10:21 PM","Balcony","BAL323","4","2","60.25"
"11-26-23 / 10:21 PM","Balcony","BAL317","12","2","94.64"
"11-26-23 / 06:41 PM","Loge","LOGE16","22","2","109.61"
"11-26-23 / 06:41 PM","Loge","LOGE7","L","2","137.53"
"11-26-23 / 03:03 PM","Loge","LOGE11","3","2","255.11"
"11-26-23 / 11:27 AM","Loge","LOGE12","12","2","264.81"
"11-26-23 / 08:44 AM","Balcony","BAL312","9","2","63.92"
"11-26-23 / 02:44 AM","Balcony","BAL306","14","1","64.34"
"11-25-23 / 11:07 PM","Loge","LOGE12","16","2","259.56"
"11-25-23 / 03:03 PM","Balcony","BAL307","13","3","63.69"
"11-25-23 / 03:03 PM","Loge","LOGE1","18","2","256.05"
