"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"12-14-23 / 10:08 PM","Club","CLB111","L","2","241.92"
"12-14-23 / 02:41 PM","Balcony","BAL305","14","3","61.2"
"12-14-23 / 02:41 PM","Balcony","BAL324","12","1","72.8"
"12-14-23 / 11:14 AM","Balcony","BAL303","14","4","77.35"
"12-14-23 / 03:22 AM","Club","CLB113","F","2","215.76"
"12-14-23 / 03:22 AM","Balcony","BAL311","4","2","67.34"
"12-13-23 / 12:55 PM","Balcony","BAL330","11","2","89.1"
"12-13-23 / 12:55 PM","Balcony","BAL307","13","3","53.61"
"12-13-23 / 12:55 PM","Balcony","BAL322","8","2","53.35"
"12-13-23 / 12:55 PM","Balcony","BAL301","10","1","101.85"
"12-12-23 / 10:04 PM","Balcony","BAL329","BAR","4","67.5"
"12-12-23 / 06:01 PM","Loge","LOGE15","17","2","137.4"
"12-12-23 / 08:23 AM","Loge","LOGE5","21","1","124.16"
"12-12-23 / 08:23 AM","Loge","LOGE20","26","3","278.93"
"12-12-23 / 08:23 AM","Loge","LOGE6","11","2","198.54"
"12-12-23 / 08:23 AM","Loge","LOGE21","9","2","247.94"
"12-12-23 / 08:23 AM","Club","CLB115","G","3","190.06"
"12-12-23 / 08:23 AM","Balcony","BAL323","10","3","113.55"
"12-12-23 / 08:23 AM","Club","CLB107","H","2","179.29"
"12-12-23 / 08:23 AM","Balcony","BAL322","13","3","58.46"
"12-12-23 / 08:23 AM","Balcony","BAL326","14","1","50.44"
"12-12-23 / 08:23 AM","SportsDeck","Sports Deck","","2","147.48"
"12-12-23 / 05:30 AM","Balcony","BAL320","10","4","78.48"
"12-12-23 / 05:30 AM","Balcony","BAL318","10","2","114.37"
"12-12-23 / 05:30 AM","Balcony","BAL325","10","2","67.9"
"12-12-23 / 05:30 AM","Loge","LOGE7","H","2","130.95"
"12-11-23 / 03:23 PM","Balcony","BAL323","9","3","59.17"
"12-11-23 / 12:03 PM","Balcony","BAL309","12","1","77.35"
"12-11-23 / 12:03 PM","Loge","LOGE5","25","2","168.71"
"12-11-23 / 12:03 PM","Loge","LOGE9","3","2","226.27"
"12-11-23 / 12:03 PM","Balcony","BAL326","5","2","103.37"
"12-11-23 / 12:03 PM","Balcony","BAL314","10","2","117.37"
"12-11-23 / 12:03 PM","Balcony","BAL308","12","2","94.38"
"12-11-23 / 12:03 PM","Balcony","BAL328","6","1","133.33"
"12-11-23 / 12:03 PM","Loge","LOGE18","D","2","232.8"
"12-11-23 / 12:03 PM","Balcony","BAL325","8","4","54.32"
"12-11-23 / 12:03 PM","Loge","LOGE15","8","2","208.74"
"12-11-23 / 12:03 PM","Loge","LOGE3","14","2","290.48"
"12-11-23 / 12:03 PM","VIP","11","B","2","892.65"
"12-11-23 / 12:03 PM","Balcony","BAL310","2","2","131.36"
"12-11-23 / 12:03 PM","Balcony","BAL323","4","4","117.14"
"12-11-23 / 12:03 PM","Loge","LOGE6","5","2","215.6"
"12-11-23 / 12:03 PM","Balcony","BAL307","1","4","141.12"
"12-11-23 / 12:03 PM","Balcony","BAL309","12","2","52.2"
"12-11-23 / 09:13 AM","Balcony","BAL316","15","2","141.35"
"12-11-23 / 09:13 AM","Balcony","BAL322","9","2","58.2"
"12-11-23 / 09:13 AM","Loge","LOGE10","15","2","257.31"
"12-11-23 / 09:13 AM","Loge","LOGE5","9","3","152.56"
"12-11-23 / 09:13 AM","Loge","LOGE16","23","2","175.42"
"12-11-23 / 09:13 AM","Loge","LOGE7","1","3","142.5"
"12-11-23 / 06:58 AM","Loge","LOGE7","F","2","194.3"
"12-11-23 / 06:58 AM","VIP","11","A","2","1084.15"
"12-11-23 / 06:58 AM","Loge","LOGE4","26","3","198.47"
"12-11-23 / 06:58 AM","Loge","LOGE18","21","1","216.9"
"12-11-23 / 04:30 AM","Balcony","BAL321","9","3","74.16"
"12-10-23 / 05:47 PM","Loge","LOGE11","8","2","253.82"
"12-10-23 / 05:47 PM","Balcony","BAL322","10","4","56.26"
"12-10-23 / 05:47 PM","Balcony","BAL310","10","2","54.32"
"12-10-23 / 05:47 PM","Loge","LOGE15","14","2","200.9"
"12-10-23 / 05:47 PM","Club","CLB113","G","4","233.59"
"12-10-23 / 05:47 PM","Balcony","BAL325","6","3","69.84"
"12-10-23 / 05:47 PM","Balcony","BAL313","11","2","64.02"
"12-10-23 / 05:47 PM","Loge","LOGE4","22","2","169.54"
"12-10-23 / 05:47 PM","Balcony","BAL328","6","1","141.32"
"12-10-23 / 05:47 PM","Balcony","BAL319","2","2","128.38"
"12-10-23 / 05:47 PM","Loge","LOGE3","15","2","275.38"
"12-10-23 / 05:47 PM","Loge","LOGE7","1","2","241.08"
"12-10-23 / 05:47 PM","Loge","LOGE8","10","2","141.12"
"12-10-23 / 05:46 PM","Balcony","BAL321","12","1","55.48"
"12-10-23 / 05:46 PM","Loge","LOGE6","21","2","124.16"
"12-10-23 / 05:46 PM","Loge","LOGE7","10","2","208.74"
"12-10-23 / 05:46 PM","Balcony","BAL316","12","4","108.32"
"12-10-23 / 05:46 PM","Loge","LOGE5","12","3","137.79"
"12-10-23 / 05:46 PM","Balcony","BAL327","2","2","97.97"
"12-10-23 / 02:01 PM","Club","CLB115","J","2","197.1"
"12-10-23 / 02:01 PM","VIP","12","A","2","1444.61"
"12-10-23 / 02:01 PM","Balcony","BAL305","4","2","114.37"
"12-10-23 / 02:01 PM","Loge","LOGE15","26","4","226.04"
"12-10-23 / 02:01 PM","Balcony","BAL308","9","4","59.39"
"12-10-23 / 02:01 PM","Loge","LOGE11","8","2","264.07"
