"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"11-26-23 / 06:42 PM","Balcony","BAL306","14","4","116.4"
"11-26-23 / 06:42 PM","Loge","LOGE7","9","1","206.61"
"11-26-23 / 03:04 PM","Balcony","BAL323","11","2","114.95"
"11-26-23 / 03:04 PM","Loge","LOGE9","23","3","356.25"
"11-25-23 / 07:04 PM","Balcony","BAL327","9","5","111.24"
"11-25-23 / 03:04 PM","Balcony","BAL305","2","1","90"
"11-25-23 / 03:04 PM","Club","CLB107","D","3","315"
"11-24-23 / 08:33 PM","Loge","LOGE19","24","3","207"
"11-24-23 / 01:01 AM","Balcony","BAL329","11","2","117"
"11-23-23 / 08:58 PM","Club","CLB141","J","3","363.89"
"11-21-23 / 06:53 AM","Loge","LOGE19","22","2","202.73"
"11-20-23 / 11:39 AM","Balcony","BAL308","9","3","106.61"
"11-19-23 / 10:55 PM","Balcony","BAL312","13","3","109.2"
"11-19-23 / 03:12 PM","Loge","LOGE18","4","1","314.32"
"11-19-23 / 03:12 PM","Loge","LOGE8","9","1","193.5"
"11-18-23 / 09:03 PM","Balcony","BAL326","11","3","109.2"
"11-18-23 / 09:46 AM","Balcony","BAL315","4","2","179.1"
"11-17-23 / 06:49 PM","Loge","LOGE1","17","2","331.24"
"11-17-23 / 06:16 AM","Balcony","BAL323","7","2","111.24"
"11-16-23 / 02:28 AM","Balcony","BAL307","7","2","199.24"
"11-13-23 / 09:43 AM","Loge","LOGE15","14","3","190"
"11-12-23 / 07:28 PM","Balcony","BAL326","2","1","117"
"11-11-23 / 09:09 PM","Balcony","BAL328","11","3","124.2"
"11-11-23 / 04:28 AM","Loge","LOGE3","13","2","251.11"
"11-10-23 / 01:05 AM","Balcony","BAL304","12","3","95.55"
"11-07-23 / 06:47 AM","Balcony","BAL329","12","2","81.55"
"11-07-23 / 06:47 AM","Balcony","BAL309","15","1","57.85"
"11-06-23 / 09:34 PM","Balcony","BAL303","10","2","87.97"
"11-06-23 / 09:34 PM","Balcony","BAL325","14","3","75.91"
"11-05-23 / 05:13 AM","Balcony","BAL306","7","2","81.24"
"11-05-23 / 05:13 AM","Balcony","BAL319","15","1","82.45"
"11-05-23 / 05:13 AM","Boardroom","Boardroom","GA","2","386.1"
"11-04-23 / 08:56 PM","Balcony","BAL309","14","3","69.45"
"11-04-23 / 08:56 PM","Balcony","BAL328","12","2","77.35"
"11-03-23 / 12:42 AM","Balcony","BAL302","14","2","104.5"
"11-02-23 / 09:27 AM","Balcony","BAL324","8","2","75.66"
"11-02-23 / 09:27 AM","Loge","LOGE15","23","2","167.73"
"10-30-23 / 10:25 AM","Balcony","BAL301","15","2","126.49"
"10-30-23 / 10:25 AM","Loge","LOGE10","6","2","283.22"
"10-30-23 / 10:25 AM","Loge","LOGE18","K","2","257.74"
"10-29-23 / 01:01 PM","Balcony","BAL327","12","2","109.38"
"10-29-23 / 01:01 PM","Balcony","BAL322","15","2","114.37"
"10-29-23 / 01:01 PM","Loge","LOGE10","25","2","204.29"
"10-29-23 / 01:01 PM","Loge","LOGE17","M","2","205.29"
"10-29-23 / 01:01 PM","Balcony","BAL304","11","3","73.62"
"10-29-23 / 01:01 PM","Balcony","BAL305","5","2","135.24"
"10-29-23 / 07:19 AM","Balcony","BAL310","8","5","72.75"
"10-29-23 / 07:19 AM","Balcony","BAL308","14","4","66.93"
"10-29-23 / 07:19 AM","Loge","LOGE4","1","2","283.23"
"10-29-23 / 07:19 AM","Balcony","BAL302","9","4","146.11"
"10-29-23 / 12:22 AM","Loge","LOGE7","20","3","137.74"
"10-28-23 / 11:09 AM","Balcony","BAL330","8","3","108.64"
"10-28-23 / 11:09 AM","Loge","LOGE18","20","2","212.4"
"10-28-23 / 11:09 AM","Balcony","BAL319","12","4","73.72"
"10-28-23 / 11:09 AM","Loge","LOGE6","26","2","209.7"
"10-28-23 / 04:15 AM","Loge","LOGE17","D","2","199.3"
"10-28-23 / 04:15 AM","Loge","LOGE17","12","3","139.68"
"10-28-23 / 04:15 AM","Loge","LOGE20","23","2","194.43"
"10-28-23 / 04:15 AM","Loge","LOGE15","23","2","196.98"
"10-28-23 / 04:15 AM","Loge","LOGE17","18","2","132.89"
"10-28-23 / 04:15 AM","Balcony","BAL328","12","2","67.9"
"10-28-23 / 04:15 AM","Balcony","BAL323","12","5","68.87"
"10-28-23 / 04:15 AM","Loge","LOGE14","1","4","266.75"
"10-28-23 / 04:15 AM","Loge","LOGE3","13","5","240.68"
