"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"02-07-24 / 04:58 PM","Balcony","BAL303","10","2","83.05"
"02-07-24 / 04:58 PM","Balcony","BAL317","12","2","89.91"
"02-07-24 / 04:58 PM","Balcony","BAL328","9","3","76.94"
"02-07-24 / 04:58 PM","Balcony","BAL314","13","1","73.68"
"02-07-24 / 01:33 PM","Balcony","BAL326","11","3","67.34"
"02-07-24 / 01:33 PM","Balcony","BAL322","15","3","65.17"
"02-07-24 / 01:33 PM","Balcony","BAL327","7","2","65.13"
"02-07-24 / 10:18 AM","Balcony","BAL329","14","2","58.5"
"02-07-24 / 10:18 AM","Loge","LOGE6","18","2","101.2"
"02-07-24 / 10:18 AM","Loge","LOGE18","14","2","104.76"
"02-07-24 / 10:18 AM","Loge","LOGE3","21","1","251.9"
"02-07-24 / 10:18 AM","Loge","LOGE13","17","2","255.14"
"02-07-24 / 10:18 AM","Loge","LOGE10","15","2","202.5"
"02-07-24 / 10:18 AM","Loge","LOGE6","25","2","141.34"
"02-07-24 / 10:18 AM","Loge","LOGE18","12","2","141.12"
"02-07-24 / 10:18 AM","Loge","LOGE6","24","2","137.34"
"02-07-24 / 10:18 AM","Loge","LOGE8","4","2","140.14"
"02-07-24 / 10:18 AM","Loge","LOGE6","21","4","130.11"
"02-07-24 / 10:18 AM","Loge","LOGE7","18","4","128.38"
"02-07-24 / 10:18 AM","Balcony","BAL306","2","2","102.9"
"02-07-24 / 10:18 AM","Balcony","BAL303","15","2","103.37"
"02-07-24 / 10:18 AM","Loge","LOGE8","2","1","130.34"
"02-07-24 / 10:18 AM","Balcony","BAL316","8","2","122.35"
"02-07-24 / 10:18 AM","Loge","LOGE17","16","2","93.12"
"02-07-24 / 10:18 AM","Loge","LOGE3","10","2","232.26"
"02-07-24 / 10:18 AM","Loge","LOGE7","22","4","147.98"
"02-07-24 / 10:18 AM","Balcony","BAL310","2","2","121.36"
"02-07-24 / 10:18 AM","Loge","LOGE5","23","2","136.34"
"02-07-24 / 10:18 AM","Loge","LOGE8","23","2","171.5"
"02-07-24 / 10:18 AM","Loge","LOGE4","23","4","140.65"
"02-07-24 / 10:18 AM","Balcony","BAL306","1","2","122.5"
"02-07-24 / 10:18 AM","Balcony","BAL309","1","2","127.4"
"02-07-24 / 10:18 AM","Loge","LOGE17","15","2","95.06"
"02-07-24 / 10:18 AM","Balcony","BAL316","14","4","139.1"
"02-07-24 / 10:18 AM","Loge","LOGE7","14","2","97"
"02-07-24 / 10:18 AM","Loge","LOGE13","12","1","227.95"
"02-07-24 / 10:18 AM","Loge","LOGE5","13","2","123.19"
"02-07-24 / 10:18 AM","Loge","LOGE6","2","2","128.38"
"02-07-24 / 10:18 AM","Balcony","BAL311","11","4","102.14"
"02-07-24 / 10:18 AM","Balcony","BAL328","11","2","65.97"
"02-07-24 / 10:18 AM","Balcony","BAL326","11","2","86.77"
"02-07-24 / 10:18 AM","Balcony","BAL311","10","4","62.97"
"02-07-24 / 10:18 AM","Balcony","BAL317","13","2","86.33"
"02-07-24 / 10:18 AM","Loge","LOGE6","13","4","106.7"
"02-07-24 / 10:17 AM","Balcony","BAL314","8","3","78.57"
"02-07-24 / 10:17 AM","Balcony","BAL325","9","2","90.96"
"02-07-24 / 10:17 AM","Balcony","BAL321","15","2","59.98"
"02-07-24 / 10:17 AM","Loge","LOGE20","13","2","162"
"02-07-24 / 10:17 AM","Balcony","BAL319","7","2","58.5"
"02-07-24 / 10:17 AM","Loge","LOGE16","25","2","99.91"
"02-07-24 / 10:17 AM","Loge","LOGE14","1","2","247.94"
"02-07-24 / 07:12 AM","Balcony","BAL330","9","2","114.36"
"02-07-24 / 07:12 AM","Loge","LOGE15","3","2","185.22"
"02-07-24 / 07:12 AM","Balcony","BAL324","2","3","72.72"
"02-07-24 / 07:12 AM","Loge","LOGE7","13","2","94.09"
"02-07-24 / 04:06 AM","Balcony","BAL324","9","2","54.54"
"02-07-24 / 12:20 AM","Balcony","BAL309","12","4","64.61"
"02-07-24 / 12:20 AM","VIP","2","B","3","555.62"
"02-06-24 / 08:31 PM","Loge","LOGE10","B","1","226.01"
"02-06-24 / 04:35 PM","Balcony","BAL308","4","2","60.67"
"02-06-24 / 12:42 PM","Balcony","BAL312","11","2","59.09"
"02-06-24 / 12:42 PM","Loge","LOGE18","6","1","113.49"
"02-06-24 / 12:42 PM","Loge","LOGE14","10","2","247.94"
"02-06-24 / 12:42 PM","Loge","LOGE21","11","2","255.03"
"02-06-24 / 12:42 PM","Loge","LOGE17","H","2","215.6"
"02-06-24 / 12:42 PM","Loge","LOGE10","9","2","233.24"
"02-06-24 / 12:42 PM","Loge","LOGE18","E","4","201.88"
"02-06-24 / 12:42 PM","Loge","LOGE17","15","2","144.06"
"02-06-24 / 12:42 PM","Loge","LOGE15","16","4","174.07"
"02-06-24 / 12:42 PM","Balcony","BAL329","1","2","103.5"
"02-06-24 / 12:42 PM","Loge","LOGE6","8","4","141.1"
"02-06-24 / 12:42 PM","Balcony","BAL308","7","2","95.37"
"02-06-24 / 12:42 PM","Loge","LOGE14","1","1","265.5"
"02-06-24 / 12:42 PM","Balcony","BAL316","2","2","140.14"
"02-06-24 / 12:42 PM","Loge","LOGE7","22","4","147.98"
"02-06-24 / 12:42 PM","Balcony","BAL314","11","2","107.36"
"02-06-24 / 12:42 PM","Balcony","BAL310","2","2","121.36"
"02-06-24 / 12:42 PM","Loge","LOGE19","14","2","179.34"
"02-06-24 / 12:42 PM","Loge","LOGE5","19","2","142.1"
"02-06-24 / 12:42 PM","Balcony","BAL306","2","2","135.24"
"02-06-24 / 12:42 PM","Loge","LOGE15","16","2","130.92"
"02-06-24 / 12:42 PM","Loge","LOGE16","23","2","118.34"
"02-06-24 / 12:42 PM","Loge","LOGE6","18","2","102.82"
"02-06-24 / 12:42 PM","Loge","LOGE17","14","2","100.88"
"02-06-24 / 12:42 PM","Balcony","BAL309","7","4","59.17"
"02-06-24 / 12:42 PM","Balcony","BAL321","14","2","89.39"
"02-06-24 / 12:42 PM","Balcony","BAL313","10","3","129.52"
"02-06-24 / 12:42 PM","Balcony","BAL322","2","2","106.36"
"02-06-24 / 12:42 PM","Balcony","BAL316","15","2","114.36"
"02-06-24 / 12:42 PM","Loge","LOGE17","7","2","111.55"
"02-06-24 / 12:42 PM","Loge","LOGE6","G","2","226.38"
"02-06-24 / 12:42 PM","Loge","LOGE19","23","1","239.8"
"02-06-24 / 12:42 PM","Balcony","BAL319","2","2","122.5"
