"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"01-18-25 / 05:36 PM","Balcony","BAL314","8","1","111.94"
"01-18-25 / 05:36 PM","Balcony","BAL302","8","1","139.65"
"01-18-25 / 05:36 PM","Loge","LOGE14","A","4","237.19"
"01-18-25 / 05:36 PM","Loge","LOGE6","21","2","210.6"
"01-18-25 / 05:36 PM","Loge","LOGE10","C","2","233.63"
"01-18-25 / 05:36 PM","Loge","LOGE7","24","2","201.88"
"01-18-25 / 05:36 PM","Loge","LOGE6","8","4","181.07"
"01-18-25 / 05:35 PM","Balcony","BAL305","3","2","100.53"
"01-18-25 / 05:35 PM","Balcony","BAL321","9","2","95.79"
"01-18-25 / 05:35 PM","Balcony","BAL322","6","2","93.24"
"01-18-25 / 05:35 PM","Balcony","BAL318","12","2","85.53"
"01-18-25 / 05:35 PM","Balcony","BAL323","6","2","89.59"
"01-18-25 / 05:35 PM","Balcony","BAL321","3","2","108.33"
"01-18-25 / 05:35 PM","Balcony","BAL311","2","2","121.2"
"01-18-25 / 05:35 PM","Balcony","BAL316","13","4","123.89"
"01-18-25 / 05:35 PM","Balcony","BAL316","6","2","130.64"
"01-18-25 / 05:35 PM","Loge","LOGE5","26","4","230.31"
"01-18-25 / 05:35 PM","Balcony","BAL323","1","2","136.94"
"01-18-25 / 05:35 PM","Balcony","BAL302","3","2","146.46"
"01-18-25 / 05:35 PM","Balcony","BAL309","2","3","113.71"
"01-18-25 / 05:35 PM","Balcony","BAL320","9","5","89.23"
"01-18-25 / 05:35 PM","Balcony","BAL305","3","2","100.53"
"01-18-25 / 05:35 PM","Balcony","BAL316","15","2","99.66"
"01-18-25 / 05:35 PM","Balcony","BAL315","10","2","98.78"
"01-18-25 / 05:35 PM","Balcony","BAL302","8","2","118.14"
"01-18-25 / 05:35 PM","Loge","LOGE17","E","4","236.56"
"01-18-25 / 05:35 PM","Balcony","BAL309","15","2","213.89"
"01-18-25 / 05:30 PM","Loge","LOGE9","22","1","195.19"
"01-18-25 / 05:30 PM","Balcony","BAL311","9","1","100.06"
"01-18-25 / 05:30 PM","Balcony","BAL322","6","5","169.88"
"01-18-25 / 05:30 PM","Loge","LOGE6","2","4","280.84"
"01-18-25 / 05:30 PM","Loge","LOGE9","22","1","195.19"
"01-18-25 / 05:30 PM","Balcony","BAL305","3","1","153.29"
"01-18-25 / 05:30 PM","Balcony","BAL311","9","1","100.06"
"01-18-25 / 05:30 PM","Balcony","BAL302","8","1","165.25"
"01-18-25 / 05:30 PM","Loge","LOGE6","7","2","193.3"
"01-18-25 / 05:30 PM","Loge","LOGE18","5","2","279.8"
"01-18-25 / 05:30 PM","Loge","LOGE18","G","2","312.24"
"01-18-25 / 05:26 PM","Balcony","BAL305","3","1","100.53"
"01-18-25 / 05:09 PM","Loge","LOGE4","11","0","190.46"
"01-18-25 / 04:51 PM","Loge","LOGE6","3","4","174.53"
"01-18-25 / 04:41 PM","Loge","LOGE2","18","0","321.12"
"01-18-25 / 04:32 PM","Club","CLB115","J","2","166.22"
"01-18-25 / 04:30 PM","Balcony","BAL312","9","2","84.91"
"01-18-25 / 04:30 PM","Loge","LOGE4","11","0","200.95"
"01-18-25 / 04:30 PM","Loge","LOGE2","16","2","268.19"
"01-18-25 / 09:49 AM","Loge","LOGE6","13","1","183.88"
"01-18-25 / 09:48 AM","Loge","LOGE16","23","1","201.84"
"01-18-25 / 09:38 AM","Loge","LOGE6","18","5","185.76"
"01-18-25 / 09:33 AM","Balcony","BAL320","14","4","86.62"
"01-18-25 / 09:27 AM","Balcony","BAL328","1","2","187.97"
"01-18-25 / 09:27 AM","Loge","LOGE6","15","3","165.25"
"01-18-25 / 09:16 AM","Loge","LOGE3","7","0","336.47"
"01-18-25 / 08:54 AM","Balcony","BAL326","9","0","90.96"
"01-18-25 / 08:48 AM","Loge","LOGE13","3","2","246.71"
"01-18-25 / 02:01 AM","Balcony","BAL308","11","2","93.56"
"01-18-25 / 02:01 AM","Balcony","BAL313","15","1","106.37"
"01-18-25 / 02:01 AM","Balcony","BAL312","8","1","103.44"
"01-18-25 / 02:01 AM","Balcony","BAL310","9","2","108.42"
"01-18-25 / 02:01 AM","Balcony","BAL311","5","3","121.23"
"01-18-25 / 02:01 AM","Club","CLB141","H","2","312.56"
"01-18-25 / 02:01 AM","Balcony","BAL301","15","2","159.13"
"01-18-25 / 02:01 AM","VIP","21","B","2","988.81"
"01-18-25 / 02:01 AM","Loge","LOGE13","14","4","339.55"
"01-18-25 / 02:01 AM","Balcony","BAL302","14","2","186.19"
"01-18-25 / 02:01 AM","Balcony","BAL306","10","2","109.4"
"01-18-25 / 02:01 AM","Balcony","BAL306","13","4","138"
"01-18-25 / 02:01 AM","Balcony","BAL306","9","2","102.28"
"01-18-25 / 02:01 AM","Loge","LOGE11","14","2","453.42"
"01-18-25 / 02:00 AM","Loge","LOGE15","16","4","302.86"
"01-18-25 / 02:00 AM","Loge","LOGE6","12","3","261.07"
"01-18-25 / 02:00 AM","Loge","LOGE17","12","2","245.93"
"01-18-25 / 02:00 AM","Loge","LOGE17","13","5","235.58"
"01-18-25 / 02:00 AM","Balcony","BAL316","14","3","178.37"
"01-18-25 / 02:00 AM","Loge","LOGE9","17","2","206.38"
"01-18-25 / 02:00 AM","Balcony","BAL307","8","2","167.32"
"01-18-25 / 02:00 AM","Balcony","BAL317","9","4","176.64"
"01-18-25 / 02:00 AM","Balcony","BAL326","12","4","119.91"
"01-18-25 / 02:00 AM","Balcony","BAL324","13","3","82.16"
"01-18-25 / 02:00 AM","Loge","LOGE4","13","3","315.34"
"01-18-25 / 02:00 AM","Loge","LOGE4","3","2","307.02"
"01-18-25 / 02:00 AM","Loge","LOGE18","13","3","245.01"
"01-18-25 / 02:00 AM","Balcony","BAL316","4","2","215.15"
"01-18-25 / 02:00 AM","Loge","LOGE6","12","3","232.49"
"01-18-25 / 02:00 AM","Balcony","BAL313","12","3","97.02"
"01-18-25 / 02:00 AM","Balcony","BAL304","9","2","111.94"
"01-18-25 / 02:00 AM","Balcony","BAL308","11","2","92.7"
"01-18-25 / 02:00 AM","Loge","LOGE12","15","4","430.14"
"01-18-25 / 02:00 AM","Loge","LOGE15","26","2","347"
