"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"10-27-23 / 07:04 PM","Balcony","BAL325","11","2","130.5"
"10-27-23 / 07:04 PM","Balcony","BAL315","12","1","207"
"10-27-23 / 02:35 PM","Rafters","RAF15","A","1","193.5"
"10-27-23 / 02:35 PM","Balcony","BAL314","11","2","153.72"
"10-27-23 / 02:35 PM","Loge","LOGE7","5","2","354.91"
"10-27-23 / 12:19 AM","Balcony","BAL317","12","2","189.28"
"10-27-23 / 12:19 AM","Balcony","BAL320","8","2","156.77"
"10-27-23 / 12:19 AM","Loge","LOGE14","A","2","426.42"
"10-26-23 / 06:52 PM","Balcony","BAL302","14","3","193.03"
"10-26-23 / 06:52 PM","Balcony","BAL303","15","2","175.57"
"10-26-23 / 01:45 PM","Club","CLB141","E","4","423"
"10-26-23 / 01:45 PM","Loge","LOGE2","10","1","556.59"
"10-26-23 / 01:45 PM","Balcony","BAL309","12","4","149.24"
"10-26-23 / 05:28 AM","Balcony","BAL323","13","2","135"
"10-26-23 / 05:28 AM","Rafters","RAF15","A","2","207"
"10-26-23 / 05:28 AM","Balcony","BAL314","15","3","167.81"
"10-26-23 / 12:31 AM","Balcony","BAL327","11","2","155.2"
"10-26-23 / 12:31 AM","Loge","LOGE17","3","2","290.03"
"10-26-23 / 12:31 AM","Balcony","BAL306","11","2","144"
"10-25-23 / 02:05 PM","Balcony","BAL308","13","2","159.08"
"10-25-23 / 02:05 PM","Loge","LOGE17","5","2","285.18"
"10-25-23 / 09:41 AM","Balcony","BAL302","12","4","252.58"
"10-25-23 / 09:41 AM","Balcony","BAL316","8","1","343.47"
"10-25-23 / 09:41 AM","Balcony","BAL316","15","1","229.24"
"10-25-23 / 09:41 AM","Loge","LOGE15","19","2","268.07"
"10-25-23 / 04:36 AM","Balcony","BAL317","5","3","255.11"
"10-25-23 / 04:36 AM","Loge","LOGE18","7","2","286.15"
"10-24-23 / 10:56 PM","Balcony","BAL327","11","3","166.84"
"10-24-23 / 08:13 AM","Balcony","BAL325","14","1","154.66"
