"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"01-05-24 / 05:33 PM","Balcony","BAL319","7","1","134.1"
"01-05-24 / 05:33 PM","Loge","LOGE6","H","1","285"
"01-05-24 / 05:33 PM","Loge","LOGE3","13","2","293.76"
"01-05-24 / 02:27 PM","Balcony","BAL323","8","1","138.6"
"01-05-24 / 08:36 AM","Loge","LOGE7","F","4","312.33"
"01-05-24 / 08:36 AM","Balcony","BAL301","6","2","273.29"
"01-05-24 / 08:36 AM","Loge","LOGE1","16","2","524.3"
"01-05-24 / 08:36 AM","Balcony","BAL301","9","2","215.34"
"01-05-24 / 08:36 AM","Balcony","BAL310","7","1","269.43"
"01-05-24 / 08:36 AM","Loge","LOGE6","15","2","225.04"
"01-05-24 / 08:36 AM","Balcony","BAL324","9","4","146.47"
"01-05-24 / 08:36 AM","Loge","LOGE6","C","2","387.1"
"01-05-24 / 08:36 AM","Loge","LOGE15","16","1","194"
"01-05-24 / 08:36 AM","Loge","LOGE6","24","2","210.49"
"01-05-24 / 08:36 AM","Balcony","BAL325","9","2","143.56"
"01-05-24 / 08:36 AM","Loge","LOGE15","26","2","268.52"
"01-05-24 / 08:36 AM","Balcony","BAL323","5","3","171.49"
"01-05-24 / 08:36 AM","Loge","LOGE7","H","2","269.66"
"01-05-24 / 08:36 AM","Balcony","BAL323","9","2","144.53"
"01-05-24 / 05:45 AM","VIP","2","A","2","923.4"
"01-05-24 / 05:45 AM","Balcony","BAL325","8","2","134.83"
"01-04-24 / 11:22 PM","Club","CLB141","J","1","579.6"
"01-04-24 / 08:05 PM","Balcony","BAL305","8","3","159.95"
"01-04-24 / 04:39 PM","Floor","FLR6","AA","2","2419.18"
"01-04-24 / 04:39 PM","Loge","LOGE19","11","2","254.8"
"01-04-24 / 04:39 PM","Loge","LOGE10","3","2","398.27"
"01-04-24 / 04:39 PM","Balcony","BAL307","8","2","185.29"
"01-04-24 / 04:39 PM","Balcony","BAL308","12","2","172.31"
"01-04-24 / 04:39 PM","Balcony","BAL313","12","1","184.01"
"01-04-24 / 04:39 PM","Loge","LOGE9","14","4","260.1"
"01-04-24 / 04:39 PM","Loge","LOGE14","5","2","454.72"
"01-04-24 / 04:39 PM","Loge","LOGE4","12","3","319.48"
"01-04-24 / 04:39 PM","Loge","LOGE17","4","3","308.57"
"01-04-24 / 04:39 PM","Loge","LOGE12","16","2","472.36"
"01-04-24 / 04:39 PM","Balcony","BAL305","5","2","175.42"
"01-04-24 / 04:39 PM","Balcony","BAL312","8","2","199.57"
"01-04-24 / 04:39 PM","Balcony","BAL305","1","2","202.5"
"01-04-24 / 04:39 PM","Balcony","BAL303","10","4","202.73"
"01-04-24 / 04:39 PM","VIP","13","B","2","923.16"
"01-04-24 / 04:39 PM","Loge","LOGE1","16","2","539.98"
"01-04-24 / 04:39 PM","Balcony","BAL316","14","2","176.54"
"01-04-24 / 04:39 PM","Balcony","BAL319","12","4","157.5"
"01-04-24 / 04:39 PM","Loge","LOGE11","4","2","553.7"
"01-04-24 / 04:39 PM","Balcony","BAL311","13","2","193.8"
"01-04-24 / 04:39 PM","Loge","LOGE18","A","2","445.9"
"01-04-24 / 04:39 PM","Loge","LOGE13","4","2","448.84"
"01-04-24 / 04:39 PM","Loge","LOGE10","23","2","281.3"
"01-04-24 / 04:39 PM","Loge","LOGE11","12","2","374.36"
"01-04-24 / 04:39 PM","Loge","LOGE2","15","2","393.96"
"01-04-24 / 04:39 PM","Loge","LOGE6","23","1","205.8"
"01-04-24 / 04:39 PM","Balcony","BAL316","11","1","190.42"
"01-04-24 / 04:39 PM","Loge","LOGE15","14","7","340.73"
"01-04-24 / 04:39 PM","Balcony","BAL327","10","2","148.41"
"01-04-24 / 04:39 PM","Balcony","BAL301","9","2","215.34"
"01-04-24 / 04:39 PM","Loge","LOGE6","12","2","319.48"
"01-04-24 / 04:39 PM","Balcony","BAL318","15","2","160.05"
"01-04-24 / 04:39 PM","Loge","LOGE6","13","7","337.56"
"01-04-24 / 04:39 PM","Loge","LOGE20","13","2","270"
"01-04-24 / 04:39 PM","Loge","LOGE9","1","1","312.62"
"01-04-24 / 04:39 PM","Loge","LOGE4","9","3","319.09"
"01-04-24 / 04:39 PM","Loge","LOGE2","5","4","456.27"
"01-04-24 / 04:39 PM","Loge","LOGE2","9","2","472.39"
"01-04-24 / 04:39 PM","Balcony","BAL326","9","2","143.56"
"01-04-24 / 04:39 PM","Balcony","BAL307","13","1","113.79"
"01-04-24 / 04:39 PM","Balcony","BAL304","7","2","164.9"
"01-04-24 / 01:09 PM","Loge","LOGE7","18","4","265.06"
"01-04-24 / 01:09 PM","Balcony","BAL308","8","4","151.98"
"01-04-24 / 01:09 PM","Balcony","BAL329","9","2","203.27"
"01-04-24 / 01:09 PM","Loge","LOGE11","7","2","355.26"
"01-04-24 / 01:09 PM","Loge","LOGE5","19","1","407.99"
"01-04-24 / 01:09 PM","Balcony","BAL319","5","2","247.94"
"01-04-24 / 01:09 PM","Balcony","BAL315","7","1","261.57"
"01-04-24 / 01:09 PM","Loge","LOGE7","G","2","248.92"
"01-04-24 / 01:09 PM","Balcony","BAL316","14","3","270.83"
"01-04-24 / 01:09 PM","Balcony","BAL315","4","2","258.72"
"01-04-24 / 01:09 PM","Club","CLB141","H","4","310.5"
"01-04-24 / 01:09 PM","Loge","LOGE14","7","3","518.89"
"01-04-24 / 01:09 PM","Loge","LOGE7","21","4","283.22"
"01-04-24 / 01:09 PM","Loge","LOGE9","22","2","230.3"
"01-04-24 / 01:09 PM","Loge","LOGE6","23","1","252.13"
"01-04-24 / 01:09 PM","Loge","LOGE12","8","2","450"
"01-04-24 / 01:09 PM","VIP","13","C","2","707.56"
"01-04-24 / 01:09 PM","Balcony","BAL326","2","2","157.14"
"01-04-24 / 01:09 PM","Loge","LOGE6","16","2","225"
"01-04-24 / 01:09 PM","Loge","LOGE17","21","2","274.4"
"01-04-24 / 01:09 PM","Balcony","BAL317","8","2","143.1"
"01-04-24 / 01:09 PM","Club","CLB113","F","2","386.75"
"01-04-24 / 01:09 PM","Loge","LOGE6","C","2","513.52"
"01-04-24 / 01:09 PM","Balcony","BAL326","15","5","140.65"
"01-04-24 / 01:09 PM","Balcony","BAL317","11","3","188.18"
"01-04-24 / 01:09 PM","Loge","LOGE18","K","3","268.45"
"01-04-24 / 10:36 AM","Balcony","BAL320","12","2","173.3"
"01-04-24 / 10:36 AM","Loge","LOGE7","F","4","362.56"
"01-04-24 / 10:36 AM","Loge","LOGE9","4","2","272.44"
"01-04-24 / 10:36 AM","Loge","LOGE9","14","4","312.16"
"01-04-24 / 10:36 AM","Balcony","BAL316","15","2","213.07"
"01-04-24 / 10:36 AM","Balcony","BAL316","8","2","213.26"
"01-04-24 / 10:36 AM","Loge","LOGE8","23","3","278.52"
"01-04-24 / 10:36 AM","Loge","LOGE9","20","2","221.48"
"01-04-24 / 10:36 AM","Loge","LOGE13","6","2","374.36"
"01-04-24 / 10:36 AM","Balcony","BAL315","7","4","251.74"
"01-04-24 / 10:36 AM","Loge","LOGE10","10","2","392"
"01-04-24 / 10:36 AM","Balcony","BAL304","11","2","157.14"
"01-04-24 / 10:36 AM","Balcony","BAL310","1","5","248.32"
"01-04-24 / 10:36 AM","Balcony","BAL325","8","5","162.96"
"01-04-24 / 10:36 AM","Balcony","BAL323","6","3","158.11"
"01-04-24 / 10:36 AM","Loge","LOGE7","K","1","360.92"
"01-04-24 / 10:36 AM","Loge","LOGE18","17","7","275.48"
"01-04-24 / 08:30 AM","Loge","LOGE1","10","2","476.28"
"01-04-24 / 08:30 AM","Loge","LOGE10","3","2","398.27"
"01-04-24 / 08:30 AM","Balcony","BAL301","6","2","313.4"
"01-04-24 / 08:30 AM","Balcony","BAL316","7","3","315.34"
"01-04-24 / 08:30 AM","Loge","LOGE6","23","3","294.98"
"01-04-24 / 08:30 AM","Loge","LOGE7","21","4","282.46"
"01-04-24 / 08:30 AM","Balcony","BAL328","6","1","246.2"
"01-04-24 / 08:30 AM","Balcony","BAL302","4","2","261.09"
"01-04-24 / 06:29 AM","Balcony","BAL317","1","2","257.74"
"01-04-24 / 06:29 AM","Balcony","BAL304","8","4","189.15"
"01-04-24 / 04:15 AM","Loge","LOGE17","19","2","246.83"
"01-04-24 / 04:15 AM","Balcony","BAL326","5","2","179.34"
"01-04-24 / 04:15 AM","Loge","LOGE15","21","2","363.58"
"01-04-24 / 12:58 AM","Balcony","BAL311","5","4","162.89"
"01-04-24 / 12:58 AM","Loge","LOGE7","F","4","362.56"
"01-04-24 / 12:58 AM","Balcony","BAL316","13","2","182.41"
"01-04-24 / 12:58 AM","Loge","LOGE10","11","1","332.22"
"01-04-24 / 12:57 AM","Balcony","BAL314","2","2","217.56"
"01-04-24 / 12:57 AM","Balcony","BAL305","12","4","139.5"
"01-04-24 / 12:57 AM","Loge","LOGE7","13","2","296.94"
"01-04-24 / 12:57 AM","Loge","LOGE7","C","2","292.94"
"01-04-24 / 12:57 AM","Loge","LOGE9","8","2","360.64"
"01-04-24 / 12:57 AM","Balcony","BAL315","6","4","226.59"
"01-04-24 / 12:57 AM","Balcony","BAL315","7","1","268.73"
"01-04-24 / 12:57 AM","Loge","LOGE12","4","2","450"
"01-04-24 / 12:57 AM","Balcony","BAL327","7","2","149.93"
"01-04-24 / 12:57 AM","Loge","LOGE15","17","4","260.59"
"01-03-24 / 10:02 PM","Loge","LOGE8","23","3","309.49"
"01-03-24 / 10:02 PM","Balcony","BAL311","5","7","167.44"
"01-03-24 / 10:02 PM","Balcony","BAL326","4","2","182.28"
"01-03-24 / 10:02 PM","Loge","LOGE10","14","4","335.68"
"01-03-24 / 10:02 PM","Balcony","BAL301","6","2","313.4"
"01-03-24 / 10:02 PM","Loge","LOGE4","20","2","247.94"
"01-03-24 / 10:02 PM","Balcony","BAL313","12","2","174.3"
"01-03-24 / 10:02 PM","Loge","LOGE18","G","2","299.88"
"01-03-24 / 10:02 PM","Balcony","BAL322","14","4","176.07"
