"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"01-10-25 / 03:27 PM","VIP","6","A","1","790.88"
"01-10-25 / 03:27 PM","Balcony","BAL316","12","2","188.49"
"01-10-25 / 03:27 PM","Balcony","BAL330","12","1","133.33"
"01-10-25 / 03:27 PM","Balcony","BAL309","3","1","163.4"
"01-10-25 / 03:27 PM","Balcony","BAL313","11","2","116.37"
"01-10-25 / 03:27 PM","VIP","17","B","2","1500.51"
"01-10-25 / 03:27 PM","VIP","12","A","2","1377.01"
"01-10-25 / 03:27 PM","VIP","12","C","2","1147.2"
"01-10-25 / 03:27 PM","VIP","12","B","2","1083.11"
"01-10-25 / 03:27 PM","VIP","13","C","2","703.16"
"01-10-25 / 03:27 PM","VIP","11","C","2","717.34"
"01-10-25 / 03:27 PM","VIP","2","B","2","627.18"
"01-10-25 / 03:27 PM","SportsDeck","Sports Deck","A","2","269.74"
"01-10-25 / 03:26 PM","Loge","LOGE3","26","1","152.74"
"01-10-25 / 03:26 PM","VIP","13","A","2","988.81"
"01-10-25 / 03:26 PM","Balcony","BAL307","6","2","86.64"
"01-10-25 / 03:26 PM","Loge","LOGE6","8","5","232.66"
"01-10-25 / 03:26 PM","Loge","LOGE6","C","2","245.38"
"01-10-25 / 03:26 PM","Loge","LOGE9","4","1","370.8"
"01-10-25 / 03:26 PM","Balcony","BAL301","15","1","87.06"
"01-10-25 / 03:26 PM","Balcony","BAL301","8","3","198.11"
"01-10-25 / 03:26 PM","Balcony","BAL328","10","3","103.66"
"01-10-25 / 03:26 PM","VIP","12","A","2","728.57"
"01-10-25 / 03:26 PM","Loge","LOGE7","L","6","261.21"
"01-10-25 / 03:26 PM","Balcony","BAL323","5","6","107.54"
"01-10-25 / 03:26 PM","Loge","LOGE13","18","2","435.8"
"01-10-25 / 03:26 PM","Loge","LOGE18","E","2","432.15"
"01-10-25 / 03:26 PM","Loge","LOGE12","18","1","416.25"
"01-10-25 / 03:26 PM","Loge","LOGE12","7","2","411.04"
"01-10-25 / 03:26 PM","Loge","LOGE13","16","4","402.26"
"01-10-25 / 03:26 PM","Loge","LOGE21","8","4","405.56"
"01-10-25 / 03:26 PM","Loge","LOGE12","17","2","391.49"
"01-10-25 / 03:26 PM","Loge","LOGE14","6","2","390.06"
"01-10-25 / 03:26 PM","Loge","LOGE4","1","2","383.63"
"01-10-25 / 03:26 PM","Loge","LOGE15","26","2","382.71"
"01-10-25 / 03:26 PM","Balcony","BAL309","3","1","163.4"
"01-10-25 / 03:26 PM","Loge","LOGE12","11","1","374.62"
"01-10-25 / 03:26 PM","Loge","LOGE21","17","2","380.2"
"01-10-25 / 03:26 PM","Balcony","BAL313","11","2","116.37"
"01-10-25 / 03:26 PM","VIP","6","A","1","790.88"
"01-10-25 / 03:26 PM","Balcony","BAL330","12","1","133.33"
"01-10-25 / 03:26 PM","Loge","LOGE18","7","2","371.72"
"01-10-25 / 03:26 PM","Loge","LOGE14","A","2","372.53"
"01-10-25 / 03:26 PM","Loge","LOGE6","4","2","363.48"
"01-10-25 / 03:26 PM","Loge","LOGE20","1","2","370.2"
"01-10-25 / 03:26 PM","Loge","LOGE7","F","4","358"
"01-10-25 / 03:26 PM","Loge","LOGE17","21","2","289.32"
"01-10-25 / 03:26 PM","Loge","LOGE14","6","2","357.98"
"01-10-25 / 03:26 PM","Loge","LOGE8","23","2","239.65"
"01-10-25 / 03:26 PM","Loge","LOGE21","14","4","340.1"
"01-10-25 / 03:26 PM","Loge","LOGE9","5","1","338.76"
"01-10-25 / 03:26 PM","Club","CLB137","I","2","296.17"
"01-10-25 / 03:26 PM","Loge","LOGE6","18","2","332.17"
"01-10-25 / 03:26 PM","Loge","LOGE6","B","2","333.27"
"01-10-25 / 03:26 PM","Loge","LOGE7","1","3","329.53"
"01-10-25 / 03:26 PM","Loge","LOGE10","18","4","328.34"
"01-10-25 / 03:26 PM","Loge","LOGE4","7","2","321.36"
"01-10-25 / 03:26 PM","Loge","LOGE17","B","2","318.52"
"01-10-25 / 03:26 PM","Loge","LOGE15","26","2","319.53"
"01-10-25 / 03:26 PM","Loge","LOGE3","12","4","313.03"
"01-10-25 / 03:26 PM","Loge","LOGE8","23","2","300.3"
"01-10-25 / 03:26 PM","Loge","LOGE10","18","2","289.32"
"01-10-25 / 03:26 PM","Loge","LOGE9","22","2","284.24"
"01-10-25 / 03:25 PM","Loge","LOGE17","12","3","282.24"
"01-10-25 / 03:25 PM","Loge","LOGE17","13","5","280.01"
"01-10-25 / 03:25 PM","Loge","LOGE15","23","5","278.15"
"01-10-25 / 03:25 PM","Loge","LOGE8","14","5","277.41"
"01-10-25 / 03:25 PM","Loge","LOGE17","H","2","276.71"
"01-10-25 / 03:25 PM","Loge","LOGE6","3","2","275.35"
"01-10-25 / 03:25 PM","Loge","LOGE9","22","1","273.5"
"01-10-25 / 03:25 PM","Loge","LOGE3","22","2","273.66"
"01-10-25 / 03:25 PM","Loge","LOGE17","A","1","254.71"
"01-10-25 / 03:25 PM","Loge","LOGE8","1","1","253.98"
"01-10-25 / 03:25 PM","Loge","LOGE18","12","1","246.94"
"01-10-25 / 03:25 PM","Loge","LOGE18","10","6","242.1"
"01-10-25 / 03:25 PM","Loge","LOGE17","12","3","240.51"
"01-10-25 / 03:25 PM","Loge","LOGE4","13","3","239.52"
"01-10-25 / 03:25 PM","Loge","LOGE6","19","5","236.56"
"01-10-25 / 03:25 PM","Loge","LOGE17","H","2","236.11"
"01-10-25 / 03:25 PM","Loge","LOGE10","22","2","235.58"
"01-10-25 / 03:25 PM","Loge","LOGE6","21","4","232.36"
"01-10-25 / 03:25 PM","Loge","LOGE6","14","4","211.39"
"01-10-25 / 03:25 PM","Loge","LOGE7","14","3","208.52"
"01-10-25 / 03:25 PM","Loge","LOGE3","21","1","209.42"
"01-10-25 / 03:25 PM","Loge","LOGE7","18","4","202.5"
"01-10-25 / 03:25 PM","Loge","LOGE7","D","1","207.34"
"01-10-25 / 03:25 PM","Loge","LOGE3","25","2","201.6"
"01-10-25 / 03:25 PM","Loge","LOGE6","17","2","186.38"
"01-10-25 / 03:25 PM","Loge","LOGE8","25","4","185.76"
"01-10-25 / 03:25 PM","Loge","LOGE6","21","3","181.07"
"01-10-25 / 03:25 PM","Loge","LOGE6","14","2","184.82"
"01-10-25 / 03:25 PM","Loge","LOGE6","18","4","179.81"
"01-10-25 / 03:25 PM","Loge","LOGE7","7","1","179.91"
"01-10-25 / 03:25 PM","Loge","LOGE7","16","2","179.2"
"01-10-25 / 03:25 PM","Club","CLB109","B","4","417.7"
"01-10-25 / 03:25 PM","Floor","FLR11","AA","2","2497.5"
"01-10-25 / 03:25 PM","Club","CLB139","C","2","315.6"
"01-10-25 / 03:25 PM","Club","CLB113","F","4","336.7"
"01-10-25 / 03:25 PM","Club","CLB109","G","2","312.19"
"01-10-25 / 03:25 PM","Club","CLB145","E","2","297.44"
"01-10-25 / 03:25 PM","Club","CLB141","D","1","280.36"
"01-10-25 / 03:25 PM","Balcony","BAL318","1","2","239.92"
"01-10-25 / 03:25 PM","Balcony","BAL329","10","2","237.02"
"01-10-25 / 03:25 PM","Balcony","BAL315","1","1","239.65"
"01-10-25 / 03:25 PM","Balcony","BAL316","4","2","207.32"
"01-10-25 / 03:25 PM","Balcony","BAL301","9","2","190.67"
"01-10-25 / 03:25 PM","Balcony","BAL314","2","2","187.97"
"01-10-25 / 03:25 PM","Balcony","BAL316","10","2","187.5"
"01-10-25 / 03:25 PM","Balcony","BAL316","9","2","180.3"
"01-10-25 / 03:25 PM","Balcony","BAL316","14","4","177.49"
"01-10-25 / 03:25 PM","Balcony","BAL330","6","2","178.77"
"01-10-25 / 03:25 PM","Balcony","BAL301","11","2","170.02"
"01-10-25 / 03:25 PM","Balcony","BAL316","12","4","172.18"
"01-10-25 / 03:24 PM","Balcony","BAL330","12","3","165.13"
"01-10-25 / 03:24 PM","Balcony","BAL326","3","2","161.35"
"01-10-25 / 03:24 PM","Balcony","BAL316","13","4","164.1"
"01-10-25 / 03:24 PM","Balcony","BAL328","5","2","160.41"
"01-10-25 / 03:24 PM","Balcony","BAL317","13","3","158.52"
"01-10-25 / 03:24 PM","Balcony","BAL322","1","2","155.72"
"01-10-25 / 03:24 PM","Balcony","BAL304","3","2","147.91"
"01-10-25 / 03:24 PM","Balcony","BAL315","10","2","143.27"
"01-10-25 / 03:24 PM","Balcony","BAL329","8","1","145.3"
"01-10-25 / 03:24 PM","Balcony","BAL314","11","2","141.03"
"01-10-25 / 03:24 PM","Balcony","BAL326","5","2","138.08"
"01-10-25 / 03:24 PM","Balcony","BAL309","3","2","134.4"
"01-10-25 / 03:24 PM","Balcony","BAL303","8","5","129.92"
"01-10-25 / 03:24 PM","Balcony","BAL317","13","3","127.95"
"01-10-25 / 03:24 PM","Balcony","BAL319","8","3","129.74"
"01-10-25 / 03:24 PM","Balcony","BAL304","12","3","126.16"
"01-10-25 / 03:24 PM","Balcony","BAL315","15","2","115.97"
"01-10-25 / 03:24 PM","Balcony","BAL311","7","4","114.6"
"01-10-25 / 03:24 PM","Balcony","BAL324","6","4","113.74"
"01-10-25 / 03:24 PM","Balcony","BAL304","8","2","113.62"
"01-10-25 / 03:24 PM","Balcony","BAL314","10","2","112.83"
"01-10-25 / 03:24 PM","Balcony","BAL314","15","2","112.89"
"01-10-25 / 03:24 PM","Balcony","BAL327","14","6","111.44"
"01-10-25 / 03:24 PM","Balcony","BAL312","12","2","112.12"
"01-10-25 / 03:24 PM","Balcony","BAL315","14","2","111.01"
"01-10-25 / 03:24 PM","Balcony","BAL319","13","2","110.2"
"01-10-25 / 03:24 PM","Balcony","BAL309","9","2","107.54"
"01-10-25 / 03:24 PM","Balcony","BAL319","11","3","105.27"
"01-10-25 / 03:24 PM","Balcony","BAL327","15","4","105.49"
"01-10-25 / 03:24 PM","Balcony","BAL310","8","3","102.28"
"01-10-25 / 03:24 PM","Balcony","BAL324","6","2","101.37"
"01-10-25 / 03:24 PM","Balcony","BAL313","14","4","100.53"
"01-10-25 / 03:24 PM","Balcony","BAL306","9","3","99.66"
"01-10-25 / 03:24 PM","Balcony","BAL321","13","4","100.45"
"01-10-25 / 03:24 PM","Balcony","BAL321","8","4","99.21"
"01-10-25 / 03:24 PM","Balcony","BAL322","8","2","98.78"
"01-10-25 / 03:24 PM","Balcony","BAL313","13","2","96.65"
"01-10-25 / 03:24 PM","Balcony","BAL305","9","2","97.91"
