"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"01-17-25 / 08:07 PM","Loge","LOGE17","M","2","45.36"
"01-17-25 / 07:34 PM","Balcony","BAL308","3","2","54.13"
"01-17-25 / 07:34 PM","Loge","LOGE4","13","0","84.78"
"01-17-25 / 07:34 PM","Loge","LOGE10","22","0","89"
"01-17-25 / 07:34 PM","Loge","LOGE2","12","2","189.31"
"01-17-25 / 12:47 PM","Loge","LOGE7","24","3","188.24"
"01-17-25 / 12:47 PM","Loge","LOGE17","7","2","206.88"
"01-17-25 / 12:32 PM","Balcony","BAL317","14","0","124.37"
"01-17-25 / 12:31 PM","Balcony","BAL310","10","2","69.52"
"01-17-25 / 12:25 PM","Balcony","BAL303","1","2","115.7"
"01-17-25 / 11:48 AM","Balcony","BAL305","9","2","84.05"
"01-17-25 / 11:47 AM","Balcony","BAL322","10","2","70.41"
"01-17-25 / 05:48 AM","Balcony","BAL307","14","3","83.08"
"01-17-25 / 05:48 AM","Balcony","BAL301","11","2","153.87"
"01-17-25 / 05:48 AM","Loge","LOGE19","26","1","163.4"
"01-17-25 / 05:48 AM","Loge","LOGE4","19","1","226.22"
"01-17-25 / 04:49 AM","Loge","LOGE19","26","1","163.4"
"01-17-25 / 01:48 AM","Balcony","BAL307","14","3","80.9"
"01-17-25 / 12:48 AM","Balcony","BAL329","9","2","85.71"
"01-16-25 / 11:48 PM","Balcony","BAL315","15","2","111.07"
"01-16-25 / 11:48 PM","Loge","LOGE12","13","3","291.38"
"01-16-25 / 10:26 PM","Balcony","BAL313","15","2","114.22"
"01-16-25 / 10:26 PM","Balcony","BAL327","11","1","100.92"
"01-16-25 / 10:26 PM","Balcony","BAL321","15","1","93.41"
"01-16-25 / 10:26 PM","Loge","LOGE6","18","2","179.81"
"01-16-25 / 10:26 PM","Balcony","BAL326","13","2","89.18"
"01-16-25 / 10:26 PM","Balcony","BAL320","15","3","116.43"
"01-16-25 / 10:26 PM","Balcony","BAL315","8","2","131.05"
"01-16-25 / 10:26 PM","Balcony","BAL323","5","3","137.16"
"01-16-25 / 10:26 PM","Loge","LOGE1","13","2","416.58"
"01-16-25 / 10:26 PM","Loge","LOGE7","E","2","279.25"
"01-16-25 / 10:26 PM","Loge","LOGE12","12","2","406.48"
"01-16-25 / 10:26 PM","Balcony","BAL305","9","2","129.97"
"01-16-25 / 10:26 PM","Balcony","BAL330","6","1","200.3"
"01-16-25 / 10:26 PM","Loge","LOGE15","14","2","240.96"
"01-16-25 / 10:26 PM","Balcony","BAL308","8","2","127.17"
"01-16-25 / 10:25 PM","Loge","LOGE11","11","2","446.79"
"01-16-25 / 10:25 PM","Loge","LOGE11","10","4","397.18"
"01-16-25 / 10:25 PM","Loge","LOGE2","18","2","347.17"
"01-16-25 / 10:25 PM","Loge","LOGE1","13","2","375.13"
"01-16-25 / 10:25 PM","Loge","LOGE7","C","2","327.77"
"01-16-25 / 10:25 PM","Loge","LOGE17","G","4","333.4"
"01-16-25 / 10:25 PM","Loge","LOGE14","5","1","317.49"
"01-16-25 / 10:25 PM","Loge","LOGE3","5","2","307.63"
"01-16-25 / 10:25 PM","Loge","LOGE6","G","4","287.83"
"01-16-25 / 10:25 PM","Loge","LOGE10","19","4","306.85"
"01-16-25 / 10:25 PM","Loge","LOGE5","6","2","300.3"
"01-16-25 / 10:25 PM","Loge","LOGE7","F","4","287.43"
"01-16-25 / 10:25 PM","Loge","LOGE3","6","1","298.99"
"01-16-25 / 10:25 PM","Loge","LOGE7","2","2","299.39"
"01-16-25 / 10:25 PM","Loge","LOGE6","L","2","280.16"
"01-16-25 / 10:25 PM","Loge","LOGE19","11","2","282"
"01-16-25 / 10:25 PM","Loge","LOGE15","23","2","268.19"
"01-16-25 / 10:25 PM","Loge","LOGE14","7","2","279.46"
"01-16-25 / 10:25 PM","Loge","LOGE3","9","2","261.05"
"01-16-25 / 10:25 PM","Loge","LOGE17","2","2","262.08"
"01-16-25 / 10:25 PM","Loge","LOGE19","11","2","250.95"
"01-16-25 / 10:25 PM","Loge","LOGE20","13","2","256.2"
"01-16-25 / 10:25 PM","Loge","LOGE6","L","2","249.84"
"01-16-25 / 10:25 PM","Loge","LOGE4","19","2","221.18"
"01-16-25 / 10:25 PM","Loge","LOGE6","19","4","230.29"
"01-16-25 / 10:25 PM","Loge","LOGE18","21","4","219.87"
"01-16-25 / 10:25 PM","Loge","LOGE7","19","1","212.46"
"01-16-25 / 10:25 PM","Loge","LOGE17","19","2","199.91"
"01-16-25 / 10:25 PM","Loge","LOGE7","26","3","200.59"
"01-16-25 / 10:25 PM","Loge","LOGE6","21","2","197.9"
"01-16-25 / 10:25 PM","Balcony","BAL317","8","1","185.24"
"01-16-25 / 10:25 PM","Loge","LOGE5","20","2","204.62"
"01-16-25 / 10:25 PM","Balcony","BAL329","6","2","155.11"
"01-16-25 / 10:25 PM","Balcony","BAL303","15","3","165.92"
"01-16-25 / 10:25 PM","Balcony","BAL319","5","2","149.2"
"01-16-25 / 10:25 PM","Balcony","BAL308","1","2","157.92"
"01-16-25 / 10:25 PM","Balcony","BAL311","3","2","142.7"
"01-16-25 / 10:25 PM","Balcony","BAL312","14","5","144.42"
