"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"01-19-24 / 05:22 PM","Loge","LOGE7","3","1","261.25"
"01-19-24 / 05:22 PM","Loge","LOGE3","20","3","345"
"01-19-24 / 02:12 PM","Balcony","BAL316","11","2","275.96"
"01-19-24 / 02:12 PM","Loge","LOGE17","2","2","268.77"
"01-19-24 / 02:12 PM","Balcony","BAL318","10","2","169.75"
"01-19-24 / 02:12 PM","Loge","LOGE7","3","1","294.5"
"01-19-24 / 02:12 PM","Loge","LOGE15","26","2","297"
"01-19-24 / 02:12 PM","Balcony","BAL314","10","1","167.81"
"01-19-24 / 11:08 AM","Balcony","BAL311","5","1","144.69"
"01-19-24 / 08:46 AM","Balcony","BAL308","8","2","126.99"
"01-19-24 / 06:09 AM","Loge","LOGE21","10","2","561.6"
"01-19-24 / 06:09 AM","Loge","LOGE6","19","3","233.77"
"01-19-24 / 06:09 AM","Loge","LOGE13","13","1","411.28"
"01-19-24 / 06:09 AM","Balcony","BAL316","15","3","202.73"
"01-19-24 / 06:09 AM","Loge","LOGE20","11","2","549.78"
"01-19-24 / 06:09 AM","Balcony","BAL303","15","2","160.05"
"01-19-24 / 02:22 AM","Balcony","BAL301","15","1","225"
"01-19-24 / 02:22 AM","Balcony","BAL320","15","2","134.42"
"01-19-24 / 02:22 AM","Loge","LOGE19","22","2","272.6"
"01-19-24 / 02:22 AM","Loge","LOGE19","13","1","304"
"01-19-24 / 02:22 AM","Balcony","BAL314","11","2","161.42"
"01-18-24 / 05:40 PM","Balcony","BAL321","13","2","141.94"
"01-18-24 / 05:40 PM","Loge","LOGE3","24","1","335.35"
"01-18-24 / 05:40 PM","Loge","LOGE19","14","1","292.5"
"01-18-24 / 05:40 PM","Loge","LOGE3","24","1","333.68"
"01-18-24 / 09:22 AM","Loge","LOGE13","17","2","643.77"
"01-18-24 / 09:22 AM","Balcony","BAL301","6","2","343.44"
"01-18-24 / 09:22 AM","Loge","LOGE7","G","4","420.61"
"01-18-24 / 09:22 AM","Balcony","BAL310","2","2","260.15"
"01-18-24 / 09:22 AM","Balcony","BAL316","5","2","307.25"
"01-18-24 / 09:22 AM","Balcony","BAL324","14","2","187.29"
"01-18-24 / 09:22 AM","Balcony","BAL318","6","2","346.7"
"01-18-24 / 09:22 AM","Loge","LOGE4","5","3","439.33"
"01-18-24 / 09:22 AM","Balcony","BAL312","6","2","177.51"
"01-18-24 / 09:22 AM","Loge","LOGE15","8","2","389.06"
"01-18-24 / 09:22 AM","Balcony","BAL310","10","2","146.47"
"01-18-24 / 09:22 AM","Loge","LOGE7","25","2","250.26"
"01-18-24 / 09:22 AM","Balcony","BAL309","1","2","239.4"
"01-18-24 / 09:22 AM","Balcony","BAL329","13","2","180"
"01-18-24 / 09:22 AM","Loge","LOGE11","10","2","668.36"
"01-18-24 / 09:22 AM","Loge","LOGE8","22","3","262.87"
