"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"11-01-23 / 07:50 PM","Balcony","BAL326","9","1","88.2"
"11-01-23 / 07:50 PM","Balcony","BAL315","12","1","135"
"11-01-23 / 07:50 PM","Balcony","BAL320","11","3","84.6"
"11-01-23 / 07:50 PM","Balcony","BAL328","9","1","80.54"
"11-01-23 / 03:05 PM","Balcony","BAL308","8","2","67"
"11-01-23 / 11:10 AM","Balcony","BAL324","6","3","71.89"
"11-01-23 / 11:10 AM","Loge","LOGE5","14","2","180.5"
"11-01-23 / 11:10 AM","Balcony","BAL312","8","1","61.64"
"11-01-23 / 11:10 AM","VIP","2","B","2","931.09"
"11-01-23 / 11:10 AM","Club","CLB113","A","2","290.55"
"11-01-23 / 11:10 AM","Loge","LOGE20","26","2","195.02"
"11-01-23 / 11:10 AM","Loge","LOGE6","F","2","216.28"
"11-01-23 / 11:10 AM","Balcony","BAL315","7","4","184.08"
"11-01-23 / 11:10 AM","Loge","LOGE6","E","2","182.31"
"11-01-23 / 11:10 AM","Balcony","BAL316","2","2","171.32"
"11-01-23 / 11:10 AM","Loge","LOGE10","18","2","175.32"
"11-01-23 / 11:10 AM","Loge","LOGE9","9","1","157.5"
"11-01-23 / 11:10 AM","Loge","LOGE6","26","2","148.34"
"11-01-23 / 11:10 AM","Loge","LOGE7","23","4","151.9"
"11-01-23 / 11:10 AM","Balcony","BAL315","2","2","142.35"
"11-01-23 / 11:10 AM","Balcony","BAL316","6","2","130.36"
"11-01-23 / 11:10 AM","Balcony","BAL316","5","4","133.51"
"11-01-23 / 11:10 AM","Balcony","BAL304","6","2","113.37"
"11-01-23 / 11:10 AM","Balcony","BAL316","7","2","120.37"
"11-01-23 / 11:10 AM","Balcony","BAL326","1","4","112.14"
"11-01-23 / 11:10 AM","Loge","LOGE7","26","4","111.55"
"11-01-23 / 11:10 AM","Balcony","BAL318","10","2","109.38"
"11-01-23 / 11:10 AM","Balcony","BAL320","10","2","103.37"
"11-01-23 / 11:10 AM","Balcony","BAL306","6","2","107.37"
"11-01-23 / 11:10 AM","Balcony","BAL326","10","2","98.38"
"11-01-23 / 11:10 AM","Balcony","BAL308","8","2","102.37"
"11-01-23 / 11:10 AM","Balcony","BAL309","8","2","68.87"
"11-01-23 / 11:10 AM","Balcony","BAL325","8","4","71.78"
"11-01-23 / 11:10 AM","Balcony","BAL323","8","2","52.2"
"11-01-23 / 11:10 AM","Loge","LOGE2","7","2","234.74"
"11-01-23 / 11:10 AM","Balcony","BAL326","9","7","93.12"
"11-01-23 / 11:10 AM","Balcony","BAL302","5","2","140.14"
"11-01-23 / 11:10 AM","Balcony","BAL324","7","2","65.96"
"11-01-23 / 11:10 AM","Loge","LOGE3","9","2","267.54"
"11-01-23 / 11:10 AM","Loge","LOGE7","J","1","134.83"
"11-01-23 / 11:10 AM","Loge","LOGE19","23","2","148.96"
"11-01-23 / 11:10 AM","Loge","LOGE9","17","2","141.12"
