"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"05-22-24 / 12:26 AM","Suites","STE606","","1","252.52"
"05-22-24 / 12:26 AM","Balcony","BAL318","14","2","152.53"
"05-22-24 / 12:26 AM","Club","CLB111","J","2","458.71"
"05-22-24 / 12:26 AM","Club","CLB113","A","2","378.79"
"05-21-24 / 07:33 PM","Balcony","BAL323","12","4","125.62"
"05-21-24 / 07:33 PM","Balcony","BAL327","12","3","132.35"
"05-21-24 / 07:33 PM","Loge","LOGE8","26","4","190.99"
"05-21-24 / 07:33 PM","Loge","LOGE9","26","4","235.28"
"05-21-24 / 07:33 PM","Balcony","BAL328","9","2","149.42"
"05-21-24 / 07:33 PM","Loge","LOGE7","24","2","186.63"
"05-21-24 / 03:03 PM","Loge","LOGE7","13","2","202.78"
"05-21-24 / 03:03 PM","Balcony","BAL301","7","2","207.26"
"05-21-24 / 03:03 PM","Loge","LOGE18","J","1","312.19"
"05-21-24 / 03:03 PM","Balcony","BAL324","8","1","185.18"
"05-21-24 / 03:03 PM","Balcony","BAL321","3","2","227.27"
"05-21-24 / 03:03 PM","Balcony","BAL324","12","1","111.58"
"05-21-24 / 03:03 PM","Balcony","BAL308","13","3","118.88"
"05-21-24 / 03:02 PM","Balcony","BAL306","7","2","144.58"
"05-21-24 / 03:02 PM","Balcony","BAL319","13","2","165.99"
"05-21-24 / 03:02 PM","Balcony","BAL311","11","1","129.19"
"05-21-24 / 03:02 PM","Loge","LOGE10","9","2","337.37"
"05-21-24 / 10:44 AM","Balcony","BAL304","11","2","131"
"05-21-24 / 10:44 AM","Loge","LOGE18","J","1","312.19"
"05-21-24 / 10:43 AM","Loge","LOGE4","16","2","314.56"
"05-21-24 / 10:43 AM","Balcony","BAL316","8","2","273"
"05-21-24 / 10:43 AM","Loge","LOGE7","10","6","270.07"
"05-21-24 / 10:43 AM","Loge","LOGE6","26","2","275.03"
"05-21-24 / 10:43 AM","Loge","LOGE16","12","2","266.48"
"05-21-24 / 10:43 AM","Balcony","BAL307","2","2","216.35"
"05-21-24 / 10:43 AM","Balcony","BAL329","12","1","213.81"
"05-21-24 / 10:43 AM","Balcony","BAL302","11","2","210.21"
"05-21-24 / 10:43 AM","Loge","LOGE8","21","3","207.26"
"05-21-24 / 10:43 AM","Balcony","BAL312","14","1","196.32"
"05-21-24 / 10:43 AM","Balcony","BAL327","11","3","190.38"
"05-21-24 / 10:43 AM","Balcony","BAL306","6","2","191.35"
"05-21-24 / 10:43 AM","Balcony","BAL309","12","2","178.58"
"05-21-24 / 10:43 AM","Balcony","BAL310","2","2","188.21"
"05-21-24 / 10:43 AM","Balcony","BAL305","8","2","169.54"
"05-21-24 / 10:43 AM","Balcony","BAL323","12","2","112.16"
"05-21-24 / 10:43 AM","Loge","LOGE17","K","1","470.47"
"05-21-24 / 10:43 AM","Loge","LOGE8","12","3","455.97"
"05-21-24 / 10:43 AM","Loge","LOGE18","18","2","369.85"
"05-21-24 / 10:43 AM","Loge","LOGE15","5","3","444.14"
"05-21-24 / 10:43 AM","Club","CLB109","C","2","359.88"
"05-21-24 / 10:43 AM","Balcony","BAL330","13","2","225.72"
"05-21-24 / 10:43 AM","SportsDeck","Sports Deck","C","4","328.84"
"05-21-24 / 10:43 AM","Loge","LOGE18","10","4","321.49"
"05-21-24 / 10:43 AM","Loge","LOGE6","17","1","324.3"
"05-21-24 / 10:43 AM","Suites","STE649","STE64","2","313.14"
"05-21-24 / 10:43 AM","Balcony","BAL313","4","2","280.11"
"05-21-24 / 10:43 AM","Loge","LOGE5","23","2","281.07"
"05-21-24 / 10:43 AM","Suites","STE502","B","2","249.75"
"05-21-24 / 10:43 AM","Balcony","BAL323","2","4","253.82"
"05-21-24 / 10:43 AM","Loge","LOGE18","4","1","274.72"
"05-21-24 / 10:43 AM","Balcony","BAL320","1","2","258.08"
"05-21-24 / 10:43 AM","Loge","LOGE6","16","2","267.41"
"05-21-24 / 10:43 AM","Balcony","BAL302","12","4","242.55"
"05-21-24 / 10:43 AM","Loge","LOGE6","11","3","244.05"
"05-21-24 / 10:43 AM","Balcony","BAL327","8","4","237.64"
"05-21-24 / 10:43 AM","Balcony","BAL308","3","2","239.85"
"05-21-24 / 10:43 AM","Loge","LOGE18","8","2","230.59"
"05-21-24 / 10:43 AM","Balcony","BAL312","14","1","233.64"
