"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"03-29-21 / 07:24 PM","Loge Baseline","7","8","4","237.5"
"03-29-21 / 05:32 PM","Loge Baseline","7","8","4","142.5"
"03-29-21 / 04:10 PM","Loge Corner","8","13","4","151.95"
"03-29-21 / 03:54 PM","Loge Baseline","18","15","2","308.75"
"03-29-21 / 03:11 PM","Club Center","143","A","4","224.43"
"03-29-21 / 02:54 PM","Club Center","143","E","4","175.75"
"03-29-21 / 02:54 PM","Balcony Baseline","310","15","2","189.05"
"03-29-21 / 01:51 PM","Balcony Center","315","8","2","205.61"
"03-29-21 / 01:18 PM","Club Center","109","G","2","418"
"03-29-21 / 01:18 PM","Club Center","143","E","4","199.5"
"03-29-21 / 01:18 PM","Loge Corner","15","12","2","303.46"
"03-29-21 / 12:30 PM","Loge Baseline","7","16","2","284.05"
"03-29-21 / 12:14 PM","Balcony Baseline","310","15","2","122.55"
"03-29-21 / 12:14 PM","Club Center","109","E","4","213.75"
"03-29-21 / 10:54 AM","Loge Baseline","17","5","4","168.15"
"03-29-21 / 09:41 AM","Loge Center","13","16","4","214.46"
"03-29-21 / 03:19 AM","Balcony Corner","306","12","2","202.35"
"03-29-21 / 12:03 AM","Balcony Corner","312","13","2","152"
"03-28-21 / 10:04 PM","Loge Corner","5","10","4","128.25"
"03-28-21 / 09:49 PM","Balcony Center","301","7","4","113.05"
"03-28-21 / 07:19 PM","Club Center","109","E","2","244.38"
"03-28-21 / 07:04 PM","Balcony Center","302","1","2","204.25"
"03-28-21 / 06:49 PM","Balcony Center","301","7","2","192.85"
"03-28-21 / 06:20 PM","Balcony Corner","326","11","3","114"
"03-28-21 / 03:58 PM","Balcony Corner","326","15","2","118.75"
"03-28-21 / 02:44 PM","Balcony Center","316","13","2","142.5"
"03-28-21 / 02:44 PM","Loge Center","2","14","2","380"
"03-28-21 / 01:00 PM","Loge Center","13","18","2","332.5"
"03-28-21 / 12:45 PM","Balcony Baseline","308","13","2","86.91"
"03-28-21 / 12:31 PM","Club Corner","107","A","2","267.08"
"03-28-21 / 11:14 AM","Balcony Center","301","11","4","96.9"
"03-28-21 / 08:22 AM","Loge Corner","19","24","2","227.83"
"03-27-21 / 10:45 PM","Balcony Center","315","14","4","89.77"
"03-27-21 / 04:18 PM","Balcony Center","316","9","4","95"
"03-27-21 / 01:27 PM","Loge Center","12","6","2","617.5"
"03-27-21 / 11:52 AM","Club Center","139","H","2","218.5"
"03-27-21 / 08:38 AM","Loge Corner","15","9","2","185.25"
"03-26-21 / 08:10 PM","Club Center","139","A","2","190"
"03-26-21 / 05:17 PM","Loge Corner","19","21","2","170.49"
"03-26-21 / 09:44 AM","Loge Center","12","11","2","475"
"03-25-21 / 04:57 PM","Balcony Corner","326","11","4","102.5"
"03-25-21 / 04:15 PM","Balcony Corner","326","15","2","77.79"
"03-25-21 / 01:11 AM","Balcony Corner","312","11","4","90.25"
"03-24-21 / 11:48 PM","Balcony Center","302","10","4","104.39"
"03-24-21 / 07:38 PM","Loge Corner","3","24","2","190"
"03-23-21 / 04:50 PM","Club Center","113","G","2","243.62"
"03-22-21 / 06:41 PM","Club Center","139","E","2","294.26"
"03-19-21 / 04:31 PM","Balcony Corner","326","15","4","101.65"
"03-18-21 / 03:36 PM","Loge Baseline","6","1","4","337.25"
"03-17-21 / 12:30 PM","Balcony Corner","306","9","4","118.75"
"03-17-21 / 12:11 PM","Balcony Corner","306","7","4","116.85"
"03-17-21 / 01:33 AM","Loge Baseline","18","9","2","284.05"
"03-16-21 / 07:27 PM","Balcony Center","317","1","2","246.99"
"03-16-21 / 11:52 AM","Loge Baseline","7","16","2","226.62"
"03-16-21 / 11:24 AM","Loge Baseline","6","15","2","238.01"
"03-15-21 / 11:34 PM","Balcony Baseline","324","10","2","161.49"
"03-15-21 / 02:01 PM","Loge Center","12","11","2","759.05"
"03-15-21 / 11:11 AM","Loge Baseline","6","15","2","237.5"
"03-13-21 / 11:21 PM","Loge Corner","15","26","2","235.44"
"03-12-21 / 09:54 PM","Loge Baseline","18","9","2","230.02"
"03-12-21 / 08:27 PM","Balcony Baseline","324","9","2","137.75"
"03-12-21 / 08:59 AM","Loge Baseline","6","1","2","370.5"
"03-11-21 / 10:44 PM","Balcony Center","301","14","2","213.75"
"03-11-21 / 08:08 PM","Balcony Baseline","310","11","2","148.19"
"03-11-21 / 12:25 PM","Balcony Baseline","310","5","2","135.85"
"03-11-21 / 11:54 AM","Balcony Baseline","308","9","2","131.77"
"03-11-21 / 10:32 AM","Balcony Center","316","1","4","379.05"
"03-10-21 / 09:24 PM","Balcony Baseline","310","9","2","142.45"
