"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"03-18-24 / 05:10 PM","Balcony","BAL315","12","3","95.74"
"03-18-24 / 05:10 PM","Loge","LOGE7","11","1","108.22"
"03-18-24 / 05:10 PM","Loge","LOGE5","21","3","119.45"
"03-18-24 / 05:10 PM","Loge","LOGE8","26","2","109.84"
"03-18-24 / 05:10 PM","VIP","11","B","2","483.31"
"03-18-24 / 01:07 PM","Loge","LOGE18","21","3","116.9"
"03-18-24 / 01:07 PM","Balcony","BAL305","4","2","99.07"
"03-18-24 / 01:07 PM","Balcony","BAL312","8","1","106.74"
"03-18-24 / 09:52 AM","Balcony","BAL313","9","1","80.07"
"03-18-24 / 09:51 AM","Loge","LOGE17","4","3","237.14"
"03-18-24 / 09:51 AM","Loge","LOGE13","3","2","263"
"03-18-24 / 09:51 AM","Loge","LOGE6","G","4","196.13"
"03-18-24 / 09:51 AM","Loge","LOGE10","15","2","215.93"
"03-18-24 / 09:51 AM","Loge","LOGE6","26","2","180.39"
"03-18-24 / 09:51 AM","Loge","LOGE7","18","4","151.77"
"03-18-24 / 09:51 AM","Loge","LOGE3","6","2","165.89"
"03-18-24 / 09:51 AM","Loge","LOGE15","16","4","117.84"
"03-18-24 / 09:51 AM","Balcony","BAL314","15","4","141.61"
"03-18-24 / 09:51 AM","Loge","LOGE15","21","2","141.82"
"03-18-24 / 09:51 AM","Loge","LOGE9","20","2","140.51"
"03-18-24 / 09:51 AM","Balcony","BAL318","5","2","162.26"
"03-18-24 / 09:51 AM","Balcony","BAL320","8","2","113.17"
"03-18-24 / 09:51 AM","Balcony","BAL316","8","2","131.66"
"03-18-24 / 09:51 AM","Balcony","BAL305","5","3","153.07"
"03-18-24 / 09:51 AM","Balcony","BAL325","1","2","116.94"
"03-18-24 / 09:51 AM","Balcony","BAL323","8","2","111.33"
"03-18-24 / 09:51 AM","Balcony","BAL310","2","2","123.34"
"03-18-24 / 09:51 AM","Loge","LOGE7","24","2","167.7"
"03-18-24 / 09:51 AM","Loge","LOGE17","21","2","130.54"
"03-18-24 / 09:51 AM","Loge","LOGE15","6","2","178.58"
"03-18-24 / 09:51 AM","Loge","LOGE5","13","3","146.25"
"03-18-24 / 09:51 AM","Loge","LOGE18","6","2","145.35"
