"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"11-11-23 / 08:34 PM","Loge","LOGE15","16","2","209"
"11-11-23 / 08:34 PM","Balcony","BAL323","7","3","143.69"
"11-11-23 / 08:34 PM","Loge","LOGE17","F","2","276.56"
"11-11-23 / 08:34 PM","Loge","LOGE10","B","4","290.03"
"11-11-23 / 04:23 PM","Loge","LOGE4","13","1","269.32"
"11-11-23 / 04:23 PM","Loge","LOGE18","4","2","239.31"
"11-11-23 / 05:22 AM","Balcony","BAL326","11","3","126.49"
"11-10-23 / 02:21 PM","Loge","LOGE7","26","2","202.73"
"11-10-23 / 01:13 AM","Balcony","BAL326","15","4","118.3"
"11-10-23 / 01:13 AM","Club","CLB107","F","1","337.5"
"11-10-23 / 01:13 AM","Balcony","BAL318","14","3","146.12"
"11-09-23 / 03:09 PM","Balcony","BAL312","13","3","121.03"
"11-08-23 / 11:59 PM","Loge","LOGE18","F","2","288.42"
"11-08-23 / 07:08 PM","Balcony","BAL322","15","3","127.4"
"11-07-23 / 04:24 PM","Club","CLB141","E","2","343.87"
"11-07-23 / 04:24 PM","SportsDeck","Sports Deck","C","2","498.6"
"11-07-23 / 04:24 PM","Balcony","BAL309","15","3","117.29"
"11-07-23 / 05:11 AM","Loge","LOGE18","2","1","233.1"
"11-06-23 / 02:52 PM","Balcony","BAL311","4","4","147.42"
"11-06-23 / 01:01 AM","Balcony","BAL312","7","1","117.9"
"11-06-23 / 01:01 AM","Loge","LOGE2","10","2","450"
"11-05-23 / 08:20 PM","Balcony","BAL312","8","1","123.2"
"11-04-23 / 03:04 PM","Loge","LOGE7","18","2","220.19"
"11-04-23 / 07:26 AM","Balcony","BAL321","13","3","105.67"
"11-03-23 / 09:23 PM","Balcony","BAL328","9","3","125.54"
"11-03-23 / 03:43 PM","Club","CLB107","J","2","320.36"
"11-03-23 / 11:15 AM","Loge","LOGE13","9","2","486.08"
"11-03-23 / 11:15 AM","VIP","13","C","2","830.7"
"11-03-23 / 11:15 AM","Loge","LOGE15","19","2","244.43"
"11-03-23 / 11:15 AM","Loge","LOGE21","14","2","480.35"
"11-03-23 / 11:15 AM","Balcony","BAL322","11","2","154.34"
"11-03-23 / 11:15 AM","Balcony","BAL323","6","1","156.31"
"11-03-23 / 11:15 AM","Balcony","BAL329","8","4","242.77"
"11-03-23 / 11:15 AM","Loge","LOGE6","23","1","245.11"
"11-03-23 / 11:15 AM","Loge","LOGE2","15","2","473.87"
"11-03-23 / 11:15 AM","Balcony","BAL324","4","2","150.34"
"11-03-23 / 11:15 AM","VIP","2","A","2","1420.11"
"11-03-23 / 11:15 AM","Balcony","BAL312","8","2","148.34"
"11-03-23 / 11:15 AM","Loge","LOGE5","11","2","222.93"
"11-03-23 / 11:15 AM","Loge","LOGE4","26","2","232.35"
"11-03-23 / 11:15 AM","Loge","LOGE17","A","2","448.81"
"11-03-23 / 11:15 AM","Loge","LOGE20","13","4","418.09"
"11-03-23 / 11:15 AM","Loge","LOGE6","13","4","287.65"
"11-03-23 / 11:15 AM","Loge","LOGE16","11","3","360.03"
"11-03-23 / 11:15 AM","Balcony","BAL301","8","2","251.69"
"11-03-23 / 11:15 AM","Balcony","BAL316","10","2","269.71"
"11-03-23 / 11:15 AM","Loge","LOGE6","21","4","285.24"
"11-03-23 / 11:15 AM","Balcony","BAL317","9","2","171.32"
"11-03-23 / 11:15 AM","Loge","LOGE18","14","2","229.9"
"11-03-23 / 11:15 AM","Loge","LOGE18","K","5","318.76"
"11-03-23 / 11:15 AM","Balcony","BAL316","6","2","270.83"
"11-03-23 / 11:15 AM","VIP","11","C","2","862.24"
"11-03-23 / 11:15 AM","Loge","LOGE14","7","3","479.44"
"11-03-23 / 11:15 AM","Loge","LOGE10","8","1","444.77"
"11-03-23 / 11:15 AM","Loge","LOGE6","B","4","446.33"
"11-03-23 / 11:15 AM","Loge","LOGE5","1","1","450.41"
"11-03-23 / 11:15 AM","Loge","LOGE9","13","3","308.22"
"11-03-23 / 11:15 AM","Loge","LOGE7","D","1","389.55"
"11-03-23 / 11:15 AM","Loge","LOGE3","21","4","394.51"
