"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"01-13-24 / 04:05 PM","VIP","6","B","2","765"
"01-13-24 / 04:05 PM","Balcony","BAL321","10","3","161"
"01-13-24 / 04:05 PM","Balcony","BAL329","14","1","151.2"
"01-13-24 / 04:05 PM","Balcony","BAL305","11","3","144.9"
"01-13-24 / 04:05 PM","Balcony","BAL325","10","3","144.9"
"01-13-24 / 04:05 PM","Balcony","BAL323","4","6","148.32"
"01-13-24 / 04:05 PM","Balcony","BAL320","14","3","135"
"01-13-24 / 11:35 AM","Balcony","BAL317","12","2","172.66"
"01-13-24 / 11:35 AM","SportsDeck","Sports Deck","A","1","251.1"
"01-13-24 / 03:00 AM","Balcony","BAL308","4","1","122.37"
"01-12-24 / 05:29 PM","Balcony","BAL322","12","3","106.7"
"01-12-24 / 05:29 PM","Balcony","BAL312","11","3","123.5"
"01-12-24 / 05:29 PM","Loge","LOGE9","23","2","251.75"
"01-12-24 / 01:25 PM","Balcony","BAL326","15","1","125.15"
"01-12-24 / 01:25 PM","Balcony","BAL314","13","1","148.98"
"01-12-24 / 10:31 AM","Balcony","BAL328","5","1","157.37"
"01-12-24 / 12:29 AM","Balcony","BAL306","14","3","111.55"
"01-11-24 / 04:58 PM","Balcony","BAL310","11","4","118.34"
"01-11-24 / 01:22 PM","Loge","LOGE2","14","2","484.38"
"01-11-24 / 01:22 PM","Balcony","BAL327","15","4","121.94"
"01-11-24 / 01:22 PM","Loge","LOGE4","13","1","337.34"
"01-11-24 / 01:22 PM","Balcony","BAL319","3","1","228.34"
"01-11-24 / 01:22 PM","Loge","LOGE7","14","2","253.82"
"01-11-24 / 01:22 PM","Balcony","BAL325","1","2","272.44"
"01-11-24 / 01:21 PM","Balcony","BAL306","10","2","118.34"
"01-11-24 / 01:21 PM","Balcony","BAL303","14","2","144.53"
"01-11-24 / 01:21 PM","Balcony","BAL328","3","2","249.9"
"01-11-24 / 01:21 PM","Balcony","BAL305","11","3","125.13"
"01-11-24 / 01:21 PM","Loge","LOGE7","1","2","277.14"
"01-11-24 / 01:21 PM","Loge","LOGE9","11","3","426.3"
"01-11-24 / 01:21 PM","Loge","LOGE4","21","2","207"
"01-11-24 / 01:21 PM","Balcony","BAL307","13","5","121.36"
"01-11-24 / 01:21 PM","Loge","LOGE16","11","2","393.96"
"01-11-24 / 01:21 PM","Loge","LOGE18","4","1","226.07"
"01-11-24 / 01:21 PM","Loge","LOGE10","5","4","388.97"
"01-11-24 / 01:21 PM","Loge","LOGE17","M","4","304.58"
"01-11-24 / 10:40 AM","Loge","LOGE20","13","4","512.01"
"01-11-24 / 10:40 AM","Loge","LOGE3","21","1","346.71"
"01-11-24 / 10:40 AM","Loge","LOGE10","20","3","457.61"
"01-11-24 / 10:40 AM","Balcony","BAL315","10","2","237.62"
"01-11-24 / 10:40 AM","Balcony","BAL317","11","2","243.77"
"01-11-24 / 10:40 AM","Balcony","BAL303","2","2","207.27"
"01-11-24 / 10:40 AM","Balcony","BAL323","11","1","105.73"
"01-11-24 / 10:40 AM","Balcony","BAL311","3","2","167.41"
"01-11-24 / 10:40 AM","Loge","LOGE6","24","4","214.37"
"01-11-24 / 10:40 AM","Loge","LOGE3","10","2","439.04"
"01-11-24 / 10:40 AM","Balcony","BAL325","8","2","158.32"
"01-11-24 / 10:40 AM","Balcony","BAL327","8","4","191.05"
"01-11-24 / 10:40 AM","Balcony","BAL329","13","4","270.17"
"01-11-24 / 10:40 AM","Balcony","BAL328","9","2","117"
"01-11-24 / 10:40 AM","Balcony","BAL311","3","2","161.7"
"01-11-24 / 10:40 AM","Balcony","BAL313","8","2","152.33"
"01-11-24 / 10:40 AM","Loge","LOGE4","24","2","218.25"
"01-11-24 / 10:40 AM","Loge","LOGE8","23","2","228.92"
"01-11-24 / 10:40 AM","Balcony","BAL320","10","4","130.49"
"01-11-24 / 10:40 AM","Loge","LOGE14","2","2","445.9"
"01-11-24 / 07:57 AM","Balcony","BAL301","11","2","308.27"
"01-11-24 / 07:57 AM","Loge","LOGE7","16","3","230.86"
"01-11-24 / 05:08 AM","Loge","LOGE6","16","4","266.74"
"01-11-24 / 05:08 AM","Loge","LOGE4","13","1","337.34"
"01-11-24 / 05:08 AM","Balcony","BAL322","9","7","145.5"
"01-11-24 / 05:08 AM","Balcony","BAL301","13","3","227.21"
"01-11-24 / 05:08 AM","VIP","21","B","6","1012.68"
"01-11-24 / 05:08 AM","Balcony","BAL301","4","2","276.21"
"01-11-24 / 05:08 AM","Balcony","BAL325","9","3","125.13"
"01-11-24 / 05:08 AM","Balcony","BAL305","10","6","126.1"
"01-11-24 / 05:08 AM","Balcony","BAL311","8","3","129.01"
"01-11-24 / 05:08 AM","Loge","LOGE4","23","2","296.14"
"01-11-24 / 02:31 AM","Balcony","BAL312","9","2","131.6"
"01-10-24 / 11:00 PM","Balcony","BAL324","12","3","131.04"
"01-10-24 / 11:00 PM","Balcony","BAL303","13","2","169.53"
"01-10-24 / 07:28 PM","Loge","LOGE9","23","1","349.63"
"01-10-24 / 07:28 PM","Loge","LOGE6","26","2","413.56"
"01-10-24 / 07:28 PM","Balcony","BAL322","12","4","118.98"
"01-10-24 / 07:28 PM","Loge","LOGE15","13","2","275.38"
"01-10-24 / 07:28 PM","Balcony","BAL306","13","4","124.16"
"01-10-24 / 07:28 PM","Balcony","BAL327","8","4","191.05"
"01-10-24 / 07:28 PM","Balcony","BAL319","3","1","187.18"
"01-10-24 / 07:28 PM","Loge","LOGE18","12","2","340.06"
"01-10-24 / 07:27 PM","Balcony","BAL304","14","2","155.31"
"01-10-24 / 07:27 PM","Balcony","BAL318","12","1","157.14"
"01-10-24 / 07:27 PM","Loge","LOGE6","J","2","377.3"
"01-10-24 / 07:27 PM","Loge","LOGE9","26","6","266"
"01-10-24 / 07:27 PM","Balcony","BAL309","14","3","118.21"
"01-10-24 / 07:27 PM","Balcony","BAL317","12","5","199.29"
"01-10-24 / 07:27 PM","Balcony","BAL325","5","2","129.78"
"01-10-24 / 07:27 PM","Loge","LOGE6","20","5","236.68"
"01-10-24 / 04:02 PM","Loge","LOGE10","20","3","487.71"
"01-10-24 / 04:02 PM","Balcony","BAL315","15","3","305.4"
"01-10-24 / 04:02 PM","Balcony","BAL318","14","1","201"
"01-10-24 / 04:02 PM","Loge","LOGE2","18","2","488.04"
"01-10-24 / 04:02 PM","Loge","LOGE8","25","2","256.08"
"01-10-24 / 04:02 PM","Balcony","BAL305","8","3","143.02"
"01-10-24 / 04:02 PM","Balcony","BAL305","12","2","117"
"01-10-24 / 04:02 PM","Loge","LOGE20","14","4","381.07"
"01-10-24 / 04:02 PM","Loge","LOGE17","20","3","222.13"
"01-10-24 / 04:02 PM","Loge","LOGE4","15","2","356.72"
"01-10-24 / 04:02 PM","Balcony","BAL323","5","2","228.34"
"01-10-24 / 04:02 PM","Loge","LOGE7","20","6","238.62"
"01-10-24 / 04:02 PM","Loge","LOGE6","2","2","490.98"
"01-10-24 / 04:02 PM","Loge","LOGE7","15","2","282.24"
"01-10-24 / 04:02 PM","Balcony","BAL308","5","2","221.48"
"01-10-24 / 04:02 PM","Loge","LOGE6","18","2","227.7"
"01-10-24 / 04:02 PM","Loge","LOGE16","24","4","265.78"
"01-10-24 / 04:02 PM","Balcony","BAL321","9","3","129.98"
"01-10-24 / 04:02 PM","Loge","LOGE14","A","2","484.03"
"01-10-24 / 04:02 PM","Balcony","BAL320","9","2","131.92"
"01-10-24 / 04:02 PM","Loge","LOGE3","13","4","369.56"
"01-10-24 / 04:02 PM","Loge","LOGE6","4","3","291.97"
"01-10-24 / 04:02 PM","Loge","LOGE2","9","2","525.74"
"01-10-24 / 12:50 PM","Loge","LOGE11","14","3","548.05"
"01-10-24 / 12:50 PM","Balcony","BAL315","15","6","193.42"
"01-10-24 / 12:50 PM","Loge","LOGE17","6","2","268.69"
"01-10-24 / 12:50 PM","Balcony","BAL304","8","4","168.78"
"01-10-24 / 12:50 PM","Loge","LOGE19","21","2","332.22"
"01-10-24 / 12:50 PM","Balcony","BAL321","8","6","165.87"
"01-10-24 / 10:14 AM","Loge","LOGE6","18","2","227.7"
"01-10-24 / 10:14 AM","Balcony","BAL327","7","2","137.39"
"01-10-24 / 10:14 AM","Balcony","BAL311","8","2","139.25"
"01-10-24 / 10:14 AM","Loge","LOGE10","18","4","433.52"
"01-10-24 / 10:14 AM","Balcony","BAL325","8","2","175.3"
"01-10-24 / 10:14 AM","Loge","LOGE15","13","2","274.99"
"01-10-24 / 10:14 AM","Loge","LOGE10","6","2","338.1"
"01-10-24 / 10:14 AM","Balcony","BAL329","10","2","152.22"
"01-10-24 / 10:14 AM","Balcony","BAL321","5","2","191.1"
"01-10-24 / 10:14 AM","Balcony","BAL302","13","4","190.52"
"01-10-24 / 07:33 AM","Loge","LOGE20","13","4","512.01"
"01-10-24 / 07:33 AM","Balcony","BAL310","7","2","171.31"
"01-10-24 / 07:33 AM","Loge","LOGE7","15","2","296.83"
"01-10-24 / 07:33 AM","Loge","LOGE7","26","2","301.11"
"01-10-24 / 07:33 AM","Balcony","BAL301","9","2","286.78"
"01-10-24 / 07:32 AM","Balcony","BAL306","11","4","232.29"
"01-10-24 / 04:59 AM","Balcony","BAL323","11","4","174.07"
"01-10-24 / 04:59 AM","Loge","LOGE15","26","2","278.58"
"01-10-24 / 04:59 AM","Balcony","BAL319","15","2","169.31"
"01-10-24 / 04:59 AM","Loge","LOGE11","4","2","542.34"
"01-10-24 / 04:59 AM","Balcony","BAL303","14","2","203.27"
"01-10-24 / 04:59 AM","Balcony","BAL314","15","4","247.64"
"01-10-24 / 04:59 AM","Balcony","BAL322","11","2","129.98"
"01-10-24 / 01:28 AM","Balcony","BAL309","14","3","123.73"
"01-10-24 / 01:28 AM","Loge","LOGE12","13","2","600.43"
"01-10-24 / 01:28 AM","Loge","LOGE10","18","4","433.52"
