"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"05-09-23 / 09:13 PM","Club","CLB113","E","1","813.6"
"05-09-23 / 01:49 PM","Balcony","BAL326","9","2","166.22"
"05-09-23 / 11:03 AM","Balcony","BAL326","7","4","172.04"
"05-09-23 / 08:54 AM","Loge","LOGE17","5","2","297.69"
"05-09-23 / 07:02 AM","Balcony","BAL314","15","4","281.86"
"05-09-23 / 07:02 AM","Loge","LOGE13","17","2","638.07"
"05-09-23 / 07:02 AM","Balcony","BAL323","3","2","194"
"05-09-23 / 07:02 AM","Balcony","BAL303","6","2","257.31"
"05-09-23 / 07:02 AM","Balcony","BAL318","6","2","264.07"
"05-09-23 / 07:02 AM","Club","CLB107","E","2","545.54"
"05-09-23 / 07:02 AM","Loge","LOGE3","9","2","637.98"
"05-09-23 / 07:02 AM","Loge","LOGE6","3","2","415.52"
"05-09-23 / 07:02 AM","Balcony","BAL320","10","2","162.32"
"05-09-23 / 07:02 AM","Balcony","BAL308","5","3","177.51"
"05-09-23 / 07:02 AM","Club","CLB115","G","2","720"
"05-09-23 / 05:35 AM","Balcony","BAL309","10","1","153"
"05-09-23 / 05:35 AM","VIP","11","B","1","1215"
"05-09-23 / 05:35 AM","Loge","LOGE10","3","2","570.34"
"05-09-23 / 05:35 AM","Balcony","BAL313","6","1","322.99"
"05-09-23 / 05:35 AM","Loge","LOGE20","3","2","665.42"
"05-09-23 / 05:35 AM","Loge","LOGE17","L","2","332.5"
"05-09-23 / 05:35 AM","Balcony","BAL330","4","4","265.93"
"05-09-23 / 05:35 AM","Balcony","BAL322","6","7","180.42"
"05-08-23 / 11:49 PM","Balcony","BAL315","4","2","252"
"05-08-23 / 11:49 PM","Balcony","BAL304","7","2","189.64"
"05-08-23 / 08:15 PM","Club","CLB107","B","1","495"
"05-08-23 / 08:15 PM","Loge","LOGE7","19","2","272.69"
"05-08-23 / 04:29 PM","Balcony","BAL324","7","5","225.04"
"05-08-23 / 04:29 PM","Loge","LOGE4","22","2","345.71"
"05-08-23 / 04:29 PM","Loge","LOGE7","19","1","272.69"
"05-08-23 / 01:24 PM","Loge","LOGE18","15","2","286.98"
"05-08-23 / 01:24 PM","Loge","LOGE16","24","2","361.81"
"05-08-23 / 01:24 PM","Loge","LOGE7","2","1","364"
"05-08-23 / 10:46 AM","Balcony","BAL308","7","2","176.85"
"05-08-23 / 08:33 AM","Loge","LOGE8","13","3","392.7"
"05-08-23 / 08:33 AM","Loge","LOGE6","5","2","540.96"
"05-08-23 / 08:33 AM","VIP","13","C","2","1328.88"
"05-08-23 / 08:33 AM","Balcony","BAL316","3","2","318.5"
"05-08-23 / 08:33 AM","Loge","LOGE18","15","2","392"
"05-08-23 / 08:33 AM","Loge","LOGE15","11","2","404.89"
"05-08-23 / 08:33 AM","Balcony","BAL321","8","2","172.66"
"05-08-23 / 08:33 AM","Balcony","BAL304","12","2","180.42"
"05-08-23 / 08:33 AM","Balcony","BAL303","5","2","302.37"
"05-08-23 / 08:33 AM","Balcony","BAL322","15","5","168.35"
"05-08-23 / 08:33 AM","Floor","FLR18","DD","2","2359.33"
"05-08-23 / 08:33 AM","Balcony","BAL315","13","4","247.35"
"05-08-23 / 08:33 AM","Loge","LOGE17","K","2","514.5"
"05-08-23 / 08:33 AM","Loge","LOGE17","J","2","342"
"05-08-23 / 06:33 AM","Balcony","BAL320","6","2","189.68"
"05-08-23 / 06:33 AM","Balcony","BAL307","5","2","173.25"
"05-08-23 / 06:33 AM","Balcony","BAL330","7","3","314.1"
"05-08-23 / 04:11 AM","Balcony","BAL315","5","2","293.02"
"05-08-23 / 04:11 AM","Balcony","BAL313","8","2","189.15"
"05-08-23 / 04:11 AM","Loge","LOGE18","L","2","460.6"
"05-08-23 / 04:11 AM","VIP","11","B","2","1644.44"
"05-08-23 / 04:11 AM","Balcony","BAL304","8","2","199.82"
"05-08-23 / 04:11 AM","Loge","LOGE15","21","2","383.18"
"05-08-23 / 04:11 AM","Balcony","BAL306","3","2","254.8"
"05-08-23 / 04:11 AM","Loge","LOGE18","18","2","276.87"
"05-08-23 / 04:11 AM","Loge","LOGE8","26","2","379.26"
"05-08-23 / 04:11 AM","Loge","LOGE10","10","2","702.66"
"05-08-23 / 04:11 AM","Balcony","BAL305","14","3","181.03"
"05-08-23 / 04:11 AM","Balcony","BAL323","13","2","163.8"
"05-08-23 / 04:11 AM","Loge","LOGE19","20","2","361"
"05-08-23 / 01:25 AM","Balcony","BAL320","6","1","183.84"
"05-08-23 / 01:25 AM","Balcony","BAL327","7","1","195.26"
"05-07-23 / 09:50 PM","Loge","LOGE18","7","1","301.79"
"05-07-23 / 09:50 PM","Balcony","BAL316","10","3","252"
"05-07-23 / 09:50 PM","Loge","LOGE16","25","5","355.99"
"05-07-23 / 09:50 PM","Loge","LOGE7","16","1","279.32"
"05-07-23 / 09:50 PM","Loge","LOGE9","23","3","379.05"
"05-07-23 / 09:50 PM","Balcony","BAL311","6","2","189.36"
"05-07-23 / 06:32 PM","Balcony","BAL304","9","2","171"
"05-07-23 / 06:32 PM","Loge","LOGE6","7","1","301.79"
"05-07-23 / 03:31 PM","Balcony","BAL310","11","2","171.66"
"05-07-23 / 03:30 PM","Balcony","BAL316","14","2","294.49"
"05-07-23 / 03:30 PM","Loge","LOGE15","10","4","423.8"
"05-07-23 / 03:30 PM","Loge","LOGE8","12","3","393.96"
"05-07-23 / 03:30 PM","Balcony","BAL314","15","2","191.58"
"05-07-23 / 03:30 PM","Balcony","BAL321","4","2","255.78"
"05-07-23 / 03:30 PM","Loge","LOGE17","17","3","333"
"05-07-23 / 03:30 PM","Loge","LOGE6","25","2","338.41"
"05-07-23 / 03:30 PM","Balcony","BAL315","11","2","230.3"
"05-07-23 / 03:30 PM","Balcony","BAL309","11","4","244.22"
"05-07-23 / 03:30 PM","Balcony","BAL326","8","1","258.47"
"05-07-23 / 03:30 PM","Balcony","BAL306","11","3","170.72"
"05-07-23 / 03:30 PM","Balcony","BAL322","9","4","172.66"
"05-07-23 / 03:30 PM","Loge","LOGE18","7","1","402.87"
"05-07-23 / 03:30 PM","Loge","LOGE17","E","2","560.56"
"05-07-23 / 03:30 PM","Balcony","BAL321","10","2","204.29"
"05-07-23 / 03:30 PM","Balcony","BAL313","8","4","189.15"
"05-07-23 / 03:30 PM","Balcony","BAL302","15","3","208.98"
"05-07-23 / 03:30 PM","Balcony","BAL328","5","2","194"
"05-07-23 / 03:30 PM","VIP","12","C","2","2386.3"
"05-07-23 / 03:30 PM","Balcony","BAL326","1","4","317.52"
"05-07-23 / 03:30 PM","Loge","LOGE20","21","2","477.26"
"05-07-23 / 03:30 PM","VIP","11","C","2","1503.32"
"05-07-23 / 03:30 PM","Loge","LOGE7","12","4","288.09"
"05-07-23 / 03:30 PM","Loge","LOGE19","17","2","369.46"
"05-07-23 / 03:30 PM","Loge","LOGE6","10","2","472.36"
"05-07-23 / 03:30 PM","Loge","LOGE16","11","2","493.92"
"05-07-23 / 03:30 PM","Balcony","BAL308","12","4","162.26"
"05-07-23 / 03:30 PM","Balcony","BAL318","9","2","204.86"
"05-07-23 / 03:30 PM","Loge","LOGE15","26","2","299.2"
"05-07-23 / 03:30 PM","Balcony","BAL310","10","4","163.8"
"05-07-23 / 03:30 PM","Balcony","BAL324","8","2","152.1"
"05-07-23 / 03:30 PM","Loge","LOGE7","11","4","296.82"
"05-07-23 / 03:30 PM","Balcony","BAL325","15","3","167.81"
"05-07-23 / 03:30 PM","Loge","LOGE17","17","3","287.77"
"05-07-23 / 03:30 PM","Loge","LOGE19","12","3","380"
"05-07-23 / 03:30 PM","Balcony","BAL321","10","2","171.5"
"05-07-23 / 03:30 PM","Balcony","BAL314","8","3","223.3"
"05-07-23 / 03:30 PM","Loge","LOGE7","6","5","407.4"
"05-07-23 / 03:30 PM","Loge","LOGE17","6","2","350.1"
"05-07-23 / 03:30 PM","Balcony","BAL305","6","2","186.24"
"05-07-23 / 03:30 PM","Loge","LOGE18","5","2","356.96"
"05-07-23 / 03:30 PM","Balcony","BAL319","11","3","178.06"
"05-07-23 / 03:30 PM","Balcony","BAL317","13","7","242.5"
"05-07-23 / 03:30 PM","Balcony","BAL329","12","2","199.64"
"05-07-23 / 03:30 PM","Balcony","BAL304","13","3","176.1"
"05-07-23 / 03:30 PM","Loge","LOGE9","12","3","353.99"
"05-07-23 / 12:47 PM","Balcony","BAL313","11","2","251.38"
"05-07-23 / 12:47 PM","Balcony","BAL323","13","2","237.38"
"05-07-23 / 12:47 PM","Balcony","BAL318","12","2","257.31"
"05-07-23 / 12:47 PM","Balcony","BAL328","5","2","277.34"
"05-07-23 / 12:47 PM","Balcony","BAL311","8","2","213.28"
"05-07-23 / 12:47 PM","Balcony","BAL312","7","2","222.28"
"05-07-23 / 12:47 PM","Balcony","BAL323","14","3","237.58"
"05-07-23 / 12:47 PM","Balcony","BAL306","11","2","212.28"
"05-07-23 / 12:47 PM","Loge","LOGE8","13","3","394.96"
"05-07-23 / 12:47 PM","Balcony","BAL327","7","3","228.44"
