"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"04-03-24 / 05:00 PM","Loge","LOGE7","K","3","251.46"
"04-03-24 / 04:59 PM","Balcony","BAL329","15","1","116.55"
"04-03-24 / 12:54 PM","Loge","LOGE6","B","1","378.79"
"04-03-24 / 12:54 PM","Club","CLB143","G","1","249.75"
"04-03-24 / 09:14 AM","Loge","LOGE10","24","2","233.1"
"04-02-24 / 10:26 PM","Club","CLB111","G","2","450"
"04-02-24 / 10:26 PM","Balcony","BAL307","10","1","105.48"
"04-02-24 / 02:55 PM","Balcony","BAL309","15","1","137.53"
"04-01-24 / 10:55 PM","Club","CLB145","F","2","328.5"
"04-01-24 / 06:34 PM","SportsDeck","Sports Deck","C","2","498.6"
"04-01-24 / 02:23 PM","Balcony","BAL307","13","4","139.08"
"04-01-24 / 07:57 AM","Loge","LOGE7","C","2","409.64"
"04-01-24 / 04:25 AM","Balcony","BAL304","11","2","142.59"
"03-31-24 / 10:28 AM","Loge","LOGE7","25","2","213.21"
"03-31-24 / 07:30 AM","Balcony","BAL316","13","2","187.38"
"03-31-24 / 07:30 AM","Balcony","BAL308","8","2","176.3"
"03-31-24 / 12:33 AM","Balcony","BAL303","12","2","166.84"
"03-30-24 / 01:29 PM","Loge","LOGE3","11","4","395.76"
"03-30-24 / 10:02 AM","Balcony","BAL320","6","4","167.08"
"03-30-24 / 10:02 AM","Loge","LOGE6","16","3","264.6"
"03-30-24 / 10:02 AM","Club","CLB109","G","4","350.1"
"03-30-24 / 10:02 AM","Loge","LOGE4","23","6","279.3"
"03-29-24 / 10:12 PM","Balcony","BAL328","15","3","119.56"
"03-29-24 / 10:12 PM","Balcony","BAL306","15","3","111.9"
"03-29-24 / 10:12 PM","Loge","LOGE10","9","2","356.21"
"03-29-24 / 04:20 PM","Loge","LOGE16","23","3","249.75"
"03-29-24 / 04:20 PM","Balcony","BAL318","10","2","166.89"
"03-29-24 / 04:20 PM","Balcony","BAL324","14","2","117.54"
"03-28-24 / 08:19 PM","Loge","LOGE18","F","1","294.87"
"03-28-24 / 12:08 AM","Balcony","BAL304","9","2","125.33"
"03-28-24 / 12:08 AM","Balcony","BAL306","14","3","117.84"
"03-28-24 / 12:08 AM","Balcony","BAL307","14","3","116.66"
"03-27-24 / 08:18 AM","Loge","LOGE21","9","2","480.54"
"03-27-24 / 08:17 AM","Loge","LOGE7","K","2","293.71"
"03-27-24 / 08:17 AM","Loge","LOGE18","12","3","247.64"
"03-27-24 / 02:44 AM","Loge","LOGE7","23","4","261.07"
"03-27-24 / 02:44 AM","Loge","LOGE19","26","2","217.13"
"03-27-24 / 02:44 AM","Loge","LOGE4","26","2","227.53"
"03-27-24 / 02:44 AM","Balcony","BAL309","4","2","182.21"
"03-27-24 / 02:44 AM","Balcony","BAL303","11","2","130.54"
"03-27-24 / 02:44 AM","Balcony","BAL329","14","2","123.87"
"03-27-24 / 02:44 AM","Balcony","BAL305","4","2","180.39"
"03-27-24 / 02:44 AM","Loge","LOGE4","5","2","362.6"
"03-27-24 / 02:44 AM","Loge","LOGE9","4","3","340.84"
"03-27-24 / 02:44 AM","Loge","LOGE8","21","5","249.44"
"03-27-24 / 02:44 AM","Loge","LOGE17","K","2","241.66"
"03-26-24 / 04:44 PM","Club","CLB107","J","2","336.7"
"03-26-24 / 12:25 PM","Loge","LOGE21","9","3","458.84"
"03-26-24 / 12:25 PM","Loge","LOGE21","15","4","485.35"
"03-26-24 / 12:24 PM","Loge","LOGE4","13","3","384.06"
"03-26-24 / 12:24 PM","Loge","LOGE8","23","4","306.54"
"03-26-24 / 12:24 PM","Balcony","BAL303","2","2","215.84"
"03-26-24 / 12:24 PM","Balcony","BAL303","8","2","184.5"
"03-26-24 / 12:24 PM","Loge","LOGE13","9","2","416.25"
"03-26-24 / 12:24 PM","Balcony","BAL320","6","4","188.74"
"03-26-24 / 12:24 PM","Balcony","BAL323","5","3","189.11"
"03-26-24 / 12:24 PM","Balcony","BAL307","8","4","116.55"
"03-26-24 / 12:24 PM","Loge","LOGE7","13","4","249.44"
"03-26-24 / 09:04 AM","Loge","LOGE9","8","3","235.08"
"03-26-24 / 05:33 AM","Balcony","BAL312","13","3","117.84"
"03-26-24 / 01:28 AM","Balcony","BAL313","2","1","162.34"
"03-26-24 / 01:28 AM","Balcony","BAL314","14","2","129.85"
"03-25-24 / 05:00 PM","Balcony","BAL321","12","1","159.36"
"03-25-24 / 05:00 PM","Balcony","BAL319","7","2","161.23"
"03-25-24 / 05:00 PM","Loge","LOGE3","B","2","590.15"
"03-25-24 / 05:00 PM","Loge","LOGE14","2","2","548.43"
"03-25-24 / 05:00 PM","Loge","LOGE3","4","2","559.31"
"03-25-24 / 05:00 PM","Loge","LOGE18","B","4","497.67"
"03-25-24 / 05:00 PM","Loge","LOGE3","15","2","496.76"
"03-25-24 / 05:00 PM","Loge","LOGE9","17","2","322.71"
"03-25-24 / 05:00 PM","Loge","LOGE16","26","2","285.92"
"03-25-24 / 05:00 PM","Loge","LOGE7","14","2","241.13"
"03-25-24 / 05:00 PM","Balcony","BAL326","4","2","173.24"
"03-25-24 / 05:00 PM","Balcony","BAL309","8","1","161.21"
"03-25-24 / 05:00 PM","Loge","LOGE9","8","3","285.08"
"03-25-24 / 05:00 PM","Loge","LOGE21","11","2","424.58"
"03-25-24 / 05:00 PM","Loge","LOGE18","18","2","243.15"
"03-25-24 / 05:00 PM","Balcony","BAL321","10","4","130.1"
"03-25-24 / 05:00 PM","Balcony","BAL302","15","3","175.86"
"03-25-24 / 05:00 PM","Balcony","BAL315","9","3","185.76"
"03-25-24 / 05:00 PM","Balcony","BAL315","4","2","232.06"
"03-25-24 / 05:00 PM","Balcony","BAL312","10","4","117.38"
"03-25-24 / 05:00 PM","Balcony","BAL328","9","1","162.24"
"03-25-24 / 05:00 PM","Loge","LOGE4","15","3","263.62"
"03-25-24 / 05:00 PM","Loge","LOGE7","A","2","499.5"
"03-25-24 / 05:00 PM","Loge","LOGE20","C","3","546.43"
"03-25-24 / 01:11 PM","Loge","LOGE18","10","4","304.45"
"03-25-24 / 01:11 PM","Balcony","BAL329","2","2","285.92"
"03-25-24 / 01:11 PM","Loge","LOGE10","C","2","525.55"
"03-25-24 / 01:11 PM","Loge","LOGE15","22","2","297.91"
"03-25-24 / 01:11 PM","Loge","LOGE17","D","2","364.41"
"03-25-24 / 01:11 PM","Loge","LOGE19","22","2","239.11"
"03-25-24 / 01:11 PM","Balcony","BAL311","10","6","117.72"
"03-25-24 / 01:11 PM","Loge","LOGE20","23","2","361.97"
"03-25-24 / 01:11 PM","Balcony","BAL328","7","2","140.87"
"03-25-24 / 10:08 AM","Balcony","BAL309","12","3","122.05"
"03-25-24 / 10:08 AM","Loge","LOGE6","D","2","335.93"
"03-25-24 / 10:08 AM","Loge","LOGE17","C","2","351.56"
"03-25-24 / 10:08 AM","Balcony","BAL317","12","2","161.95"
"03-25-24 / 10:08 AM","Loge","LOGE7","25","2","257.79"
"03-25-24 / 10:08 AM","Balcony","BAL316","12","2","172.63"
"03-25-24 / 10:08 AM","Loge","LOGE7","13","4","256.61"
"03-25-24 / 06:57 AM","Balcony","BAL326","5","2","156.61"
"03-25-24 / 06:57 AM","Balcony","BAL324","5","2","163.17"
"03-25-24 / 03:25 AM","Balcony","BAL319","5","2","189.46"
"03-25-24 / 03:25 AM","Loge","LOGE6","19","4","227"
"03-25-24 / 03:25 AM","Loge","LOGE11","7","2","553.69"
"03-25-24 / 03:25 AM","Loge","LOGE7","4","2","259.31"
"03-24-24 / 11:33 PM","Balcony","BAL316","10","2","250.93"
"03-24-24 / 11:33 PM","Loge","LOGE4","11","2","252.91"
"03-24-24 / 11:33 PM","Loge","LOGE20","B","2","551.81"
"03-24-24 / 11:33 PM","Balcony","BAL306","1","2","174.05"
"03-24-24 / 11:33 PM","Loge","LOGE4","8","4","366.23"
"03-24-24 / 11:33 PM","Balcony","BAL320","1","2","213.03"
"03-24-24 / 11:33 PM","Club","CLB139","C","2","352.73"
"03-24-24 / 11:33 PM","VIP","13","C","2","834.8"
"03-24-24 / 11:33 PM","Loge","LOGE17","14","2","217.13"
"03-24-24 / 11:33 PM","Loge","LOGE6","18","5","244.05"
"03-24-24 / 11:33 PM","Balcony","BAL323","2","6","186.63"
"03-24-24 / 11:33 PM","Balcony","BAL303","11","5","149.57"
"03-24-24 / 07:55 PM","Club","CLB109","A","2","487.33"
"03-24-24 / 07:55 PM","Balcony","BAL317","12","2","161.95"
"03-24-24 / 07:54 PM","Loge","LOGE4","2","2","347.19"
"03-24-24 / 07:54 PM","Loge","LOGE6","D","2","335.93"
"03-24-24 / 07:54 PM","Balcony","BAL326","5","2","134.16"
"03-24-24 / 07:54 PM","Balcony","BAL305","3","2","158.64"
"03-24-24 / 07:54 PM","Balcony","BAL329","2","2","285.92"
"03-24-24 / 07:54 PM","Loge","LOGE18","6","2","288.27"
"03-24-24 / 07:54 PM","Loge","LOGE19","13","3","270.14"
"03-24-24 / 07:54 PM","Loge","LOGE4","21","2","224.78"
"03-24-24 / 07:54 PM","Balcony","BAL305","1","2","248.38"
"03-24-24 / 07:54 PM","Balcony","BAL329","13","2","145.69"
"03-24-24 / 07:54 PM","Balcony","BAL309","1","2","223"
"03-24-24 / 04:20 PM","Balcony","BAL321","12","1","131.9"
"03-24-24 / 04:20 PM","Loge","LOGE5","22","2","253.16"
"03-24-24 / 04:20 PM","VIP","21","B","1","978.19"
"03-24-24 / 04:20 PM","Balcony","BAL326","1","4","170.42"
"03-24-24 / 04:20 PM","Loge","LOGE11","7","2","533.02"
