"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"01-10-24 / 07:27 PM","Loge","LOGE15","15","5","304"
"01-10-24 / 04:04 PM","Balcony","BAL311","10","3","106.61"
"01-10-24 / 04:04 PM","Balcony","BAL302","13","1","151.33"
"01-10-24 / 04:04 PM","SportsDeck","Sports Deck","C","3","448.2"
"01-10-24 / 04:04 PM","Balcony","BAL312","13","1","104.65"
"01-10-24 / 04:04 PM","Balcony","BAL307","13","3","118.3"
"01-10-24 / 04:04 PM","Balcony","BAL330","11","2","157.5"
"01-10-24 / 10:13 AM","Balcony","BAL302","10","3","277.57"
"01-10-24 / 10:13 AM","Balcony","BAL305","8","2","141.34"
"01-10-24 / 10:13 AM","Loge","LOGE14","12","2","384.16"
"01-10-24 / 10:13 AM","Loge","LOGE10","15","2","317.52"
"01-10-24 / 10:13 AM","Loge","LOGE6","B","2","330.26"
"01-10-24 / 10:13 AM","Loge","LOGE17","H","2","254.8"
"01-10-24 / 10:13 AM","Loge","LOGE21","12","1","311.4"
"01-10-24 / 10:13 AM","Loge","LOGE6","25","2","199.28"
"01-10-24 / 10:13 AM","Loge","LOGE8","2","1","269.71"
"01-10-24 / 10:13 AM","Balcony","BAL319","6","2","145.33"
"01-10-24 / 10:13 AM","Balcony","BAL309","5","3","184.46"
"01-10-24 / 10:13 AM","Balcony","BAL317","13","2","132.89"
"01-10-24 / 10:13 AM","Loge","LOGE14","3","2","432.18"
"01-10-24 / 10:13 AM","Loge","LOGE19","21","3","302.15"
"01-10-24 / 10:13 AM","Loge","LOGE14","10","4","367.5"
"01-10-24 / 10:13 AM","Balcony","BAL329","2","2","254.85"
"01-10-24 / 10:13 AM","Balcony","BAL317","8","1","273.81"
"01-10-24 / 10:13 AM","Balcony","BAL301","14","2","184.29"
"01-10-24 / 10:13 AM","Loge","LOGE7","18","2","230.3"
"01-10-24 / 10:13 AM","Balcony","BAL326","5","2","181.3"
"01-10-24 / 10:13 AM","Balcony","BAL306","11","4","182.06"
"01-10-24 / 10:13 AM","Balcony","BAL314","11","2","165.31"
"01-10-24 / 10:13 AM","Balcony","BAL306","8","1","97.85"
"01-10-24 / 10:13 AM","Balcony","BAL323","9","2","153.32"
"01-10-24 / 10:13 AM","Balcony","BAL309","7","2","154.32"
"01-10-24 / 10:13 AM","Balcony","BAL318","15","3","107.1"
"01-10-24 / 10:13 AM","Balcony","BAL302","9","2","128.67"
"01-10-24 / 10:13 AM","Loge","LOGE17","12","2","173.63"
"01-10-24 / 10:13 AM","Loge","LOGE12","18","2","360"
"01-10-24 / 10:13 AM","Loge","LOGE18","E","2","253.82"
"01-10-24 / 10:13 AM","VIP","21","A","4","1091.72"
"01-10-24 / 10:13 AM","Balcony","BAL320","13","2","94.86"
"01-10-24 / 10:13 AM","Loge","LOGE9","8","2","321.44"
"01-10-24 / 10:13 AM","Balcony","BAL326","9","3","109.61"
"01-10-24 / 10:13 AM","Loge","LOGE8","24","3","152.49"
"01-10-24 / 10:13 AM","Balcony","BAL314","9","4","123.87"
"01-10-24 / 10:13 AM","Loge","LOGE9","2","3","307.72"
"01-10-24 / 10:13 AM","Balcony","BAL312","15","3","99"
"01-10-24 / 10:13 AM","Balcony","BAL317","4","3","152.49"
"01-10-24 / 10:13 AM","Loge","LOGE10","15","2","224.1"
"01-10-24 / 07:32 AM","Loge","LOGE21","12","1","311.4"
"01-10-24 / 07:32 AM","Balcony","BAL322","8","2","154.32"
"01-10-24 / 07:32 AM","Balcony","BAL323","9","1","198.25"
"01-10-24 / 07:32 AM","Balcony","BAL319","13","2","148.33"
"01-10-24 / 07:32 AM","Balcony","BAL317","15","2","125.07"
"01-10-24 / 04:58 AM","Balcony","BAL330","11","2","123.19"
"01-10-24 / 04:58 AM","Loge","LOGE18","A","2","385.14"
"01-10-24 / 04:58 AM","Loge","LOGE2","15","2","406.7"
"01-10-24 / 04:58 AM","Loge","LOGE17","7","2","186.24"
"01-10-24 / 01:27 AM","Loge","LOGE3","6","2","398.86"
"01-10-24 / 01:27 AM","Balcony","BAL312","8","2","102.6"
"01-10-24 / 01:27 AM","Loge","LOGE6","15","2","212.66"
"01-10-24 / 01:27 AM","Loge","LOGE18","9","3","191.09"
"01-10-24 / 01:27 AM","VIP","12","B","2","1226.96"
"01-10-24 / 01:27 AM","Balcony","BAL305","9","4","119.31"
"01-10-24 / 01:27 AM","Loge","LOGE17","12","4","194"
"01-10-24 / 01:27 AM","Loge","LOGE15","20","2","246.96"
"01-10-24 / 01:27 AM","Balcony","BAL311","1","2","241.08"
"01-10-24 / 01:27 AM","Loge","LOGE6","16","2","176.4"
"01-10-24 / 01:27 AM","Balcony","BAL319","10","2","102.82"
"01-10-24 / 01:27 AM","Balcony","BAL311","4","2","164.64"
"01-10-24 / 01:27 AM","Club","CLB107","F","4","265.5"
"01-10-24 / 01:27 AM","Loge","LOGE17","14","2","268.52"
"01-10-24 / 01:27 AM","Loge","LOGE9","20","2","225.4"
"01-10-24 / 01:27 AM","Loge","LOGE10","14","4","369.46"
"01-10-24 / 01:27 AM","Loge","LOGE7","L","3","248.32"
"01-10-24 / 01:27 AM","Loge","LOGE9","24","3","162.29"
"01-10-24 / 01:27 AM","Balcony","BAL319","12","4","99"
"01-10-24 / 01:27 AM","Loge","LOGE18","F","2","227.7"
"01-10-24 / 01:27 AM","Loge","LOGE7","20","1","144.53"
"01-10-24 / 01:27 AM","Balcony","BAL318","8","4","136.53"
"01-10-24 / 01:27 AM","Loge","LOGE8","22","3","161.99"
"01-10-24 / 01:27 AM","Loge","LOGE19","24","3","157.39"
"01-10-24 / 01:27 AM","Loge","LOGE18","9","6","191.69"
"01-10-24 / 01:27 AM","Balcony","BAL328","9","2","116.4"
"01-10-24 / 01:27 AM","Loge","LOGE8","14","4","367.77"
"01-09-24 / 10:12 PM","Balcony","BAL329","11","2","225"
"01-09-24 / 10:12 PM","Balcony","BAL318","15","2","119.31"
"01-09-24 / 10:11 PM","Balcony","BAL313","14","4","104.76"
"01-09-24 / 06:30 PM","Balcony","BAL318","15","1","125.13"
"01-09-24 / 06:30 PM","Loge","LOGE3","14","2","370.44"
"01-09-24 / 06:30 PM","Loge","LOGE18","15","2","274.4"
"01-09-24 / 06:30 PM","Balcony","BAL316","15","2","192.29"
"01-09-24 / 06:30 PM","Floor","FLR6","AA","5","2644.22"
"01-09-24 / 06:30 PM","Loge","LOGE7","G","2","338.1"
"01-09-24 / 06:30 PM","Balcony","BAL312","1","2","241.08"
"01-09-24 / 06:30 PM","Loge","LOGE3","26","7","309.43"
"01-09-24 / 06:30 PM","Balcony","BAL310","9","2","119.31"
"01-09-24 / 06:30 PM","Loge","LOGE6","G","4","326.34"
"01-09-24 / 06:30 PM","Loge","LOGE7","23","4","165.87"
"01-09-24 / 06:30 PM","Loge","LOGE7","18","2","230.3"
"01-09-24 / 06:30 PM","Balcony","BAL308","9","2","106.61"
"01-09-24 / 06:30 PM","Balcony","BAL305","9","2","101.85"
"01-09-24 / 06:30 PM","Loge","LOGE1","12","2","449.1"
"01-09-24 / 06:30 PM","Balcony","BAL309","8","3","99.91"
"01-09-24 / 06:30 PM","Club","CLB139","A","2","456.43"
"01-09-24 / 06:30 PM","Loge","LOGE7","24","2","236.18"
"01-09-24 / 06:30 PM","Balcony","BAL330","11","2","147.89"
"01-09-24 / 06:30 PM","Balcony","BAL317","11","2","134.44"
"01-09-24 / 06:30 PM","Loge","LOGE2","18","2","377.33"
