"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"04-07-24 / 05:42 PM","Balcony","BAL315","15","4","135.97"
"04-07-24 / 05:42 PM","Loge","LOGE17","G","2","191.48"
"04-07-24 / 05:42 PM","Balcony","BAL315","5","3","185.59"
"04-07-24 / 10:44 AM","Balcony","BAL319","7","1","82.42"
"04-07-24 / 10:44 AM","Balcony","BAL307","12","1","85.35"
"04-07-24 / 10:44 AM","Balcony","BAL327","15","3","89.4"
"04-07-24 / 10:44 AM","Loge","LOGE15","14","1","321.57"
"04-07-24 / 04:33 AM","Loge","LOGE10","26","3","229.22"
"04-07-24 / 12:43 AM","Balcony","BAL316","15","1","127.22"
"04-06-24 / 08:49 PM","Balcony","BAL314","15","1","103.91"
"04-06-24 / 08:49 PM","Balcony","BAL306","14","1","97.71"
"04-06-24 / 08:49 PM","Loge","LOGE15","14","1","321.57"
"04-06-24 / 04:50 PM","Balcony","BAL309","14","1","93.18"
"04-06-24 / 04:50 PM","Balcony","BAL322","15","3","83.14"
"04-06-24 / 04:50 PM","Balcony","BAL306","15","2","88.92"
"04-06-24 / 01:08 PM","Balcony","BAL306","15","1","88.92"
"04-06-24 / 01:08 PM","Loge","LOGE11","13","1","266.4"
"04-06-24 / 09:47 AM","Loge","LOGE7","24","2","130.1"
"04-05-24 / 09:57 PM","Loge","LOGE8","26","3","149.39"
"04-05-24 / 04:56 PM","Balcony","BAL303","15","2","98.7"
"04-05-24 / 12:48 PM","VIP","11","B","2","637.09"
"04-04-24 / 06:27 AM","Balcony","BAL307","9","2","117.8"
"04-04-24 / 06:27 AM","Loge","LOGE7","24","2","139.07"
"04-04-24 / 06:27 AM","Loge","LOGE20","23","3","233.37"
"04-04-24 / 06:27 AM","Loge","LOGE10","12","1","233.38"
"04-04-24 / 06:27 AM","Balcony","BAL305","3","3","161.38"
"04-04-24 / 06:27 AM","Loge","LOGE7","13","2","156.12"
"04-04-24 / 06:27 AM","Loge","LOGE2","16","1","312.24"
"04-04-24 / 01:46 AM","Loge","LOGE18","6","1","170.48"
"04-03-24 / 04:51 PM","VIP","21","A","2","749.63"
"04-03-24 / 09:09 AM","Balcony","BAL301","1","2","213.8"
"04-03-24 / 09:09 AM","Loge","LOGE21","16","2","344.27"
"04-03-24 / 09:08 AM","Balcony","BAL305","10","5","110.36"
"04-03-24 / 09:08 AM","Balcony","BAL318","5","2","116.94"
"04-03-24 / 09:08 AM","Balcony","BAL320","2","2","158.46"
"04-03-24 / 09:08 AM","Loge","LOGE10","7","3","183.15"
"04-03-24 / 09:08 AM","Balcony","BAL305","8","3","97.66"
"04-03-24 / 04:20 AM","Balcony","BAL330","9","1","131"
"04-03-24 / 04:20 AM","Balcony","BAL303","15","2","109.46"
"04-02-24 / 09:28 PM","VIP","21","A","2","762.71"
"04-02-24 / 09:28 PM","Loge","LOGE6","18","2","172.04"
"04-02-24 / 09:28 PM","Balcony","BAL304","12","3","100.1"
"04-02-24 / 10:58 AM","Balcony","BAL303","1","2","180.32"
"04-02-24 / 10:58 AM","Club","CLB143","G","2","216"
"04-02-24 / 10:58 AM","Loge","LOGE3","C","2","348.86"
"04-02-24 / 10:58 AM","Balcony","BAL319","3","1","204.25"
"04-02-24 / 10:58 AM","Loge","LOGE6","F","2","238.62"
"04-02-24 / 10:58 AM","Loge","LOGE18","18","2","165.87"
"04-02-24 / 07:37 AM","VIP","17","B","4","2050.65"
"04-02-24 / 07:37 AM","Loge","LOGE4","16","2","227.36"
"04-02-24 / 03:29 AM","Balcony","BAL326","5","2","149.94"
"04-02-24 / 03:29 AM","Loge","LOGE10","7","3","319.45"
"04-02-24 / 03:29 AM","Balcony","BAL311","3","2","147.98"
"04-02-24 / 03:29 AM","Loge","LOGE6","8","4","255.92"
"04-02-24 / 03:29 AM","Loge","LOGE7","19","1","282"
"04-02-24 / 03:29 AM","Balcony","BAL321","15","2","107.38"
"04-02-24 / 03:29 AM","Loge","LOGE6","1","2","331.24"
"04-02-24 / 03:29 AM","Balcony","BAL321","12","2","105.73"
"04-02-24 / 03:29 AM","Balcony","BAL326","15","5","100.1"
"04-01-24 / 10:46 PM","Balcony","BAL316","6","2","216.64"
