"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"11-05-24 / 06:23 PM","Loge","LOGE13","6","1","499.5"
"11-05-24 / 06:23 PM","Club","CLB115","J","2","312.19"
"11-05-24 / 06:23 PM","Balcony","BAL301","15","1","193"
"11-05-24 / 06:23 PM","Loge","LOGE15","18","2","246.78"
"11-05-24 / 06:23 PM","Loge","LOGE7","25","2","210.66"
"11-05-24 / 12:56 PM","Loge","LOGE17","8","1","266.91"
"11-05-24 / 12:56 PM","Suites","STE529","529","3","294.61"
"11-05-24 / 12:56 PM","Balcony","BAL306","7","2","114.38"
"11-05-24 / 07:05 AM","Balcony","BAL302","7","4","177.93"
"11-05-24 / 07:05 AM","Club","CLB107","F","1","348.13"
"11-05-24 / 07:05 AM","Balcony","BAL328","15","3","114.8"
"11-05-24 / 07:05 AM","Balcony","BAL328","10","2","114.97"
"11-05-24 / 07:05 AM","Loge","LOGE5","15","2","338.41"
"11-04-24 / 02:08 PM","Balcony","BAL302","13","2","149.01"
"11-04-24 / 02:08 PM","Balcony","BAL318","14","2","137.03"
"11-04-24 / 05:34 AM","Balcony","BAL312","9","2","102.19"
"11-04-24 / 05:34 AM","Balcony","BAL325","10","4","97.09"
"11-04-24 / 05:34 AM","Balcony","BAL312","10","2","106.59"
"11-02-24 / 09:54 PM","Balcony","BAL320","15","3","107.54"
"11-02-24 / 03:23 PM","Balcony","BAL325","14","3","99.27"
"11-02-24 / 03:23 PM","Balcony","BAL302","15","5","139.51"
"11-02-24 / 03:23 PM","Balcony","BAL321","13","4","102.97"
"11-02-24 / 03:23 PM","Balcony","BAL305","7","2","104.25"
"11-02-24 / 03:23 PM","Balcony","BAL325","12","2","99.93"
"11-02-24 / 12:13 PM","Balcony","BAL326","12","1","105.2"
"11-02-24 / 01:41 AM","Balcony","BAL309","12","1","103.83"
"11-02-24 / 01:41 AM","Balcony","BAL305","11","2","110.23"
"11-02-24 / 01:41 AM","Balcony","BAL309","14","2","104.65"
"11-01-24 / 04:55 PM","Balcony","BAL309","10","4","106.7"
"11-01-24 / 04:55 PM","Balcony","BAL304","12","2","105.48"
"11-01-24 / 04:55 PM","Balcony","BAL325","12","2","99.7"
"11-01-24 / 04:55 PM","Balcony","BAL321","11","2","99.66"
"11-01-24 / 04:55 PM","Loge","LOGE18","D","2","406.57"
"11-01-24 / 04:55 PM","Balcony","BAL320","8","1","182.82"
"11-01-24 / 04:55 PM","Loge","LOGE5","26","2","294.99"
"11-01-24 / 04:55 PM","Balcony","BAL306","3","2","168.19"
"11-01-24 / 04:55 PM","Loge","LOGE8","3","2","411.79"
"11-01-24 / 04:55 PM","Loge","LOGE9","22","2","398.86"
"11-01-24 / 04:55 PM","Loge","LOGE3","12","2","384.04"
"11-01-24 / 04:55 PM","Loge","LOGE3","9","2","379.37"
"11-01-24 / 04:55 PM","Loge","LOGE3","26","2","348.23"
