"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"03-03-24 / 10:36 AM","Loge","LOGE15","17","1","736.52"
"03-03-24 / 10:36 AM","Balcony","BAL322","9","3","316.73"
"03-03-24 / 10:36 AM","Club","CLB143","E","2","478.69"
"03-03-24 / 10:36 AM","Balcony","BAL327","14","2","283.53"
"03-03-24 / 10:36 AM","Loge","LOGE7","10","2","389.67"
"03-03-24 / 10:36 AM","Balcony","BAL304","6","2","289.98"
"03-03-24 / 10:36 AM","Balcony","BAL322","7","2","296.99"
"03-03-24 / 10:36 AM","Balcony","BAL304","12","5","324.8"
"03-03-24 / 10:36 AM","Balcony","BAL309","7","2","290.71"
"03-03-24 / 10:36 AM","Balcony","BAL309","3","4","357.11"
"03-03-24 / 10:36 AM","Loge","LOGE17","9","2","409.15"
"03-03-24 / 10:36 AM","Loge","LOGE8","20","2","411.84"
"03-03-24 / 10:36 AM","Balcony","BAL302","8","2","374.15"
"03-03-24 / 10:36 AM","Balcony","BAL323","2","6","384.92"
"03-03-24 / 10:36 AM","Loge","LOGE6","L","4","615.51"
"03-03-24 / 10:36 AM","Loge","LOGE2","18","3","826.52"
"03-03-24 / 06:44 AM","Balcony","BAL321","13","2","270.97"
"03-03-24 / 06:44 AM","Balcony","BAL324","7","3","324.8"
"03-03-24 / 06:44 AM","Balcony","BAL322","9","4","323.91"
"03-03-24 / 06:44 AM","Balcony","BAL327","14","2","283.53"
"03-03-24 / 06:44 AM","Loge","LOGE18","7","2","458.49"
"03-03-24 / 06:43 AM","Loge","LOGE18","8","6","598.47"
"03-03-24 / 02:06 AM","Balcony","BAL320","14","1","264.74"
"03-03-24 / 02:06 AM","VIP","6","B","2","2081.25"
"03-03-24 / 02:06 AM","Club","CLB141","E","3","922.1"
"03-03-24 / 02:06 AM","Loge","LOGE7","2","1","633.3"
"03-03-24 / 02:06 AM","Loge","LOGE13","16","2","821.46"
"03-03-24 / 02:06 AM","Loge","LOGE19","25","2","471.37"
"03-03-24 / 02:06 AM","Balcony","BAL302","6","1","505.14"
